year_rank,song,artist,is_collaboration,collaborator_1,collaborator_2,collaborator_3,collaborator_4,collaborator_5,source
2015_12,Can’t Feel My Face,The Weeknd,0,,,,,,Pitchfork
2015_11,Should Have Known Better,Sufjan Stevens,0,,,,,,Pitchfork
2015_10,Lift Me Up,Vince Staples,0,,,,,,Pitchfork
2015_9,Depreston,Courtney Barnett,0,,,,,,Pitchfork
2015_8,Really Love,D'Angelo,0,,,,,,Pitchfork
2015_7,Flesh Without Blood,Grimes,0,,,,,,Pitchfork
2015_6,Constantly Hating,Young Thug,1,,Birdman,,,,Pitchfork
2015_5,Let It Happen,Tame Impala,0,,,,,,Pitchfork
2015_4,King Kunta,Kendrick Lamar,0,,,,,,Pitchfork
2015_3,I Know There’s Gonna Be (Good Times),Jamie xx,1,,Young Thug,Popcaan,,,Pitchfork
2015_2,Hotline Bling,Drake,0,,,,,,Pitchfork
2015_1,Alright,Kendrick Lamar,0,,,,,,Pitchfork
2016_100,Kiss,Lil Peep,0,,,,,,Pitchfork
2016_99,Welcome to Earth (Pollywog),Sturgill Simpson,0,,,,,,Pitchfork
2016_98,Deadbeat Protest,Moor Mother,0,,,,,,Pitchfork
2016_97,Randomness,Olga Bell,0,,,,,,Pitchfork
2016_96,Vibin in This Bih,Kodak Black,1,,Gucci Mane,,,,Pitchfork
2016_95,I’m On,Kamaiyah,0,,,,,,Pitchfork
2016_94,Wonderful,Cate Le Bon,0,,,,,,Pitchfork
2016_93,When It Rain,Danny Brown,0,,,,,,Pitchfork
2016_92,Can't Stop Fighting,Sheer Mag,0,,,,,,Pitchfork
2016_91,No Heart,21 Savage,1,Metro Boomin,,,,,Pitchfork
2016_90,Old Friends,Pinegrove,0,,,,,,Pitchfork
2016_89,On the Lips,Frankie Cosmos,0,,,,,,Pitchfork
2016_88,Needed Me,Rihanna,0,,,,,,Pitchfork
2016_87,In Common,Alicia Keys,0,,,,,,Pitchfork
2016_86,Sunday Love,Bat for Lashes,0,,,,,,Pitchfork
2016_85,Sister,Angel Olsen,0,,,,,,Pitchfork
2016_84,Give Violence a Chance,G.L.O.S.S.,0,,,,,,Pitchfork
2016_83,Promises of Fertility,Huerco S.,0,,,,,,Pitchfork
2016_82,Into You,Ariana Grande,0,,,,,,Pitchfork
2016_81,Golden Chords,Deakin,0,,,,,,Pitchfork
2016_80,The Wheel,PJ Harvey,0,,,,,,Pitchfork
2016_79,Qwazars,Mr. Fingers,0,,,,,,Pitchfork
2016_78,blisters,serpentwithfeet,0,,,,,,Pitchfork
2016_77,Man,Skepta,0,,,,,,Pitchfork
2016_76,30 Keys,Ka,0,,,,,,Pitchfork
2016_75,Pick Up the Phone,Travis Scott and Young Thug,1,,Quavo,,,,Pitchfork
2016_74,Somebody Else,The 1975,0,,,,,,Pitchfork
2016_73,That Part,Schoolboy Q,0,,,,,,Pitchfork
2016_72,Lonely World,Moses Sumney,0,,,,,,Pitchfork
2016_71,Smile,Isaiah Rashad,0,,,,,,Pitchfork
2016_70,Existence in the Unfurling,Kaitlyn Aurelia Smith,0,,,,,,Pitchfork
2016_69,Prima Donna,Vince Staples,1,,A$AP Rocky,,,,Pitchfork
2016_68,Girlfriend,Nao,0,,,,,,Pitchfork
2016_67,OOOUUU,Young M.A,0,,,,,,Pitchfork
2016_66,The Greatest,KING,0,,,,,,Pitchfork
2016_65,Adore,Savages,0,,,,,,Pitchfork
2016_64,Be Apart,Porches,0,,,,,,Pitchfork
2016_63,Bum Bum Bum,Cass McCombs,0,,,,,,Pitchfork
2016_62,Controlla,Drake,0,,,,,,Pitchfork
2016_61,Blood on Me,Sampha,0,,,,,,Pitchfork
2016_60,1990x,Maxwell,0,,,,,,Pitchfork
2016_59,No Woman,Whitney,0,,,,,,Pitchfork
2016_58,Digits,Young Thug,0,,,,,,Pitchfork
2016_57,VRY BLK,Jamila Woods,1,,Noname,,,,Pitchfork
2016_56,Panda,Desiigner,0,,,,,,Pitchfork
2016_55,1st Day Out tha Feds,Gucci Mane,0,,,,,,Pitchfork
2016_54,Hallucinations,dvsn,0,,,,,,Pitchfork
2016_53,Glowed Up,Kaytranada,1,,Anderson .Paak,,,,Pitchfork
2016_52,Who Shot Me?,YG,0,,,,,,Pitchfork
2016_51,Earth to Heaven,Esperanza Spalding,0,,,,,,Pitchfork
2016_50,Human Performance,Parquet Courts,0,,,,,,Pitchfork
2016_49,CHEETAHT2 [Ld spectrum,Aphex Twin,0,,,,,,Pitchfork
2016_48,E.V.P.,Blood Orange,0,,,,,,Pitchfork
2016_47,All Night,Chance the Rapper,1,,Knox Fortune,,,,Pitchfork
2016_46,A 1000 Times,Hamilton Leithauser,1,Rostam,,,,,Pitchfork
2016_45,I Have Been to the Mountain,Kevin Morby,0,,,,,,Pitchfork
2016_44,Come Down,Anderson .Paak,0,,,,,,Pitchfork
2016_43,Girls @,Joey Purp,1,,Chance the Rapper,,,,Pitchfork
2016_42,Lockjaw,French Montana,1,,Kodak Black,,,,Pitchfork
2016_41,Sorry,Beyoncé,0,,,,,,Pitchfork
2016_40,Kanye West,Young Thug,0,,,,,,Pitchfork
2016_39,It Means I Love You,Jessy Lanza,0,,,,,,Pitchfork
2016_38,Do You Need My Love,Weyes Blood,0,,,,,,Pitchfork
2016_37,Yesterday,Noname,0,,,,,,Pitchfork
2016_36,untitled 02 | 06.23.2014.,Kendrick Lamar,0,,,,,,Pitchfork
2016_35,2 Phones,Kevin Gates,0,,,,,,Pitchfork
2016_34,Summer Friends,Chance the Rapper,1,,Jeremih,Francis and the Lights,,,Pitchfork
2016_33,Broccoli,D.R.A.M.,1,,Lil Yachty,,,,Pitchfork
2016_32,No More Parties in LA,Kanye West,1,,Kendrick Lamar,,,,Pitchfork
2016_31,Dis Generation,A Tribe Called Quest,0,,,,,,Pitchfork
2016_30,One Dance,Drake,1,,Wizkid,Kyla,,,Pitchfork
2016_29,22 (OVER S∞∞N),Bon Iver,0,,,,,,Pitchfork
2016_28,Hold Up,Beyoncé,0,,,,,,Pitchfork
2016_27,I Need You,Nick Cave & the Bad Seeds,0,,,,,,Pitchfork
2016_26,Really Doe,Danny Brown,1,,Kendrick Lamar,Ab-Soul,Earl Sweatshirt,,Pitchfork
2016_25,Nikes,Frank Ocean,0,,,,,,Pitchfork
2016_24,Daydreaming,Radiohead,0,,,,,,Pitchfork
2016_23,I Can't Give Everything Away,David Bowie,0,,,,,,Pitchfork
2016_22,Conceptual Romance,Jenny Hval,0,,,,,,Pitchfork
2016_21,Don’t Touch My Hair,Solange,1,,Sampha,,,,Pitchfork
2016_20,Fill in the Blank,Car Seat Headrest,0,,,,,,Pitchfork
2016_19,You Want It Darker,Leonard Cohen,0,,,,,,Pitchfork
2016_18,33 ‘GOD’,Bon Iver,0,,,,,,Pitchfork
2016_17,Am I Wrong,Anderson .Paak,0,,,,,,Pitchfork
2016_16,Your Best American Girl,Mitski,0,,,,,,Pitchfork
2016_15,Best to You,Blood Orange,1,,Empress Of,,,,Pitchfork
2016_14,Real Friends,Kanye West,0,,,,,,Pitchfork
2016_13,Pink + White,Frank Ocean,0,,,,,,Pitchfork
2016_12,No Problem,Chance the Rapper,1,,2 Chainz,Lil Wayne,,,Pitchfork
2016_11,We the People...,A Tribe Called Quest,0,,,,,,Pitchfork
2016_10,Black Beatles,Rae Sremmurd,1,,Gucci Mane,,,,Pitchfork
2016_9,True Love Waits,Radiohead,0,,,,,,Pitchfork
2016_8,Shut Up Kiss Me,Angel Olsen,0,,,,,,Pitchfork
2016_7,Work,Rihanna,1,,Drake,,,,Pitchfork
2016_6,Drone Bomb Me,ANOHNI,0,,,,,,Pitchfork
2016_5,Lazarus,David Bowie,0,,,,,,Pitchfork
2016_4,Ivy,Frank Ocean,0,,,,,,Pitchfork
2016_3,Cranes in the Sky,Solange,0,,,,,,Pitchfork
2016_2,Formation,Beyoncé,0,,,,,,Pitchfork
2016_1,Ultralight Beam,Kanye West,1,,Chance the Rapper,The-Dream,Kelly Price,Kirk Franklin,Pitchfork
2017_100,On + Off,Maggie Rogers,0,,,,,,Pitchfork
2017_99,Build You Up,Kamaiyah,0,,,,,,Pitchfork
2017_98,Percolator,Charly Bliss,0,,,,,,Pitchfork
2017_97,Wild Thoughts,DJ Khaled,1,,Rihanna,Bryson Tiller,,,Pitchfork
2017_96,Rake It Up,Yo Gotti,1,,Nicki Minaj,,,,Pitchfork
2017_95,A Wall,Downtown Boys,0,,,,,,Pitchfork
2017_94,The Embers,Vagabon,0,,,,,,Pitchfork
2017_93,Man’s Not Hot,Big Shaq,0,,,,,,Pitchfork
2017_92,Midnight,Jessie Ware,0,,,,,,Pitchfork
2017_91,The One to Wait,CCFX,0,,,,,,Pitchfork
2017_90,Mi Gente  (Remix),J Balvin,1,Willy William,Beyoncé,,,,Pitchfork
2017_89,Little Bubble,Dirty Projectors,0,,,,,,Pitchfork
2017_88,Pa’lante,Hurray for the Riff Raff,0,,,,,,Pitchfork
2017_87,Sign of the Times,Harry Styles,0,,,,,,Pitchfork
2017_86,Dream Daddy,Baths,0,,,,,,Pitchfork
2017_85,I’m Better,Missy Elliott,1,,Lamb,,,,Pitchfork
2017_84,Hug of Thunder,Broken Social Scene,0,,,,,,Pitchfork
2017_83,Location,Playboi Carti,0,,,,,,Pitchfork
2017_82,Siphon,Zola Jesus,0,,,,,,Pitchfork
2017_81,The System Only Dreams in Total Darkness,The National,0,,,,,,Pitchfork
2017_80,Quarrel,Moses Sumney,0,,,,,,Pitchfork
2017_79,He Is the Voice I Hear,The Black Madonna,0,,,,,,Pitchfork
2017_78,On Hold,The xx,0,,,,,,Pitchfork
2017_77,Big for Your Boots,Stormzy,0,,,,,,Pitchfork
2017_76,Anxi,Kelly Lee Owens,1,,Jenny Hval,,,,Pitchfork
2017_75,Bank Account,21 Savage,0,,,,,,Pitchfork
2017_74,Pull Up Wit Ah Stick,SahBabii,1,,Loso Loaded,,,,Pitchfork
2017_73,Bobby,(Sandy) Alex G,0,,,,,,Pitchfork
2017_72,Want You Back,Haim,0,,,,,,Pitchfork
2017_71,Die 4 You,Perfume Genius,0,,,,,,Pitchfork
2017_70,Did You See,J Hus,0,,,,,,Pitchfork
2017_69,Only Once Away My Son,Brian Eno,1,Kevin Shields,,,,,Pitchfork
2017_68,The Pure and the Damned,Oneohtrix Point Never,1,,Iggy Pop,,,,Pitchfork
2017_67,GUMMY,BROCKHAMPTON,0,,,,,,Pitchfork
2017_66,BagBak,Vince Staples,0,,,,,,Pitchfork
2017_65,Need to Feel Your Love,Sheer Mag,0,,,,,,Pitchfork
2017_64,Golden Cage’’,Nilüfer Yanya,0,,,,,,Pitchfork
2017_63,Turn Out the Lights,Julien Baker,0,,,,,,Pitchfork
2017_62,Unforgettable,French Montana,1,,Swae Lee,,,,Pitchfork
2017_61,123’’,Girlpool,0,,,,,,Pitchfork
2017_60,Marilyn,Mount Kimbie,1,,Micachu,,,,Pitchfork
2017_59,Natural Blue,Julie Byrne,0,,,,,,Pitchfork
2017_58,LOYALTY.,Kendrick Lamar,1,,Rihanna,,,,Pitchfork
2017_57,Total Entertainment Forever,Father John Misty,0,,,,,,Pitchfork
2017_56,Czech One,King Krule,0,,,,,,Pitchfork
2017_55,Planet’’,Four Tet,0,,,,,,Pitchfork
2017_54,An Intention,Kaitlyn Aurelia Smith,0,,,,,,Pitchfork
2017_53,Undercover,Kehlani,0,,,,,,Pitchfork
2017_52,Incredible,Future,0,,,,,,Pitchfork
2017_51,Hard Times,Paramore,0,,,,,,Pitchfork
2017_50,Show You the Way,Thundercat,1,,Michael McDonald,Kenny Loggins,,,Pitchfork
2017_49,Mythological Beauty,Big Thief,0,,,,,,Pitchfork
2017_48,Bad Liar,Selena Gomez,0,,,,,,Pitchfork
2017_47,Crew,GoldLink,1,,Brent Faiyaz,Shy Glizzy,,,Pitchfork
2017_46,Star Roving,Slowdive,0,,,,,,Pitchfork
2017_45,Slip Away,Perfume Genius,0,,,,,,Pitchfork
2017_44,To the Moon and Back,Fever Ray,0,,,,,,Pitchfork
2017_43,The Bus Song,Jay Som,0,,,,,,Pitchfork
2017_42,The Louvre,Lorde,0,,,,,,Pitchfork
2017_41,Nothing Feels Natural,Priests,0,,,,,,Pitchfork
2017_40,911/Mr. Lonely,"Tyler, the Creator",1,,Frank Ocean,Steve Lacy,,,Pitchfork
2017_39,LOVE.,Kendrick Lamar,1,,Zacari,,,,Pitchfork
2017_38,Deadly Valentine,Charlotte Gainsbourg,0,,,,,,Pitchfork
2017_37,Deathless,Ibeyi,1,,Kamasi Washington,,,,Pitchfork
2017_36,Doomed’’,Moses Sumney,0,,,,,,Pitchfork
2017_35,On My Mind’’,Jorja Smith,0,,,,,,Pitchfork
2017_34,How Do You Sleep?,LCD Soundsystem,0,,,,,,Pitchfork
2017_33,Biking,Frank Ocean,1,,JAY-Z,"Tyler, the Creator",,,Pitchfork
2017_32,Nyakinyua Rise,Jlin,0,,,,,,Pitchfork
2017_31,Big Fish’’,Vince Staples,0,,,,,,Pitchfork
2017_30,Cut to the Feeling,Carly Rae Jepsen,0,,,,,,Pitchfork
2017_29,Truth,Kamasi Washington,0,,,,,,Pitchfork
2017_28,Love,Lana Del Rey,0,,,,,,Pitchfork
2017_27,(No One Knows Me) Like the Piano,Sampha,0,,,,,,Pitchfork
2017_26,LMK’’,Kelela,0,,,,,,Pitchfork
2017_25,The Opener’’,Camp Cope,0,,,,,,Pitchfork
2017_24,New York’’,St. Vincent,0,,,,,,Pitchfork
2017_23,Drink I’m Sippin On,Yaeji,0,,,,,,Pitchfork
2017_22,The Weekend,SZA,0,,,,,,Pitchfork
2017_21,T-Shirt,Migos,0,,,,,,Pitchfork
2017_20,Slide,Calvin Harris,1,,Frank Ocean,Migos,,,Pitchfork
2017_19,IDK About You,Fever Ray,0,,,,,,Pitchfork
2017_18,Baby Luv,Nilüfer Yanya,0,,,,,,Pitchfork
2017_17,Thinking of a Place,The War on Drugs,0,,,,,,Pitchfork
2017_16,Magnolia,Playboi Carti,0,,,,,,Pitchfork
2017_15,The Gate,Björk,0,,,,,,Pitchfork
2017_14,Real Death,Mount Eerie,0,,,,,,Pitchfork
2017_13,The Story of O.J.,JAY-Z,0,,,,,,Pitchfork
2017_12,Passionfruit,Drake,0,,,,,,Pitchfork
2017_11,HUMBLE.,Kendrick Lamar,0,,,,,,Pitchfork
2017_10,Boys,Charli XCX,0,,,,,,Pitchfork
2017_9,Frontline,Kelela,0,,,,,,Pitchfork
2017_8,Mask Off,Future,0,,,,,,Pitchfork
2017_7,Dum Surfer,King Krule,0,,,,,,Pitchfork
2017_6,Chanel,Frank Ocean,0,,,,,,Pitchfork
2017_5,XO TOUR Llif3,Lil Uzi Vert,0,,,,,,Pitchfork
2017_4,Love Galore,SZA,1,,Travis Scott,,,,Pitchfork
2017_3,Green Light,Lorde,0,,,,,,Pitchfork
2017_2,DNA,Kendrick Lamar,0,,,,,,Pitchfork
2017_1,Bodak Yellow,Cardi B,0,,,,,,Pitchfork
2018_100,Rich & Sad,Post Malone,0,,,,,,Pitchfork
2018_99,Stock Image,Miya Folick,0,,,,,,Pitchfork
2018_98,Self Care,Mac Miller,0,,,,,,Pitchfork
2018_97,In My View,Young Fathers,0,,,,,,Pitchfork
2018_96,Comeback Kid,Sharon Van Etten,0,,,,,,Pitchfork
2018_95,Moon River,Frank Ocean,0,,,,,,Pitchfork
2018_94,Love Me Right,Amber Mark,0,,,,,,Pitchfork
2018_93,T69 Collapse,Aphex Twin,0,,,,,,Pitchfork
2018_92,Track 10,Charli XCX,0,,,,,,Pitchfork
2018_91,Ring the Alarm,700 Bliss,0,,,,,,Pitchfork
2018_90,Hate the Real Me,Future,0,,,,,,Pitchfork
2018_89,Party for One,Carly Rae Jepsen,0,,,,,,Pitchfork
2018_88,Anna Wintour,Azealia Banks,0,,,,,,Pitchfork
2018_87,Stir Fry,Migos,0,,,,,,Pitchfork
2018_86,Distortion,Mount Eerie,0,,,,,,Pitchfork
2018_85,APESHIT,The Carters,0,,,,,,Pitchfork
2018_84,Vlone,Valee,0,,,,,,Pitchfork
2018_83,Believe,Amen Dunes,0,,,,,,Pitchfork
2018_82,Macaulay Culkin,JPEGMAFIA,0,,,,,,Pitchfork
2018_81,Life Is Beautiful,Lil Peep,0,,,,,,Pitchfork
2018_80,Thanks 4 Nothing,Nilüfer Yanya,0,,,,,,Pitchfork
2018_79,Sticky,Ravyn Lenae,0,,,,,,Pitchfork
2018_78,The River,Lolina,0,,,,,,Pitchfork
2018_77,OKRA,"Tyler, the Creator",0,,,,,,Pitchfork
2018_76,Devotion,Tirzah,1,,Coby Sey,,,,Pitchfork
2018_75,Hyper-Intelligent Genetically Enriched Cyborg,Helena Hauff,0,,,,,,Pitchfork
2018_74,Noid,Yves Tumor,0,,,,,,Pitchfork
2018_73,Sold Out Dates,Gunna,1,,Lil Baby,,,,Pitchfork
2018_72,Ladies,Slowthai,0,,,,,,Pitchfork
2018_71,Best Years of My Life,Pistol Annies,0,,,,,,Pitchfork
2018_70,Fists of Fury,Kamasi Washington,0,,,,,,Pitchfork
2018_69,Work It,Marie Davidson,0,,,,,,Pitchfork
2018_68,When I’m With Him,Empress Of,0,,,,,,Pitchfork
2018_67,Boys,Lizzo,0,,,,,,Pitchfork
2018_66,bless ur heart,serpentwithfeet,0,,,,,,Pitchfork
2018_65,Sweetener,Ariana Grande,0,,,,,,Pitchfork
2018_64,Loading Zones,Kurt Vile,0,,,,,,Pitchfork
2018_63,Heat Wave,Snail Mail,0,,,,,,Pitchfork
2018_62,Hands,Octavian,0,,,,,,Pitchfork
2018_61,Having Been Is No Way to Be,Jeff Tweedy,0,,,,,,Pitchfork
2018_60,It’s Not Living (If It’s Not With You),The 1975,0,,,,,,Pitchfork
2018_59,Four Out of Five,Arctic Monkeys,0,,,,,,Pitchfork
2018_58,Heaven’s Only Wishful,MorMor,0,,,,,,Pitchfork
2018_57,Look Alive,BlocBoy JB,1,,Drake,,,,Pitchfork
2018_56,Miki Dora,Amen Dunes,0,,,,,,Pitchfork
2018_55,One More,Yaeji,0,,,,,,Pitchfork
2018_54,I Do,Cardi B,1,,SZA,,,,Pitchfork
2018_53,Wanted,Sheck Wes,0,,,,,,Pitchfork
2018_52,My Queen Is Harriet Tubman,Sons of Kemet,0,,,,,,Pitchfork
2018_51,In Another Life,Sandro Perri,0,,,,,,Pitchfork
2018_50,Night Shift,Lucy Dacus,0,,,,,,Pitchfork
2018_49,Always Trying to Work It Out,Low,0,,,,,,Pitchfork
2018_48,Your Dog,Soccer Mommy,0,,,,,,Pitchfork
2018_47,The Eye,Empath,0,,,,,,Pitchfork
2018_46,High Horse,Kacey Musgraves,0,,,,,,Pitchfork
2018_45,Hungry Hippo,Tierra Whack,0,,,,,,Pitchfork
2018_44,This Time Around,Jessica Pratt,0,,,,,,Pitchfork
2018_43,Rage,Rico Nasty,0,,,,,,Pitchfork
2018_42,Geyser,Mitski,0,,,,,,Pitchfork
