year_rank,song,artist,is_collaboration,collaborator_1,collaborator_2,collaborator_3,collaborator_4,collaborator_5,source
2018_7,New Patek,Lil Uzi Vert,0,,,,,,Pitchfork
2018_6,Pristine,Snail Mail,0,,,,,,Pitchfork
2018_5,Pick Up,DJ Koze,0,,,,,,Pitchfork
2018_4,Nice for What,Drake,0,,,,,,Pitchfork
2018_3,Malamente (Cap. 1: Augurio),Rosalía,0,,,,,,Pitchfork
2018_2,Honey,Robyn,0,,,,,,Pitchfork
2018_1,Love It If We Made It,The 1975,0,,,,,,Pitchfork
2019_100,If I Can’t Have You,Shawn Mendes,0,,,,,,Pitchfork
2019_99,Fuck Dat,DJ Nate,0,,,,,,Pitchfork
2019_98,13th Century Metal,Brittany Howard,0,,,,,,Pitchfork
2019_97,Claim It,Klein,0,,,,,,Pitchfork
2019_96,Thinkin Bout You,Ciara,0,,,,,,Pitchfork
2019_95,Get Well Soon,Boy Scouts,0,,,,,,Pitchfork
2019_94,It’s Up Freestyle,Lil Keed,0,,,,,,Pitchfork
2019_93,Downhill Lullaby,Sky Ferreira,0,,,,,,Pitchfork
2019_92,Incapable,Róisín Murphy,0,,,,,,Pitchfork
2019_91,Superbike,Jay Som,0,,,,,,Pitchfork
2019_90,placeholder,Hand Habits,0,,,,,,Pitchfork
2019_89,Office Rage,Control Top,0,,,,,,Pitchfork
2019_88,My Type,Saweetie,0,,,,,,Pitchfork
2019_87,Lover,Taylor Swift,0,,,,,,Pitchfork
2019_86,Bird,Bedouine,0,,,,,,Pitchfork
2019_85,Flyin’,Duwap Kaine,0,,,,,,Pitchfork
2019_84,New Apartment,Ari Lennox,0,,,,,,Pitchfork
2019_83,Drømmen om Ø (Forever Mix ’19),Kasper Marott,0,,,,,,Pitchfork
2019_82,At the Party,Black Belt Eagle Scout,0,,,,,,Pitchfork
2019_81,What’s the Move,Young Thug,1,,Lil Uzi Vert,,,,Pitchfork
2019_80,bmbmbm,black midi,0,,,,,,Pitchfork
2019_79,Flood,Vagabon,0,,,,,,Pitchfork
2019_78,NCAA,2 Chainz,0,,,,,,Pitchfork
2019_77,New Tribe,Powder,0,,,,,,Pitchfork
2019_76,Roses That Cry,Empath,0,,,,,,Pitchfork
2019_75,One Sick Plan,Oso Oso,0,,,,,,Pitchfork
2019_74,Room Temperature,Faye Webster,0,,,,,,Pitchfork
2019_73,Meet Again,Maxo Kream,0,,,,,,Pitchfork
2019_72,Dumebi,Rema,0,,,,,,Pitchfork
2019_71,Ransom,Lil Tecca,0,,,,,,Pitchfork
2019_70,Hurry on Home,Sleater-Kinney,0,,,,,,Pitchfork
2019_69,Home,Caribou,0,,,,,,Pitchfork
2019_68,About Work the Dancefloor,Georgia,0,,,,,,Pitchfork
2019_67,sad day,FKA twigs,0,,,,,,Pitchfork
2019_66,Throne,Koffee,0,,,,,,Pitchfork
2019_65,I Need You,Octo Octa,0,,,,,,Pitchfork
2019_64,Capacity,Charly Bliss,0,,,,,,Pitchfork
2019_63,Pop Out,Polo G,1,,Lil Tjay,,,,Pitchfork
2019_62,Aeroplane,Jessica Pratt,0,,,,,,Pitchfork
2019_61,money machine,100 gecs,0,,,,,,Pitchfork
2019_60,Love Without Possession,Mount Eerie,0,,,,,,Pitchfork
2019_59,Fashionista,Chai,0,,,,,,Pitchfork
2019_58,Anybody,Burna Boy,0,,,,,,Pitchfork
2019_57,Summer Girl,Haim,0,,,,,,Pitchfork
2019_56,Bromley,Joy Overmono,0,,,,,,Pitchfork
2019_55,Freelance,Toro y Moi,0,,,,,,Pitchfork
2019_54,Vossi Bop,Stormzy,0,,,,,,Pitchfork
2019_53,Juice,Lizzo,0,,,,,,Pitchfork
2019_52,Wasted Youth,Jenny Lewis,0,,,,,,Pitchfork
2019_51,Starry Night,Peggy Gou,0,,,,,,Pitchfork
2019_50,Toyota Man,Neon Indian,0,,,,,,Pitchfork
2019_49,Dark Web,Teejayx6,0,,,,,,Pitchfork
2019_48,ZORA,Jamila Woods,0,,,,,,Pitchfork
2019_47,Door,Caroline Polachek,0,,,,,,Pitchfork
2019_46,Eye in the Wall,Perfume Genius,0,,,,,,Pitchfork
2019_45,NASA,Ariana Grande,0,,,,,,Pitchfork
2019_44,RICKY,Denzel Curry,0,,,,,,Pitchfork
2019_43,Pissy Pamper,Young Nudy,1,Playboi Carti,,,,,Pitchfork
2019_42,Stay High,Brittany Howard,0,,,,,,Pitchfork
2019_41,Welcome to the Party,Pop Smoke,0,,,,,,Pitchfork
2019_40,In Your Head,Nilüfer Yanya,0,,,,,,Pitchfork
2019_39,747,Bill Callahan,0,,,,,,Pitchfork
2019_38,Hello Sunshine,Bruce Springsteen,0,,,,,,Pitchfork
2019_37,Only Human,Four Tet,0,,,,,,Pitchfork
2019_36,What Happens to People?,Deerhunter,0,,,,,,Pitchfork
2019_35,People,The 1975,0,,,,,,Pitchfork
2019_34,True Blue,Mark Ronson,1,,Angel Olsen,,,,Pitchfork
2019_33,The Barrel,Aldous Harding,0,,,,,,Pitchfork
2019_32,Cattails,Big Thief,0,,,,,,Pitchfork
2019_31,Sympathy,Vampire Weekend,0,,,,,,Pitchfork
2019_30,Time Flies,Rico Nasty,0,,,,,,Pitchfork
2019_29,Daylight Matters,Cate Le Bon,0,,,,,,Pitchfork
2019_28,Andromeda,Weyes Blood,0,,,,,,Pitchfork
2019_27,"Hey, Ma",Bon Iver,0,,,,,,Pitchfork
2019_26,Dirty Laundry,Danny Brown,0,,,,,,Pitchfork
2019_25,Ashes to Ashes,Jenny Hval,0,,,,,,Pitchfork
2019_24,All Mirrors,Angel Olsen,0,,,,,,Pitchfork
2019_23,Running,Helado Negro,0,,,,,,Pitchfork
2019_22,hope is a dangerous thing for a woman like me to have - but i have it,Lana Del Rey,0,,,,,,Pitchfork
2019_21,Gretel,(Sandy) Alex G,0,,,,,,Pitchfork
2019_20,Suge (Yea Yea),DaBaby,0,,,,,,Pitchfork
2019_19,He,Jai Paul,0,,,,,,Pitchfork
2019_18,Old Town Road,Lil Nas X,0,,,,,,Pitchfork
2019_17,Snow Is Falling in Manhattan,Purple Mountains,0,,,,,,Pitchfork
2019_16,Drunk II,Mannequin Pussy,0,,,,,,Pitchfork
2019_15,Free Uzi,Lil Uzi Vert,0,,,,,,Pitchfork
2019_14,Motivation,Normani,0,,,,,,Pitchfork
2019_13,Lark,Angel Olsen,0,,,,,,Pitchfork
2019_12,Cash Shit,Megan Thee Stallion,1,,DaBaby,,,,Pitchfork
2019_11,Binz,Solange,0,,,,,,Pitchfork
2019_10,bad guy,Billie Eilish,0,,,,,,Pitchfork
2019_9,Not,Big Thief,0,,,,,,Pitchfork
2019_8,Con Altura,Rosalía,1,J Balvin,,,,,Pitchfork
2019_7,Dawn Chorus,Thom Yorke,0,,,,,,Pitchfork
2019_6,Seventeen,Sharon Van Etten,0,,,,,,Pitchfork
2019_5,Caro,Bad Bunny,0,,,,,,Pitchfork
2019_4,Gone,Charli XCX,1,Christine and the Queens,,,,,Pitchfork
2019_3,Bags,Clairo,0,,,,,,Pitchfork
2019_2,The Greatest,Lana Del Rey,0,,,,,,Pitchfork
2019_1,cellophane,FKA twigs,0,,,,,,Pitchfork
2020_100,dominique,Ela Minus,1,,,,,,Pitchfork
2020_99,I Walk Alone With Acid,Pale Blue,1,,,,,,Pitchfork
2020_98,Dobby,1010 Benja SL,1,,,,,,Pitchfork
2020_97,Horrible Person,Caitlin Pasko,1,,,,,,Pitchfork
2020_96,Acid,Jockstrap,1,,,,,,Pitchfork
2020_95,Hula,Bullion,1,,,,,,Pitchfork
2020_94,Caution,The Killers,1,,,,,,Pitchfork
2020_93,Rockstar,DaBaby,1,,Roddy Ricch,,,,Pitchfork
2020_92,Hannah Sun,Lomelda,1,,,,,,Pitchfork
2020_91,WAKING UP DOWN,Yaeji,1,,,,,,Pitchfork
2020_90,Echos,Beatriz Ferreyra,1,,,,,,Pitchfork
2020_89,Care,beabadoobee,1,,,,,,Pitchfork
2020_88,Hate the Club,Kehlani,1,,Masego,,,,Pitchfork
2020_87,ADMSDP,DJ Python,1,,LA Warman,,,,Pitchfork
2020_86,Breathe Deeper,Tame Impala,1,,,,,,Pitchfork
2020_85,Don Dada,Cakes Da Killa,1,Proper Villains,,,,,Pitchfork
2020_84,IPHONE,Rico Nasty,1,,,,,,Pitchfork
2020_83,Suite pour l’invisible,Ana Roxanne,1,,,,,,Pitchfork
2020_82,Furies,Moor Mother,1,billy woods,,,,,Pitchfork
2020_81,River Dreams,Beverly Glenn-Copeland,1,,,,,,Pitchfork
2020_80,Hit Different,SZA,1,,Ty Dolla $ign,,,,Pitchfork
2020_79,Sayonara,Kate NV,1,,,,,,Pitchfork
2020_78,Backflip or Sumn,Drakeo the Ruler,1,JoogSzn,,,,,Pitchfork
2020_77,Sunblind,Fleet Foxes,1,,,,,,Pitchfork
2020_76,Tap In,Saweetie,1,,,,,,Pitchfork
2020_75,Long Road Home,Oneohtrix Point Never,1,,,,,,Pitchfork
2020_74,I Fell in Love,Helado Negro,1,,Xenia Rubinos,,,,Pitchfork
2020_73,Angel,Standing on the Corner,1,,,,,,Pitchfork
2020_72,Lockdown,Koffee,1,,,,,,Pitchfork
2020_71,mirrorball,Taylor Swift,1,,,,,,Pitchfork
2020_70,Scottie Beam,Freddie Gibbs,1,The Alchemist,Rick Ross,,,,Pitchfork
2020_69,The Box,Roddy Ricch,1,,,,,,Pitchfork
2020_68,Bittersweet,Lianne La Havas,1,,,,,,Pitchfork
2020_67,Mequetrefe,Arca,1,,,,,,Pitchfork
2020_66,Whole New Mess,Angel Olsen,1,,,,,,Pitchfork
2020_65,JU$T,Run the Jewels,1,,Pharrell Williams,Zach De La Rocha,,,Pitchfork
2020_64,Lick in Heaven,Jessy Lanza,1,,,,,,Pitchfork
2020_63,"I Love (Mimi, Moms, Kev)",Ka,1,,,,,,Pitchfork
2020_62,The Mackenzies,Bill Callahan,1,,,,,,Pitchfork
2020_61,The Neverending Story,Jay Electronica,1,,,,,,Pitchfork
2020_60,Gaslighter,The Chicks,1,,,,,,Pitchfork
2020_59,forever,Charli XCX,1,,,,,,Pitchfork
2020_58,Yo Perreo Sola,Bad Bunny,1,,,,,,Pitchfork
2020_57,Onyeka (Baby),Burna Boy,1,,,,,,Pitchfork
2020_56,Pussy Talk,City Girls,1,,Doja Cat,,,,Pitchfork
2020_55,Sweet,Porridge Radio,1,,,,,,Pitchfork
2020_54,Cue Synthesizer,Destroyer,1,,,,,,Pitchfork
2020_53,Free Joe Exotic,Bfb Da Packman,1,,Sada Baby,,,,Pitchfork
2020_52,QADIR,Nick Hakim,1,,,,,,Pitchfork
2020_51,I Know Alone,Haim,1,,,,,,Pitchfork
2020_50,Melt!,Kelly Lee Owens,1,,,,,,Pitchfork
2020_49,Physical,Dua Lipa,1,,,,,,Pitchfork
2020_48,Dragonball Durag,Thundercat,1,,,,,,Pitchfork
2020_47,The Ascension,Sufjan Stevens,1,,,,,,Pitchfork
2020_46,Guilty Conscience,070 Shake,1,,,,,,Pitchfork
2020_45,Ordinary Talk,Half Waif,1,,,,,,Pitchfork
2020_44,We Paid,Lil Baby,1,42 Dugg,,,,,Pitchfork
2020_43,Murphy’s Law,Róisín Murphy,1,,,,,,Pitchfork
2020_42,WHOLE WORLD,Earl Sweatshirt,1,,Maxo,,,,Pitchfork
2020_41,Kawasaki Backflip,Dogleg,1,,,,,,Pitchfork
2020_40,Like That Bitch,Flo Milli,1,,,,,,Pitchfork
2020_39,I Know the End,Phoebe Bridgers,1,,,,,,Pitchfork
2020_38,Bad Friend,Rina Sawayama,1,,,,,,Pitchfork
2020_37,Vanishing Twin,Blake Mills,1,,,,,,Pitchfork
2020_36,Mustang,Bartees Strange,1,,,,,,Pitchfork
2020_35,The Steps,Haim,1,,,,,,Pitchfork
2020_34,Song 33,Noname,1,,,,,,Pitchfork
2020_33,On My Own,Shamir,1,,,,,,Pitchfork
2020_32,the last great american dynasty,Taylor Swift,1,,,,,,Pitchfork
2020_31,Lilacs,Waxahatchee,1,,,,,,Pitchfork
2020_30,FANCY,Amaarae,1,,,,,,Pitchfork
2020_29,POP,Lil Uzi Vert,1,,,,,,Pitchfork
2020_28,If You’re Too Shy (Let Me Know),The 1975,1,,,,,,Pitchfork
2020_27,Loner,Dehd,1,,,,,,Pitchfork
2020_26,Laugh Now Cry Later,Drake,1,,Lil Durk,,,,Pitchfork
2020_25,hand crushed by a mallet (remix),100 gecs,1,,Fall Out Boy,Craig Owens,Nicole Dollanganger,,Pitchfork
2020_24,Robber,The Weather Station,1,,,,,,Pitchfork
2020_23,Blinding Lights,The Weeknd,1,,,,,,Pitchfork
2020_22,What’s Your Pleasure?,Jessie Ware,1,,,,,,Pitchfork
2020_21,For You,India Jordan,1,,,,,,Pitchfork
2020_20,Lost One,Jazmine Sullivan,1,,,,,,Pitchfork
2020_19,anything,Adrianne Lenker,1,,,,,,Pitchfork
2020_18,Both of Us,Jayda G,1,,,,,,Pitchfork
2020_17,Delete Forever,Grimes,1,,,,,,Pitchfork
2020_16,Fetch the Bolt Cutters,Fiona Apple,1,,,,,,Pitchfork
2020_15,Do It,Chloe x Halle,1,,,,,,Pitchfork
2020_14,4 American Dollars,U.S. Girls,1,,,,,,Pitchfork
2020_13,circle the drain,Soccer Mommy,1,,,,,,Pitchfork
2020_12,Cut Me,Moses Sumney,1,,,,,,Pitchfork
2020_11,Rain on Me,Lady Gaga,1,Ariana Grande,,,,,Pitchfork
2020_10,Fire,Waxahatchee,1,,,,,,Pitchfork
2020_9,Garden Song,Phoebe Bridgers,1,,,,,,Pitchfork
2020_8,Describe,Perfume Genius,1,,,,,,Pitchfork
2020_7,Gospel for a New Century,Yves Tumor,1,,,,,,Pitchfork
2020_6,Murder Most Foul,Bob Dylan,1,,,,,,Pitchfork
2020_5,Safaera,Bad Bunny,1,Jowell & Randy,,,,,Pitchfork
2020_4,Savage Remix,Megan Thee Stallion,1,,Beyoncé,,,,Pitchfork
2020_3,I Want You to Love Me,Fiona Apple,1,,,,,,Pitchfork
2020_2,"People, I’ve been sad",Christine and the Queens,1,,,,,,Pitchfork
2020_1,WAP,Cardi B,1,,Megan Thee Stallion,,,,Pitchfork
2021_100,"I am not a woman, I’m a god",Halsey,0,,,,,,Pitchfork
2021_99,Believer,Smerz,0,,,,,,Pitchfork
2021_98,Bottle Episode,"Mandy, Indiana",0,,,,,,Pitchfork
2021_97,Last Day on Earth,beabadoobee,0,,,,,,Pitchfork
2021_96,Being Honest,Kay Flock,0,,,,,,Pitchfork
2021_95,Look,Doss,0,,,,,,Pitchfork
2021_94,Get Into It (Yuh),Doja Cat,0,,,,,,Pitchfork
2021_93,Time Travel,Mavi,0,,,,,,Pitchfork
2021_92,Little Deer,SPELLLING,0,,,,,,Pitchfork
2021_91,We Don’t Have to Talk About It,Snoh Aalegra,0,,,,,,Pitchfork
2021_90,All Futures,The Armed,0,,,,,,Pitchfork
2021_89,Boing Beat,Danny L Harle,0,,,,,,Pitchfork
2021_88,Many Times,Dijon,0,,,,,,Pitchfork
2021_87,better,Joy Orbison,0,,,,,,Pitchfork
2021_86,2 You,Mariah the Scientist,0,,,,,,Pitchfork
2021_85,Twerkulator,City Girls,0,,,,,,Pitchfork
2021_84,Michelle Pfeiffer,Ethel Cain,0,,,,,,Pitchfork
2021_83,Damaged,Leo Bhanji,0,,,,,,Pitchfork
2021_82,Rare to Wake,Shannon Lay,0,,,,,,Pitchfork
2021_81,Gët Busy,Yeat,0,,,,,,Pitchfork
2021_80,4Runner,Rostam,0,,,,,,Pitchfork
2021_79,Quotations,Water From Your Eyes,0,,,,,,Pitchfork
2021_78,the rot,Dean Blunt,0,,,,,,Pitchfork
2021_77,Shelter Song,Iceage,0,,,,,,Pitchfork
2021_76,Parking Area,Foodman,0,,,,,,Pitchfork
2021_75,Don’t You Worry About Me,Bad Boy Chiller Crew,0,,,,,,Pitchfork
2021_74,Gemini and Leo,Helado Negro,0,,,,,,Pitchfork
2021_73,Hold U,Indigo De Souza,0,,,,,,Pitchfork
2021_72,Dope Game $tupid,Bruiser Wolf,0,,,,,,Pitchfork
2021_71,VBS,Lucy Dacus,0,,,,,,Pitchfork
2021_70,All I Need,Jayda G,0,,,,,,Pitchfork
2021_69,Wild Side,Normani,0,,,,,,Pitchfork
2021_68,Mystery,Turnstile,0,,,,,,Pitchfork
2021_67,Xiu,Yu Su,0,,,,,,Pitchfork
2021_66,Bussifame,Dawn Richard,0,,,,,,Pitchfork
2021_65,Stonefruit,Armand Hammer and the Alchemist,0,,,,,,Pitchfork
2021_64,Fellowship,serpentwithfeet,0,,,,,,Pitchfork
2021_63,I Lie Here Buried With My Rings and My Dresses,Backxwash,0,,,,,,Pitchfork
2021_62,MONTERO (Call Me By Your Name),Lil Nas X,0,,,,,,Pitchfork
2021_61,23,Cleo Sol,0,,,,,,Pitchfork
2021_60,Sick Bitch,LSDXOXO,0,,,,,,Pitchfork
2021_59,Dogma,Circuit des Yeux,0,,,,,,Pitchfork
2021_58,Drama,Erika de Casier,0,,,,,,Pitchfork
2021_57,Sad Girlz Luv Money Remix,Amaarae,0,,,,,,Pitchfork
2021_56,Beating Down Yo Block,Monaleo,0,,,,,,Pitchfork
2021_55,Weights,Bartees Strange,0,,,,,,Pitchfork
2021_54,Best Friend,Saweetie,0,,,,,,Pitchfork
2021_53,Send Me,Tirzah,0,,,,,,Pitchfork
2021_52,Happier Than Ever,Billie Eilish,0,,,,,,Pitchfork
2021_51,Introvert,Little Simz,0,,,,,,Pitchfork
2021_50,I Don’t Live Here Anymore,The War on Drugs,0,,,,,,Pitchfork
2021_49,Kelso (Blue sky),Grouper,0,,,,,,Pitchfork
2021_48,Strawberry,Doss,0,,,,,,Pitchfork
2021_47,"Bzrp Music Sessions, Vol. 38",L-Gante,0,,,,,,Pitchfork
2021_46,Tales From the Trash Stratum,Oneohtrix Point Never,1,Elizabeth Fraser,,,,,Pitchfork
2021_45,Good Ones,Charli XCX,0,,,,,,Pitchfork
2021_44,American tterroristt,Rxk Nephew,0,,,,,,Pitchfork
2021_43,Peaches,Justin Bieber,0,,,,,,Pitchfork
2021_42,Chaeri,Magdalena Bay,0,,,,,,Pitchfork
2021_41,Breadwinner,Kacey Musgraves,0,,,,,,Pitchfork
2021_40,MMMOOOAAAAAYAYA,Illuminati Hotties,0,,,,,,Pitchfork
2021_39,To Be Loved,Adele,0,,,,,,Pitchfork
2021_38,Slay3r,Playboi Carti,0,,,,,,Pitchfork
2021_37,Road of the Lonely Ones,Madlib,0,,,,,,Pitchfork
2021_36,Dark Gethsemane,Burial,0,,,,,,Pitchfork
2021_35,Kiss Me More,Doja Cat,0,,,,,,Pitchfork
2021_34,Crystal Ball,MIKE,0,,,,,,Pitchfork
2021_33,Afrique Victime,Mdou Moctar,0,,,,,,Pitchfork
2021_32,Open Eyes,duendita,0,,,,,,Pitchfork
2021_31,Please,Jessie Ware,0,,,,,,Pitchfork
2021_30,Rainforest,Noname,0,,,,,,Pitchfork
2021_29,Scratchcard Lanyard,Dry Cleaning,0,,,,,,Pitchfork
2021_28,Fuck Him All Night,Azealia Banks,0,,,,,,Pitchfork
2021_27,Kriminel,Mach-Hommy,0,,,,,,Pitchfork
2021_26,Find It,L’Rain,0,,,,,,Pitchfork
2021_25,Jackie,Yves Tumor,0,,,,,,Pitchfork
2021_24,Just for Me,PinkPantheress,0,,,,,,Pitchfork
2021_23,Embryo,Jlin,0,,,,,,Pitchfork
2021_22,family ties,Baby Keem,0,,,,,,Pitchfork
2021_21,John L,black midi,0,,,,,,Pitchfork
2021_20,Good Days,SZA,0,,,,,,Pitchfork
2021_19,I Know I’m Funny haha,Faye Webster,0,,,,,,Pitchfork
2021_18,Thot Shit,Megan Thee Stallion,0,,,,,,Pitchfork
2021_17,I Go,Peggy Gou,0,,,,,,Pitchfork
2021_16,Bouncin,Tinashe,0,,,,,,Pitchfork
2021_15,Little Things,Big Thief,0,,,,,,Pitchfork
2021_14,Essence,WizKid,0,,,,,,Pitchfork
2021_13,La Perla,Sofia Kourtesis,0,,,,,,Pitchfork
2021_12,Like I Used To,Sharon Van Etten,1,Angel Olsen,,,,,Pitchfork
2021_11,Be Sweet,Japanese Breakfast,0,,,,,,Pitchfork
2021_10,deja vu,Olivia Rodrigo,0,,,,,,Pitchfork
2021_9,Mohabbat,Arooj Aftab,0,,,,,,Pitchfork
2021_8,Valentine,Snail Mail,0,,,,,,Pitchfork
2021_7,Working for the Knife,Mitski,0,,,,,,Pitchfork
2021_6,Lumberjack,"Tyler, the Creator",0,,,,,,Pitchfork
2021_5,White Dress,Lana Del Rey,0,,,,,,Pitchfork
2021_4,Pick Up Your Feelings,Jazmine Sullivan,0,,,,,,Pitchfork
2021_3,Days Like These,Low,0,,,,,,Pitchfork
2021_2,Hard Drive,Cassandra Jenkins,0,,,,,,Pitchfork
2021_1,Bunny Is a Rider,Caroline Polachek,0,,,,,,Pitchfork
2022_100,As It Was,Harry Styles,0,,,,,,Pitchfork
2022_99,Welcome to Hell,Black Midi,0,,,,,,Pitchfork
2022_98,Tonight,Phoenix,0,,,,,,Pitchfork
2022_97,happy accident,Tomberlin,0,,,,,,Pitchfork
2022_96,Pájaros en Verano,Ela Minus,1,DJ Python,,,,,Pitchfork
2022_95,May Brigade,Horse Lords,0,,,,,,Pitchfork
2022_94,Lydia Wears a Cross,Julia Jacklin,0,,,,,,Pitchfork
2022_93,Punish,4s4ki,0,,,,,,Pitchfork
2022_92,Bull Believer,Wednesday,0,,,,,,Pitchfork
2022_91,Pods,Two Shell,0,,,,,,Pitchfork
2022_90,bezhigo,Joe Rainey,0,,,,,,Pitchfork
2022_89,Diet Coke,Pusha T,0,,,,,,Pitchfork
2022_88,Edge of the Edge,Panda Bear,1,Sonic Boom,,,,,Pitchfork
2022_87,What I Want,MUNA,0,,,,,,Pitchfork
2022_86,Strange Neighbourhood,Burial,0,,,,,,Pitchfork
2022_85,Ascension,Ka,0,,,,,,Pitchfork
2022_84,Anything,Sharon Van Etten,0,,,,,,Pitchfork
2022_83,City in a City,Cole Pulice,0,,,,,,Pitchfork
2022_82,Real Hips,Bandmanrill,0,,,,,,Pitchfork
2022_81,Royal and Desire,Animal Collective,0,,,,,,Pitchfork
2022_80,Washed Away,Kelela,0,,,,,,Pitchfork
2022_79,Backwash,Gilla Band,0,,,,,,Pitchfork
2022_78,hear you,Yung Kayo,1,Eartheater,,,,,Pitchfork
2022_77,Back to the Radio,Porridge Radio,0,,,,,,Pitchfork
2022_76,Cada Músculo,Mabe Fratti,0,,,,,,Pitchfork
2022_75,Tabula Rasa,Earl Sweatshirt,0,,,,,,Pitchfork
2022_74,Protection From Evil,Ibibio Sound Machine,0,,,,,,Pitchfork
2022_73,Sincerely Face,Babyface Ray,0,,,,,,Pitchfork
2022_72,B.O.T.A. (Baddest of Them All),Eliza Rose,1,Interplanetary Criminal,,,,,Pitchfork
2022_71,Coochie (a bedtime story),Shygirl,0,,,,,,Pitchfork
2022_70,Computer Exploder,Oso Oso,0,,,,,,Pitchfork
2022_69,Baking Soda,Mavi,0,,,,,,Pitchfork
2022_68,Bad Love,Dehd,0,,,,,,Pitchfork
2022_67,Pull Up,Koffee,0,,,,,,Pitchfork
2022_66,Right to Riot,Hagop Tchaparian,0,,,,,,Pitchfork
2022_65,Body Paint,Arctic Monkeys,0,,,,,,Pitchfork
2022_64,Ugly Season,Perfume Genius,0,,,,,,Pitchfork
2022_63,New Bottega,Azealia Banks,0,,,,,,Pitchfork
2022_62,What They Call Us,Fever Ray,0,,,,,,Pitchfork
2022_61,What It Is,Amber Mark,0,,,,,,Pitchfork
2022_60,Problem With It,Plains,0,,,,,,Pitchfork
2022_59,Don’t Forget You’re Precious,Alabaster DePlume,0,,,,,,Pitchfork
2022_58,melt,Kehlani,0,,,,,,Pitchfork
2022_57,Running With the Hurricane,Camp Cope,0,,,,,,Pitchfork
2022_56,Break My Soul,Beyoncé,0,,,,,,Pitchfork
2022_55,Basketball Shoes,"Black Country, New Road",0,,,,,,Pitchfork
2022_54,Angel,DJ Python,0,,,,,,Pitchfork
2022_53,honda,FKA twigs,0,,,,,,Pitchfork
2022_52,Jackie Down the Line,Fontaines D.C.,0,,,,,,Pitchfork
2022_51,Looking at Your Pager,KH,0,,,,,,Pitchfork
2022_50,Belize,Danger Mouse,1,Black Thought,,,,,Pitchfork
2022_49,Free Yourself,Jessie Ware,0,,,,,,Pitchfork
2022_48,Light Me Up,Ravyn Lenae,0,,,,,,Pitchfork
2022_47,Circles Around This Town,Maren Morris,0,,,,,,Pitchfork
2022_46,Sticky,Drake,0,,,,,,Pitchfork
2022_45,El Galatzó,Lucrecia Dalt,0,,,,,,Pitchfork
2022_44,Anti-Hero,Taylor Swift,0,,,,,,Pitchfork
2022_43,Western Wind,Carly Rae Jepsen,0,,,,,,Pitchfork
2022_42,Tastes Just Like It Costs,MJ Lenderman,0,,,,,,Pitchfork
2022_41,It Hit Me,Charlotte Adigéry,1,Bolis Pupul,,,,,Pitchfork
2022_40,keisha,Yaya Bey,0,,,,,,Pitchfork
2022_39,Plan B,Megan Thee Stallion,0,,,,,,Pitchfork
2022_38,Big Time,Angel Olsen,0,,,,,,Pitchfork
2022_37,Home Maker,Sudan Archives,0,,,,,,Pitchfork
2022_36,Bites on My Neck,yeule,0,,,,,,Pitchfork
2022_35,Midnight Legend,Special Interest,1,,Mykki Blanco,,,,Pitchfork
2022_34,Shelly,Grace Ives,0,,,,,,Pitchfork
2022_33,Spud Infinity,Big Thief,0,,,,,,Pitchfork
2022_32,Bitch Where,Chief Keef,0,,,,,,Pitchfork
2022_31,Constant Repeat,Charli XCX,0,,,,,,Pitchfork
2022_30,Munch (Feelin’ U),Ice Spice,0,,,,,,Pitchfork
2022_29,Greatest Hits,Jockstrap,0,,,,,,Pitchfork
2022_28,Shotgun,Soccer Mommy,0,,,,,,Pitchfork
2022_27,Bad Habit,Steve Lacy,0,,,,,,Pitchfork
2022_26,Moderation,Cate Le Bon,0,,,,,,Pitchfork
2022_25,Last Last,Burna Boy,0,,,,,,Pitchfork
2022_24,Cherry,Daphni,0,,,,,,Pitchfork
2022_23,"It’s Not Just Me, It’s Everybody",Weyes Blood,0,,,,,,Pitchfork
2022_22,home,Two Shell,0,,,,,,Pitchfork
2022_21,We Not Humping (Remix),Monaleo,0,,,,,,Pitchfork
2022_20,Billions,Caroline Polachek,0,,,,,,Pitchfork
2022_19,Friday Night,Beth Orton,0,,,,,,Pitchfork
2022_18,Ancestress,Björk,0,,,,,,Pitchfork
2022_17,Midnight Sun,Nilüfer Yanya,0,,,,,,Pitchfork
2022_16,The Heart Part 5,Kendrick Lamar,0,,,,,,Pitchfork
2022_15,Heaven Come Crashing,Rachika Nayar,0,,,,,,Pitchfork
2022_14,Cash In Cash Out,Pharrell,0,,,,,,Pitchfork
2022_13,Part of the Band,The 1975,0,,,,,,Pitchfork
2022_12,Fever,Aldous Harding,0,,,,,,Pitchfork
2022_11,American Teenager,Ethel Cain,0,,,,,,Pitchfork
2022_10,Somewhere Near Marseilles,Hikaru Utada,0,,,,,,Pitchfork
2022_9,Tití Me Preguntó,Bad Bunny,0,,,,,,Pitchfork
2022_8,Step by Step,Alan Braxe,1,DJ Falcon,,,,,Pitchfork
2022_7,SAOKO,Rosalía,0,,,,,,Pitchfork
2022_6,Spitting Off the Edge of the World,Yeah Yeah Yeahs,0,,,,,,Pitchfork
2022_5,Alien Superstar,Beyoncé,0,,,,,,Pitchfork
2022_4,Runner,Alex G,0,,,,,,Pitchfork
2022_3,F.N.F. (Let’s Go),Glorilla,1,Hitkidd,,,,,Pitchfork
2022_2,June,Destroyer,0,,,,,,Pitchfork
2022_1,Belinda Says,Alvvays,0,,,,,,Pitchfork
