artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
MGMT,0SwO7SWeDHJijQ3XNS7xEE,Time to Pretend,4iG2gAwKXsOcijVaVXzRPW,Oracular Spectacular,2007-12-14,80,True,261.0,"{'danceability': 0.438, 'energy': 0.94, 'key': 2, 'loudness': -3.249, 'mode': 1, 'speechiness': 0.0452, 'acousticness': 8.74e-05, 'instrumentalness': 0.0777, 'liveness': 0.3, 'valence': 0.421, 'tempo': 100.99, 'type': 'audio_features', 'id': '4iG2gAwKXsOcijVaVXzRPW', 'uri': 'spotify:track:4iG2gAwKXsOcijVaVXzRPW', 'track_href': 'https://api.spotify.com/v1/tracks/4iG2gAwKXsOcijVaVXzRPW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4iG2gAwKXsOcijVaVXzRPW', 'duration_ms': 261000, 'time_signature': 3}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,Untrust Us,3q2yH1T78FptWtAmCpQlrG,Crystal Castles,2008-03-16,0,False,186.373,"{'danceability': 0.604, 'energy': 0.823, 'key': 11, 'loudness': -5.389, 'mode': 0, 'speechiness': 0.0276, 'acousticness': 0.0429, 'instrumentalness': 0.128, 'liveness': 0.117, 'valence': 0.19, 'tempo': 125.876, 'type': 'audio_features', 'id': '3q2yH1T78FptWtAmCpQlrG', 'uri': 'spotify:track:3q2yH1T78FptWtAmCpQlrG', 'track_href': 'https://api.spotify.com/v1/tracks/3q2yH1T78FptWtAmCpQlrG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3q2yH1T78FptWtAmCpQlrG', 'duration_ms': 186373, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Shearwater,0CoiIc6ZLBvF9Cjmb1Cj49,The Snow Leopard [Album Version],3TuYZjizm6EOoV8q885Bxs,The Snow Leopard EP,2008-10-14,0,False,302.2,"{'danceability': 0.519, 'energy': 0.323, 'key': 10, 'loudness': -10.136, 'mode': 0, 'speechiness': 0.0258, 'acousticness': 0.909, 'instrumentalness': 0.539, 'liveness': 0.156, 'valence': 0.139, 'tempo': 73.946, 'type': 'audio_features', 'id': '3TuYZjizm6EOoV8q885Bxs', 'uri': 'spotify:track:3TuYZjizm6EOoV8q885Bxs', 'track_href': 'https://api.spotify.com/v1/tracks/3TuYZjizm6EOoV8q885Bxs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3TuYZjizm6EOoV8q885Bxs', 'duration_ms': 302200, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Arthur Russell,3iJJD5v7oIFUevW4N5w5cj,I Couldn't Say It to Your Face,4zTlDnBZHsQfVspeFDYrAc,Love Is Overtaking Me,2008-10-27,0,False,158.08,"{'danceability': 0.552, 'energy': 0.425, 'key': 5, 'loudness': -8.15, 'mode': 1, 'speechiness': 0.0369, 'acousticness': 0.301, 'instrumentalness': 0, 'liveness': 0.32, 'valence': 0.519, 'tempo': 124.994, 'type': 'audio_features', 'id': '4zTlDnBZHsQfVspeFDYrAc', 'uri': 'spotify:track:4zTlDnBZHsQfVspeFDYrAc', 'track_href': 'https://api.spotify.com/v1/tracks/4zTlDnBZHsQfVspeFDYrAc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4zTlDnBZHsQfVspeFDYrAc', 'duration_ms': 158080, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
TV On The Radio,3HJIB8sYPyxrFGuwvKXSLR,DLZ,6HShLj7GuPA7CC2oeRPUNL,"Dear Science,",2008-09-21,0,False,228.706,"{'danceability': 0.512, 'energy': 0.882, 'key': 8, 'loudness': -4.024, 'mode': 0, 'speechiness': 0.0454, 'acousticness': 0.0342, 'instrumentalness': 0.00262, 'liveness': 0.108, 'valence': 0.512, 'tempo': 175.997, 'type': 'audio_features', 'id': '6HShLj7GuPA7CC2oeRPUNL', 'uri': 'spotify:track:6HShLj7GuPA7CC2oeRPUNL', 'track_href': 'https://api.spotify.com/v1/tracks/6HShLj7GuPA7CC2oeRPUNL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6HShLj7GuPA7CC2oeRPUNL', 'duration_ms': 228707, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Love Lockdown,02fjzVRiqb1AWqO7x05cY3,Love Lockdown,2008-01-01,0,False,270.866,"{'danceability': 0.776, 'energy': 0.505, 'key': 1, 'loudness': -7.873, 'mode': 0, 'speechiness': 0.0316, 'acousticness': 0.0963, 'instrumentalness': 0.285, 'liveness': 0.111, 'valence': 0.0678, 'tempo': 119.585, 'type': 'audio_features', 'id': '02fjzVRiqb1AWqO7x05cY3', 'uri': 'spotify:track:02fjzVRiqb1AWqO7x05cY3', 'track_href': 'https://api.spotify.com/v1/tracks/02fjzVRiqb1AWqO7x05cY3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/02fjzVRiqb1AWqO7x05cY3', 'duration_ms': 270867, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
T.I.,4OBJLual30L7gRl5UkeRcT,Live Your Life - feat. Rihanna,3KzBxXbF2tc01LeKu1uIMM,Live Your Life (feat. Rihanna) [International],2008-09-26,0,True,338.853,"{'danceability': 0.375, 'energy': 0.862, 'key': 11, 'loudness': -3.363, 'mode': 0, 'speechiness': 0.255, 'acousticness': 0.071, 'instrumentalness': 0, 'liveness': 0.211, 'valence': 0.478, 'tempo': 159.841, 'type': 'audio_features', 'id': '3KzBxXbF2tc01LeKu1uIMM', 'uri': 'spotify:track:3KzBxXbF2tc01LeKu1uIMM', 'track_href': 'https://api.spotify.com/v1/tracks/3KzBxXbF2tc01LeKu1uIMM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3KzBxXbF2tc01LeKu1uIMM', 'duration_ms': 338853, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,"Dig, Lazarus, Dig!!!",6Cs5VBjKW7G5AbXOhnIhqe,"DIG, LAZARUS, DIG!!!",2008-04-08,0,False,251.813,"{'danceability': 0.637, 'energy': 0.844, 'key': 11, 'loudness': -4.248, 'mode': 1, 'speechiness': 0.04, 'acousticness': 0.148, 'instrumentalness': 0, 'liveness': 0.226, 'valence': 0.816, 'tempo': 112.62, 'type': 'audio_features', 'id': '6Cs5VBjKW7G5AbXOhnIhqe', 'uri': 'spotify:track:6Cs5VBjKW7G5AbXOhnIhqe', 'track_href': 'https://api.spotify.com/v1/tracks/6Cs5VBjKW7G5AbXOhnIhqe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Cs5VBjKW7G5AbXOhnIhqe', 'duration_ms': 251813, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Hot Chip,37uLId6Z5ZXCx19vuruvv5,One Pure Thought,0cmxPtF9iVPO6bwHTBW4E1,Made In The Dark,2008-01-22,0,False,293.89,"{'danceability': 0.709, 'energy': 0.817, 'key': 10, 'loudness': -6.852, 'mode': 0, 'speechiness': 0.0388, 'acousticness': 0.00177, 'instrumentalness': 0.465, 'liveness': 0.283, 'valence': 0.626, 'tempo': 121.074, 'type': 'audio_features', 'id': '0cmxPtF9iVPO6bwHTBW4E1', 'uri': 'spotify:track:0cmxPtF9iVPO6bwHTBW4E1', 'track_href': 'https://api.spotify.com/v1/tracks/0cmxPtF9iVPO6bwHTBW4E1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0cmxPtF9iVPO6bwHTBW4E1', 'duration_ms': 293890, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Antony and the Johnsons,4fxp616ALtFWnXfwxnjLzW,Shake That Devil,6fKHLSqZ6HqG8S3QKY60ki,Another World,2008-10-06,0,False,319.026,"{'danceability': 0.46, 'energy': 0.452, 'key': 1, 'loudness': -12.367, 'mode': 0, 'speechiness': 0.104, 'acousticness': 0.849, 'instrumentalness': 0, 'liveness': 0.0753, 'valence': 0.256, 'tempo': 86.643, 'type': 'audio_features', 'id': '6fKHLSqZ6HqG8S3QKY60ki', 'uri': 'spotify:track:6fKHLSqZ6HqG8S3QKY60ki', 'track_href': 'https://api.spotify.com/v1/tracks/6fKHLSqZ6HqG8S3QKY60ki', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6fKHLSqZ6HqG8S3QKY60ki', 'duration_ms': 319027, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
M83,63MQldklfxkjYDoUE4Tppz,Graveyard girl,0HVjCKQ186bu8Cj0LEn7lQ,Saturdays = Youth,2008-04-11,0,False,293.573,"{'danceability': 0.376, 'energy': 0.832, 'key': 11, 'loudness': -5.057, 'mode': 1, 'speechiness': 0.0521, 'acousticness': 0.00325, 'instrumentalness': 0.884, 'liveness': 0.0922, 'valence': 0.142, 'tempo': 140.158, 'type': 'audio_features', 'id': '0HVjCKQ186bu8Cj0LEn7lQ', 'uri': 'spotify:track:0HVjCKQ186bu8Cj0LEn7lQ', 'track_href': 'https://api.spotify.com/v1/tracks/0HVjCKQ186bu8Cj0LEn7lQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0HVjCKQ186bu8Cj0LEn7lQ', 'duration_ms': 293573, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Alphabeat,7Defmv25Kj9knpobhHIghm,Fascination,4uqNn56KFQ7NtJ35xWZKvf,This Is Alphabeat,2007-12-10,0,False,181.666,"{'danceability': 0.491, 'energy': 0.831, 'key': 6, 'loudness': -5.321, 'mode': 0, 'speechiness': 0.0349, 'acousticness': 0.000285, 'instrumentalness': 7.88e-05, 'liveness': 0.0761, 'valence': 0.828, 'tempo': 193.968, 'type': 'audio_features', 'id': '4uqNn56KFQ7NtJ35xWZKvf', 'uri': 'spotify:track:4uqNn56KFQ7NtJ35xWZKvf', 'track_href': 'https://api.spotify.com/v1/tracks/4uqNn56KFQ7NtJ35xWZKvf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4uqNn56KFQ7NtJ35xWZKvf', 'duration_ms': 181667, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Spiritualized,6DKmuXxXASTF6xaJwcTfjv,Soul On Fire,29rryBHTqRHj6SzZ4DZoHf,Songs in A&E,2008-04-26,6,False,246.16,"{'danceability': 0.272, 'energy': 0.503, 'key': 4, 'loudness': -5.372, 'mode': 1, 'speechiness': 0.0342, 'acousticness': 0.235, 'instrumentalness': 0, 'liveness': 0.316, 'valence': 0.267, 'tempo': 131.147, 'type': 'audio_features', 'id': '29rryBHTqRHj6SzZ4DZoHf', 'uri': 'spotify:track:29rryBHTqRHj6SzZ4DZoHf', 'track_href': 'https://api.spotify.com/v1/tracks/29rryBHTqRHj6SzZ4DZoHf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/29rryBHTqRHj6SzZ4DZoHf', 'duration_ms': 246160, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Jay Reatard,3cAGUcRbwsFHwKbJv8FT4T,Always Wanting More,4SeRlCENEB82WSjNWsmZOv,Matador Singles ‘08,2008-10-07,0,False,130.12,"{'danceability': 0.106, 'energy': 0.977, 'key': 10, 'loudness': -3.006, 'mode': 1, 'speechiness': 0.121, 'acousticness': 0.199, 'instrumentalness': 7.26e-05, 'liveness': 0.55, 'valence': 0.422, 'tempo': 183.841, 'type': 'audio_features', 'id': '4SeRlCENEB82WSjNWsmZOv', 'uri': 'spotify:track:4SeRlCENEB82WSjNWsmZOv', 'track_href': 'https://api.spotify.com/v1/tracks/4SeRlCENEB82WSjNWsmZOv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4SeRlCENEB82WSjNWsmZOv', 'duration_ms': 130120, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
TV On The Radio,3HJIB8sYPyxrFGuwvKXSLR,Golden Age,5NDB2f4bSZg27nBzcsecw0,"Dear Science,",2008-09-21,0,False,251.893,"{'danceability': 0.709, 'energy': 0.806, 'key': 10, 'loudness': -5.835, 'mode': 0, 'speechiness': 0.0637, 'acousticness': 0.0146, 'instrumentalness': 5.48e-05, 'liveness': 0.097, 'valence': 0.582, 'tempo': 110.056, 'type': 'audio_features', 'id': '5NDB2f4bSZg27nBzcsecw0', 'uri': 'spotify:track:5NDB2f4bSZg27nBzcsecw0', 'track_href': 'https://api.spotify.com/v1/tracks/5NDB2f4bSZg27nBzcsecw0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5NDB2f4bSZg27nBzcsecw0', 'duration_ms': 251893, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Be Your Own Pet,60oPm94IK14iPqnGwkbw8x,Becky,2JXWrZnKf0PMklRuJapQgT,Get Awkward,2008-03-16,0,False,180.266,"{'danceability': 0.569, 'energy': 0.927, 'key': 7, 'loudness': -2.033, 'mode': 1, 'speechiness': 0.0376, 'acousticness': 0.00408, 'instrumentalness': 0, 'liveness': 0.152, 'valence': 0.556, 'tempo': 122.877, 'type': 'audio_features', 'id': '2JXWrZnKf0PMklRuJapQgT', 'uri': 'spotify:track:2JXWrZnKf0PMklRuJapQgT', 'track_href': 'https://api.spotify.com/v1/tracks/2JXWrZnKf0PMklRuJapQgT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2JXWrZnKf0PMklRuJapQgT', 'duration_ms': 180267, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Lykke Li,6oBm8HB0yfrIc9IHbxs6in,Little Bit,6PZDPg3dZgJkNL6nVMUB4b,Youth Novels,2008-01-28,45,False,273.426,"{'danceability': 0.819, 'energy': 0.736, 'key': 7, 'loudness': -6.504, 'mode': 1, 'speechiness': 0.0416, 'acousticness': 0.158, 'instrumentalness': 0.00161, 'liveness': 0.109, 'valence': 0.701, 'tempo': 120.318, 'type': 'audio_features', 'id': '6PZDPg3dZgJkNL6nVMUB4b', 'uri': 'spotify:track:6PZDPg3dZgJkNL6nVMUB4b', 'track_href': 'https://api.spotify.com/v1/tracks/6PZDPg3dZgJkNL6nVMUB4b', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6PZDPg3dZgJkNL6nVMUB4b', 'duration_ms': 273427, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
USHER,23zg3TcAtWQy7J6upgbUnj,Love In This Club,2GOUqCrN35QcAkCCUQqEk2,Love In This Club (Main Version),2008-02-22,0,False,261.426,"{'danceability': 0.579, 'energy': 0.75, 'key': 0, 'loudness': -4.783, 'mode': 1, 'speechiness': 0.0823, 'acousticness': 0.053, 'instrumentalness': 0, 'liveness': 0.137, 'valence': 0.35, 'tempo': 140.099, 'type': 'audio_features', 'id': '2GOUqCrN35QcAkCCUQqEk2', 'uri': 'spotify:track:2GOUqCrN35QcAkCCUQqEk2', 'track_href': 'https://api.spotify.com/v1/tracks/2GOUqCrN35QcAkCCUQqEk2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2GOUqCrN35QcAkCCUQqEk2', 'duration_ms': 261427, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Oxford Comma,5nHRIKsXDwUpse9gzrAxLR,Vampire Weekend,2008-01-27,0,True,195.733,"{'danceability': 0.692, 'energy': 0.717, 'key': 0, 'loudness': -4.226, 'mode': 1, 'speechiness': 0.0498, 'acousticness': 0.111, 'instrumentalness': 0.00123, 'liveness': 0.044, 'valence': 0.973, 'tempo': 119.907, 'type': 'audio_features', 'id': '5nHRIKsXDwUpse9gzrAxLR', 'uri': 'spotify:track:5nHRIKsXDwUpse9gzrAxLR', 'track_href': 'https://api.spotify.com/v1/tracks/5nHRIKsXDwUpse9gzrAxLR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5nHRIKsXDwUpse9gzrAxLR', 'duration_ms': 195733, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Annie,7zt6Af78CalxaPDqORfw8L,I Know Ur Girlfriend Hates Me,596kOBtyzM0d0gHGk5l11D,I Know Ur Girlfriend Hates Me,2008-01-01,19,False,188.6,"{'danceability': 0.714, 'energy': 0.932, 'key': 5, 'loudness': -5.094, 'mode': 0, 'speechiness': 0.0416, 'acousticness': 0.0147, 'instrumentalness': 8.68e-05, 'liveness': 0.343, 'valence': 0.536, 'tempo': 113.096, 'type': 'audio_features', 'id': '596kOBtyzM0d0gHGk5l11D', 'uri': 'spotify:track:596kOBtyzM0d0gHGk5l11D', 'track_href': 'https://api.spotify.com/v1/tracks/596kOBtyzM0d0gHGk5l11D', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/596kOBtyzM0d0gHGk5l11D', 'duration_ms': 188600, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
The Dodos,10tysauSA5JATqniBDu2Ed,Fools,6YvAO2lwuLVmSKRXV98b9M,Visiter,2008-01-01,26,False,282.506,"{'danceability': 0.377, 'energy': 0.934, 'key': 8, 'loudness': -7.267, 'mode': 1, 'speechiness': 0.0417, 'acousticness': 0.3, 'instrumentalness': 0.0335, 'liveness': 0.131, 'valence': 0.474, 'tempo': 99.947, 'type': 'audio_features', 'id': '6YvAO2lwuLVmSKRXV98b9M', 'uri': 'spotify:track:6YvAO2lwuLVmSKRXV98b9M', 'track_href': 'https://api.spotify.com/v1/tracks/6YvAO2lwuLVmSKRXV98b9M', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6YvAO2lwuLVmSKRXV98b9M', 'duration_ms': 282507, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,Courtship Dating,1MqTfbSz56yfmS7TixZXTq,Courtship Dating,2008-04-21,0,False,212.453,"{'danceability': 0.74, 'energy': 0.575, 'key': 7, 'loudness': -6.829, 'mode': 1, 'speechiness': 0.0421, 'acousticness': 0.0137, 'instrumentalness': 0.263, 'liveness': 0.0846, 'valence': 0.667, 'tempo': 119.998, 'type': 'audio_features', 'id': '1MqTfbSz56yfmS7TixZXTq', 'uri': 'spotify:track:1MqTfbSz56yfmS7TixZXTq', 'track_href': 'https://api.spotify.com/v1/tracks/1MqTfbSz56yfmS7TixZXTq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1MqTfbSz56yfmS7TixZXTq', 'duration_ms': 212453, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Q-Tip,3ZotbHeyVQKxQCPDJuQ4SU,Gettin Up,5lr5hSlTYdqZqXf0FjQc4N,The Renaissance,2008-11-04,27,True,197.68,"{'danceability': 0.785, 'energy': 0.659, 'key': 1, 'loudness': -5.335, 'mode': 1, 'speechiness': 0.111, 'acousticness': 0.0159, 'instrumentalness': 0.032, 'liveness': 0.102, 'valence': 0.793, 'tempo': 94.713, 'type': 'audio_features', 'id': '5lr5hSlTYdqZqXf0FjQc4N', 'uri': 'spotify:track:5lr5hSlTYdqZqXf0FjQc4N', 'track_href': 'https://api.spotify.com/v1/tracks/5lr5hSlTYdqZqXf0FjQc4N', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5lr5hSlTYdqZqXf0FjQc4N', 'duration_ms': 197680, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
The Tough Alliance,4ps52NgTUPV9accMr5TMBw,Lucky,7pSZAlqstnYqiqcqmYb9nI,Neo Violence,2007-01-01,0,False,178.413,"{'danceability': 0.545, 'energy': 0.556, 'key': 9, 'loudness': -4.871, 'mode': 0, 'speechiness': 0.0354, 'acousticness': 0.882, 'instrumentalness': 1.08e-05, 'liveness': 0.315, 'valence': 0.39, 'tempo': 129.617, 'type': 'audio_features', 'id': '7pSZAlqstnYqiqcqmYb9nI', 'uri': 'spotify:track:7pSZAlqstnYqiqcqmYb9nI', 'track_href': 'https://api.spotify.com/v1/tracks/7pSZAlqstnYqiqcqmYb9nI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7pSZAlqstnYqiqcqmYb9nI', 'duration_ms': 178413, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
The Whitest Boy Alive,1qcU8NabUQ5efQf8UGW6CV,Golden Cage - Fred Falke Remix,1AIbvFVEUEwtLMs72PomPP,Golden Cage,2006,0,False,506.186,"{'danceability': 0.627, 'energy': 0.295, 'key': 11, 'loudness': -25.25, 'mode': 0, 'speechiness': 0.0498, 'acousticness': 0.0142, 'instrumentalness': 0.583, 'liveness': 0.116, 'valence': 0.606, 'tempo': 124.997, 'type': 'audio_features', 'id': '1AIbvFVEUEwtLMs72PomPP', 'uri': 'spotify:track:1AIbvFVEUEwtLMs72PomPP', 'track_href': 'https://api.spotify.com/v1/tracks/1AIbvFVEUEwtLMs72PomPP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1AIbvFVEUEwtLMs72PomPP', 'duration_ms': 506187, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Lykke Li,6oBm8HB0yfrIc9IHbxs6in,"Dance, Dance, Dance",62iqSNq1pRhVd0MQir3idT,Youth Novels,2008-01-28,30,False,221.253,"{'danceability': 0.752, 'energy': 0.681, 'key': 7, 'loudness': -7.348, 'mode': 1, 'speechiness': 0.043, 'acousticness': 0.581, 'instrumentalness': 0.00556, 'liveness': 0.147, 'valence': 0.729, 'tempo': 122.331, 'type': 'audio_features', 'id': '62iqSNq1pRhVd0MQir3idT', 'uri': 'spotify:track:62iqSNq1pRhVd0MQir3idT', 'track_href': 'https://api.spotify.com/v1/tracks/62iqSNq1pRhVd0MQir3idT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/62iqSNq1pRhVd0MQir3idT', 'duration_ms': 221253, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Jeezy,4yBK75WVCQXej1p04GWqxH,Put On,5bh0ZC4XO0VJuH0NPGkqlH,The Recession,2008-01-01,0,True,321.293,"{'danceability': 0.653, 'energy': 0.77, 'key': 9, 'loudness': -6.091, 'mode': 0, 'speechiness': 0.0353, 'acousticness': 0.00342, 'instrumentalness': 0, 'liveness': 0.0887, 'valence': 0.272, 'tempo': 137.616, 'type': 'audio_features', 'id': '5bh0ZC4XO0VJuH0NPGkqlH', 'uri': 'spotify:track:5bh0ZC4XO0VJuH0NPGkqlH', 'track_href': 'https://api.spotify.com/v1/tracks/5bh0ZC4XO0VJuH0NPGkqlH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5bh0ZC4XO0VJuH0NPGkqlH', 'duration_ms': 321293, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Portishead,6liAMWkVf5LH7YR9yfFy1Y,The Rip,4kOy7M6eT5kYJCZxh0c6Lh,Third,2008-01-01,0,False,270.96,"{'danceability': 0.418, 'energy': 0.486, 'key': 9, 'loudness': -9.421, 'mode': 0, 'speechiness': 0.0318, 'acousticness': 0.929, 'instrumentalness': 0.461, 'liveness': 0.0988, 'valence': 0.249, 'tempo': 74.924, 'type': 'audio_features', 'id': '4kOy7M6eT5kYJCZxh0c6Lh', 'uri': 'spotify:track:4kOy7M6eT5kYJCZxh0c6Lh', 'track_href': 'https://api.spotify.com/v1/tracks/4kOy7M6eT5kYJCZxh0c6Lh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4kOy7M6eT5kYJCZxh0c6Lh', 'duration_ms': 270960, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Don't Stop The Music,6tXjP6xgPJ7Xr1igrO6bOE,Good Girl Gone Bad: Reloaded,2008-06-02,0,False,267.08,"{'danceability': 0.835, 'energy': 0.669, 'key': 6, 'loudness': -5.582, 'mode': 0, 'speechiness': 0.0643, 'acousticness': 0.0336, 'instrumentalness': 6.92e-05, 'liveness': 0.0535, 'valence': 0.542, 'tempo': 122.668, 'type': 'audio_features', 'id': '6tXjP6xgPJ7Xr1igrO6bOE', 'uri': 'spotify:track:6tXjP6xgPJ7Xr1igrO6bOE', 'track_href': 'https://api.spotify.com/v1/tracks/6tXjP6xgPJ7Xr1igrO6bOE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6tXjP6xgPJ7Xr1igrO6bOE', 'duration_ms': 267080, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
