artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Post Malone,246dkjvS1zLTtiykXe5h60,Rich & Sad,2VdT56BGpdqNHUgOe1j5vc,beerbongs & bentleys,2018-04-27,66,True,206.453,"{'danceability': 0.599, 'energy': 0.571, 'key': 2, 'loudness': -4.998, 'mode': 1, 'speechiness': 0.0665, 'acousticness': 0.198, 'instrumentalness': 0, 'liveness': 0.0969, 'valence': 0.285, 'tempo': 151.974, 'type': 'audio_features', 'id': '2VdT56BGpdqNHUgOe1j5vc', 'uri': 'spotify:track:2VdT56BGpdqNHUgOe1j5vc', 'track_href': 'https://api.spotify.com/v1/tracks/2VdT56BGpdqNHUgOe1j5vc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2VdT56BGpdqNHUgOe1j5vc', 'duration_ms': 206453, 'time_signature': 4}",The 100 Best Songs of 2018,The 100 Best Songs of 2018
Miya Folick,1jFVu6Z7wmwywivOeBTSIV,Stock Image,7lZtMv49ZiKEdh0JPMN52i,Premonitions,2018-10-26,24,False,233.2,"{'danceability': 0.57, 'energy': 0.73, 'key': 2, 'loudness': -4.308, 'mode': 1, 'speechiness': 0.0326, 'acousticness': 0.00524, 'instrumentalness': 2.34e-06, 'liveness': 0.131, 'valence': 0.321, 'tempo': 90.002, 'type': 'audio_features', 'id': '7lZtMv49ZiKEdh0JPMN52i', 'uri': 'spotify:track:7lZtMv49ZiKEdh0JPMN52i', 'track_href': 'https://api.spotify.com/v1/tracks/7lZtMv49ZiKEdh0JPMN52i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7lZtMv49ZiKEdh0JPMN52i', 'duration_ms': 233200, 'time_signature': 4}",The 100 Best Songs of 2018,The 100 Best Songs of 2018
Mac Miller,4LLpKhyESsyAXpc4laK94U,Self Care,5bJ1DrEM4hNCafcDd1oxHx,Swimming,2018-08-03,77,True,345.133,"{'danceability': 0.52, 'energy': 0.538, 'key': 1, 'loudness': -8.109, 'mode': 1, 'speechiness': 0.206, 'acousticness': 0.367, 'instrumentalness': 0.00187, 'liveness': 0.119, 'valence': 0.177, 'tempo': 141.894, 'type': 'audio_features', 'id': '5bJ1DrEM4hNCafcDd1oxHx', 'uri': 'spotify:track:5bJ1DrEM4hNCafcDd1oxHx', 'track_href': 'https://api.spotify.com/v1/tracks/5bJ1DrEM4hNCafcDd1oxHx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5bJ1DrEM4hNCafcDd1oxHx', 'duration_ms': 345133, 'time_signature': 4}",The 100 Best Songs of 2018,The 100 Best Songs of 2018
Young Fathers,5mZC7ndY6oGMxJentRwsuV,In My View,6dqs8fnEKzvqYta2abiJKN,Cocoa Sugar,2018-03-09,46,True,195.445,"{'danceability': 0.402, 'energy': 0.758, 'key': 1, 'loudness': -7.557, 'mode': 1, 'speechiness': 0.366, 'acousticness': 0.174, 'instrumentalness': 0.764, 'liveness': 0.0592, 'valence': 0.442, 'tempo': 130.579, 'type': 'audio_features', 'id': '6dqs8fnEKzvqYta2abiJKN', 'uri': 'spotify:track:6dqs8fnEKzvqYta2abiJKN', 'track_href': 'https://api.spotify.com/v1/tracks/6dqs8fnEKzvqYta2abiJKN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6dqs8fnEKzvqYta2abiJKN', 'duration_ms': 195446, 'time_signature': 5}",The 100 Best Songs of 2018,The 100 Best Songs of 2018
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,Comeback Kid,5nUVtL9EgUDCsjZT2Hcy9H,Comeback Kid,2018-10-02,0,False,182.333,"{'danceability': 0.542, 'energy': 0.927, 'key': 0, 'loudness': -5.208, 'mode': 1, 'speechiness': 0.0757, 'acousticness': 0.000362, 'instrumentalness': 0.582, 'liveness': 0.0328, 'valence': 0.357, 'tempo': 120.106, 'type': 'audio_features', 'id': '5nUVtL9EgUDCsjZT2Hcy9H', 'uri': 'spotify:track:5nUVtL9EgUDCsjZT2Hcy9H', 'track_href': 'https://api.spotify.com/v1/tracks/5nUVtL9EgUDCsjZT2Hcy9H', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5nUVtL9EgUDCsjZT2Hcy9H', 'duration_ms': 182333, 'time_signature': 4}",The 100 Best Songs of 2018,The 100 Best Songs of 2018
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Moon River,41cpvQ2GyGb2BRdIRSsTqK,Moon River,2018-02-14,69,False,188.323,"{'danceability': 0.24, 'energy': 0.116, 'key': 0, 'loudness': -13.216, 'mode': 1, 'speechiness': 0.0329, 'acousticness': 0.877, 'instrumentalness': 0.00092, 'liveness': 0.1, 'valence': 0.0937, 'tempo': 77.349, 'type': 'audio_features', 'id': '41cpvQ2GyGb2BRdIRSsTqK', 'uri': 'spotify:track:41cpvQ2GyGb2BRdIRSsTqK', 'track_href': 'https://api.spotify.com/v1/tracks/41cpvQ2GyGb2BRdIRSsTqK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/41cpvQ2GyGb2BRdIRSsTqK', 'duration_ms': 188324, 'time_signature': 3}",The 100 Best Songs of 2018,The 100 Best Songs of 2018
Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Love Me Right,2xWVD6aecDSHroyPVVcPpa,Conexão - EP,2018-05-04,48,False,291.9,"{'danceability': 0.53, 'energy': 0.525, 'key': 5, 'loudness': -6.767, 'mode': 0, 'speechiness': 0.0522, 'acousticness': 0.0842, 'instrumentalness': 2.11e-05, 'liveness': 0.109, 'valence': 0.231, 'tempo': 179.944, 'type': 'audio_features', 'id': '2xWVD6aecDSHroyPVVcPpa', 'uri': 'spotify:track:2xWVD6aecDSHroyPVVcPpa', 'track_href': 'https://api.spotify.com/v1/tracks/2xWVD6aecDSHroyPVVcPpa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2xWVD6aecDSHroyPVVcPpa', 'duration_ms': 291900, 'time_signature': 4}",The 100 Best Songs of 2018,The 100 Best Songs of 2018
Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,T69 collapse,1vTCJDVG7OiYw7LLmxTzVG,Collapse EP,2018-09-14,0,False,322.84,"{'danceability': 0.437, 'energy': 0.926, 'key': 7, 'loudness': -9.758, 'mode': 1, 'speechiness': 0.0587, 'acousticness': 0.0113, 'instrumentalness': 0.791, 'liveness': 0.0961, 'valence': 0.418, 'tempo': 152.323, 'type': 'audio_features', 'id': '1vTCJDVG7OiYw7LLmxTzVG', 'uri': 'spotify:track:1vTCJDVG7OiYw7LLmxTzVG', 'track_href': 'https://api.spotify.com/v1/tracks/1vTCJDVG7OiYw7LLmxTzVG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1vTCJDVG7OiYw7LLmxTzVG', 'duration_ms': 322841, 'time_signature': 4}",The 100 Best Songs of 2018,The 100 Best Songs of 2018
Charli XCX,25uiPmTg16RbhZWAqwLBy5,Track 10,4t9PBD27dndlf6YMBK2ROc,Pop 2,2017-12-15,46,True,326.906,"{'danceability': 0.64, 'energy': 0.652, 'key': 5, 'loudness': -5.07, 'mode': 1, 'speechiness': 0.0383, 'acousticness': 0.212, 'instrumentalness': 0, 'liveness': 0.0814, 'valence': 0.273, 'tempo': 100.065, 'type': 'audio_features', 'id': '4t9PBD27dndlf6YMBK2ROc', 'uri': 'spotify:track:4t9PBD27dndlf6YMBK2ROc', 'track_href': 'https://api.spotify.com/v1/tracks/4t9PBD27dndlf6YMBK2ROc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4t9PBD27dndlf6YMBK2ROc', 'duration_ms': 326907, 'time_signature': 4}",The 100 Best Songs of 2018,The 100 Best Songs of 2018
700 Bliss,30fJJJ4vbuTd7opxNWeCAb,Ring the Alarm,7AEMy7akNlYCzrzrGdspje,Spa 700,2018-03-23,0,False,140.0,"{'danceability': 0.83, 'energy': 0.515, 'key': 1, 'loudness': -11.512, 'mode': 1, 'speechiness': 0.0874, 'acousticness': 0.143, 'instrumentalness': 0.287, 'liveness': 0.216, 'valence': 0.541, 'tempo': 125.014, 'type': 'audio_features', 'id': '7AEMy7akNlYCzrzrGdspje', 'uri': 'spotify:track:7AEMy7akNlYCzrzrGdspje', 'track_href': 'https://api.spotify.com/v1/tracks/7AEMy7akNlYCzrzrGdspje', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7AEMy7akNlYCzrzrGdspje', 'duration_ms': 140000, 'time_signature': 4}",The 100 Best Songs of 2018,The 100 Best Songs of 2018
