artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Cardi B,4kYSro6naA4h99UJvo89HB,Bodak Yellow,2771LMNxwf62FTAdpJMQfM,Bodak Yellow,2017-06-16,56,True,223.962,"{'danceability': 0.929, 'energy': 0.723, 'key': 11, 'loudness': -5.792, 'mode': 0, 'speechiness': 0.109, 'acousticness': 0.0672, 'instrumentalness': 0, 'liveness': 0.346, 'valence': 0.458, 'tempo': 125.022, 'type': 'audio_features', 'id': '2771LMNxwf62FTAdpJMQfM', 'uri': 'spotify:track:2771LMNxwf62FTAdpJMQfM', 'track_href': 'https://api.spotify.com/v1/tracks/2771LMNxwf62FTAdpJMQfM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2771LMNxwf62FTAdpJMQfM', 'duration_ms': 223962, 'time_signature': 4}",The 100 Best Songs of 2017,The 100 Best Songs of 2017
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DNA.,6HZILIRieu8S0iqY8kIKhj,DAMN.,2017-04-14,81,True,185.946,"{'danceability': 0.638, 'energy': 0.523, 'key': 1, 'loudness': -6.664, 'mode': 1, 'speechiness': 0.357, 'acousticness': 0.00454, 'instrumentalness': 0, 'liveness': 0.0842, 'valence': 0.422, 'tempo': 139.913, 'type': 'audio_features', 'id': '6HZILIRieu8S0iqY8kIKhj', 'uri': 'spotify:track:6HZILIRieu8S0iqY8kIKhj', 'track_href': 'https://api.spotify.com/v1/tracks/6HZILIRieu8S0iqY8kIKhj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6HZILIRieu8S0iqY8kIKhj', 'duration_ms': 185947, 'time_signature': 4}",The 100 Best Songs of 2017,The 100 Best Songs of 2017
Lorde,163tK9Wjr9P9DmM0AVK7lm,Green Light,3I4QOvltiKcMu3xmnQjEct,Melodrama,2017-11-10,0,False,234.652,"{'danceability': 0.594, 'energy': 0.721, 'key': 2, 'loudness': -7.812, 'mode': 1, 'speechiness': 0.0957, 'acousticness': 0.0209, 'instrumentalness': 8.55e-06, 'liveness': 0.0879, 'valence': 0.253, 'tempo': 128.942, 'type': 'audio_features', 'id': '3I4QOvltiKcMu3xmnQjEct', 'uri': 'spotify:track:3I4QOvltiKcMu3xmnQjEct', 'track_href': 'https://api.spotify.com/v1/tracks/3I4QOvltiKcMu3xmnQjEct', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3I4QOvltiKcMu3xmnQjEct', 'duration_ms': 234653, 'time_signature': 4}",The 100 Best Songs of 2017,The 100 Best Songs of 2017
SZA,7tYKF4w9nC0nq9CsPZTHyP,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,Ctrl,2017-06-09,80,True,275.08,"{'danceability': 0.795, 'energy': 0.594, 'key': 0, 'loudness': -6.2, 'mode': 1, 'speechiness': 0.0748, 'acousticness': 0.112, 'instrumentalness': 0, 'liveness': 0.162, 'valence': 0.409, 'tempo': 135.002, 'type': 'audio_features', 'id': '0q75NwOoFiARAVp4EXU4Bs', 'uri': 'spotify:track:0q75NwOoFiARAVp4EXU4Bs', 'track_href': 'https://api.spotify.com/v1/tracks/0q75NwOoFiARAVp4EXU4Bs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0q75NwOoFiARAVp4EXU4Bs', 'duration_ms': 275080, 'time_signature': 4}",The 100 Best Songs of 2017,The 100 Best Songs of 2017
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Luv Is Rage 2,2017-08-25,81,True,182.706,"{'danceability': 0.732, 'energy': 0.75, 'key': 11, 'loudness': -6.366, 'mode': 0, 'speechiness': 0.231, 'acousticness': 0.00264, 'instrumentalness': 0, 'liveness': 0.109, 'valence': 0.401, 'tempo': 155.096, 'type': 'audio_features', 'id': '7GX5flRQZVHRAGd6B4TmDO', 'uri': 'spotify:track:7GX5flRQZVHRAGd6B4TmDO', 'track_href': 'https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO', 'duration_ms': 182707, 'time_signature': 4}",The 100 Best Songs of 2017,The 100 Best Songs of 2017
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Chanel,6Nle9hKrkL1wQpwNfEkxjh,Chanel,2017-03-10,78,True,210.285,"{'danceability': 0.776, 'energy': 0.503, 'key': 0, 'loudness': -5.732, 'mode': 0, 'speechiness': 0.237, 'acousticness': 0.874, 'instrumentalness': 0, 'liveness': 0.112, 'valence': 0.473, 'tempo': 110.134, 'type': 'audio_features', 'id': '6Nle9hKrkL1wQpwNfEkxjh', 'uri': 'spotify:track:6Nle9hKrkL1wQpwNfEkxjh', 'track_href': 'https://api.spotify.com/v1/tracks/6Nle9hKrkL1wQpwNfEkxjh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Nle9hKrkL1wQpwNfEkxjh', 'duration_ms': 210285, 'time_signature': 4}",The 100 Best Songs of 2017,The 100 Best Songs of 2017
King Krule,4wyNyxs74Ux8UIDopNjIai,Dum Surfer,5mWhSQfWEeBZD9YTd4yyFc,The OOZ,2017-10-13,0,True,263.44,"{'danceability': 0.651, 'energy': 0.944, 'key': 2, 'loudness': -5.48, 'mode': 1, 'speechiness': 0.0381, 'acousticness': 0.0855, 'instrumentalness': 0.145, 'liveness': 0.116, 'valence': 0.676, 'tempo': 119.983, 'type': 'audio_features', 'id': '5mWhSQfWEeBZD9YTd4yyFc', 'uri': 'spotify:track:5mWhSQfWEeBZD9YTd4yyFc', 'track_href': 'https://api.spotify.com/v1/tracks/5mWhSQfWEeBZD9YTd4yyFc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5mWhSQfWEeBZD9YTd4yyFc', 'duration_ms': 263440, 'time_signature': 4}",The 100 Best Songs of 2017,The 100 Best Songs of 2017
Future,1RyvyyTE3xzB2ZywiAwp0i,Mask Off,0VgkVdmE4gld66l8iyGjgx,FUTURE,2017-06-30,82,True,204.6,"{'danceability': 0.833, 'energy': 0.434, 'key': 2, 'loudness': -8.795, 'mode': 1, 'speechiness': 0.431, 'acousticness': 0.0102, 'instrumentalness': 0.0219, 'liveness': 0.165, 'valence': 0.281, 'tempo': 150.062, 'type': 'audio_features', 'id': '0VgkVdmE4gld66l8iyGjgx', 'uri': 'spotify:track:0VgkVdmE4gld66l8iyGjgx', 'track_href': 'https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx', 'duration_ms': 204600, 'time_signature': 4}",The 100 Best Songs of 2017,The 100 Best Songs of 2017
Kelela,1U0sIzpRtDkvu1hXXzxh60,Frontline,6b3KUNSmJL1qIfi1hF1G6Y,Take Me Apart,2017-10-06,0,False,339.189,"{'danceability': 0.438, 'energy': 0.325, 'key': 0, 'loudness': -9.206, 'mode': 1, 'speechiness': 0.0432, 'acousticness': 0.241, 'instrumentalness': 1.11e-06, 'liveness': 0.0648, 'valence': 0.142, 'tempo': 141.504, 'type': 'audio_features', 'id': '6b3KUNSmJL1qIfi1hF1G6Y', 'uri': 'spotify:track:6b3KUNSmJL1qIfi1hF1G6Y', 'track_href': 'https://api.spotify.com/v1/tracks/6b3KUNSmJL1qIfi1hF1G6Y', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6b3KUNSmJL1qIfi1hF1G6Y', 'duration_ms': 339190, 'time_signature': 4}",The 100 Best Songs of 2017,The 100 Best Songs of 2017
Charli XCX,25uiPmTg16RbhZWAqwLBy5,Boys,5o4yGlG0PfeVUa6ClIyOxq,Boys,2017-07-26,59,False,162.585,"{'danceability': 0.867, 'energy': 0.545, 'key': 2, 'loudness': -5.192, 'mode': 1, 'speechiness': 0.0625, 'acousticness': 0.0646, 'instrumentalness': 0.000289, 'liveness': 0.0505, 'valence': 0.525, 'tempo': 139.943, 'type': 'audio_features', 'id': '5o4yGlG0PfeVUa6ClIyOxq', 'uri': 'spotify:track:5o4yGlG0PfeVUa6ClIyOxq', 'track_href': 'https://api.spotify.com/v1/tracks/5o4yGlG0PfeVUa6ClIyOxq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5o4yGlG0PfeVUa6ClIyOxq', 'duration_ms': 162586, 'time_signature': 4}",The 100 Best Songs of 2017,The 100 Best Songs of 2017
