artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Justin Timberlake,31TPClRtHm23RisEBtV3X7,My Love - Single Version,3Zv7tbfSY0sIxl6ZRW4TJN,My Love,2006-10-24,0,False,281.826,"{'danceability': 0.765, 'energy': 0.679, 'key': 4, 'loudness': -6.007, 'mode': 0, 'speechiness': 0.23, 'acousticness': 0.261, 'instrumentalness': 5.38e-06, 'liveness': 0.461, 'valence': 0.796, 'tempo': 120.077, 'type': 'audio_features', 'id': '3Zv7tbfSY0sIxl6ZRW4TJN', 'uri': 'spotify:track:3Zv7tbfSY0sIxl6ZRW4TJN', 'track_href': 'https://api.spotify.com/v1/tracks/3Zv7tbfSY0sIxl6ZRW4TJN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Zv7tbfSY0sIxl6ZRW4TJN', 'duration_ms': 281827, 'time_signature': 4}",The Top 100 Tracks of 2006,The 100 Best Songs of 2006
The Knife,7eQZTqEMozBcuSubfu52i4,Silent Shout,0hO542doVbfGDAGQULMORT,Silent Shout,2006-02-17,0,False,293.64,"{'danceability': 0.601, 'energy': 0.701, 'key': 2, 'loudness': -10.488, 'mode': 1, 'speechiness': 0.0394, 'acousticness': 0.107, 'instrumentalness': 0.89, 'liveness': 0.123, 'valence': 0.388, 'tempo': 128.559, 'type': 'audio_features', 'id': '0hO542doVbfGDAGQULMORT', 'uri': 'spotify:track:0hO542doVbfGDAGQULMORT', 'track_href': 'https://api.spotify.com/v1/tracks/0hO542doVbfGDAGQULMORT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0hO542doVbfGDAGQULMORT', 'duration_ms': 293640, 'time_signature': 4}",The Top 100 Tracks of 2006,The 100 Best Songs of 2006
T.I.,4OBJLual30L7gRl5UkeRcT,What You Know,6A71EmfdTryZxflaVpuXy6,King,2006-03-27,0,True,273.733,"{'danceability': 0.548, 'energy': 0.815, 'key': 3, 'loudness': -4.389, 'mode': 0, 'speechiness': 0.0376, 'acousticness': 0.0154, 'instrumentalness': 0, 'liveness': 0.12, 'valence': 0.345, 'tempo': 146.934, 'type': 'audio_features', 'id': '6A71EmfdTryZxflaVpuXy6', 'uri': 'spotify:track:6A71EmfdTryZxflaVpuXy6', 'track_href': 'https://api.spotify.com/v1/tracks/6A71EmfdTryZxflaVpuXy6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6A71EmfdTryZxflaVpuXy6', 'duration_ms': 273733, 'time_signature': 4}",The Top 100 Tracks of 2006,The 100 Best Songs of 2006
TV On The Radio,3HJIB8sYPyxrFGuwvKXSLR,Wolf Like Me,7e7KneZN3eFpHyfo9DOJyf,Return To Cookie Mountain,2006-07-03,0,False,277.466,"{'danceability': 0.357, 'energy': 0.787, 'key': 7, 'loudness': -4.979, 'mode': 1, 'speechiness': 0.0419, 'acousticness': 0.00175, 'instrumentalness': 0.00611, 'liveness': 0.115, 'valence': 0.191, 'tempo': 175.882, 'type': 'audio_features', 'id': '7e7KneZN3eFpHyfo9DOJyf', 'uri': 'spotify:track:7e7KneZN3eFpHyfo9DOJyf', 'track_href': 'https://api.spotify.com/v1/tracks/7e7KneZN3eFpHyfo9DOJyf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7e7KneZN3eFpHyfo9DOJyf', 'duration_ms': 277467, 'time_signature': 4}",The Top 100 Tracks of 2006,The 100 Best Songs of 2006
Peter Bjorn and John,6u11Qbko2N2hP4lTBYjX86,Young Folks,2f14Vwn28w1soYnolluueL,Electronic Beats Collectables Volume 1 Digital,2007-10-19,0,False,278.719,"{'danceability': 0.672, 'energy': 0.857, 'key': 0, 'loudness': -4.915, 'mode': 1, 'speechiness': 0.038, 'acousticness': 0.0128, 'instrumentalness': 0.0009, 'liveness': 0.16, 'valence': 0.685, 'tempo': 138.153, 'type': 'audio_features', 'id': '2f14Vwn28w1soYnolluueL', 'uri': 'spotify:track:2f14Vwn28w1soYnolluueL', 'track_href': 'https://api.spotify.com/v1/tracks/2f14Vwn28w1soYnolluueL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2f14Vwn28w1soYnolluueL', 'duration_ms': 278720, 'time_signature': 4}",The Top 100 Tracks of 2006,The 100 Best Songs of 2006
Clipse,2J257euzcjnDLipsyJH3F2,Trill,3yAm2Q4FA2Tb8iGORHPvFA,Hell Hath No Fury,2006-11-27,28,True,283.986,"{'danceability': 0.778, 'energy': 0.795, 'key': 7, 'loudness': -5.791, 'mode': 1, 'speechiness': 0.246, 'acousticness': 0.0258, 'instrumentalness': 2.14e-06, 'liveness': 0.629, 'valence': 0.596, 'tempo': 104.943, 'type': 'audio_features', 'id': '3yAm2Q4FA2Tb8iGORHPvFA', 'uri': 'spotify:track:3yAm2Q4FA2Tb8iGORHPvFA', 'track_href': 'https://api.spotify.com/v1/tracks/3yAm2Q4FA2Tb8iGORHPvFA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3yAm2Q4FA2Tb8iGORHPvFA', 'duration_ms': 283987, 'time_signature': 4}",The Top 100 Tracks of 2006,The 100 Best Songs of 2006
Hot Chip,37uLId6Z5ZXCx19vuruvv5,Boy From School,6xXQ9DQHNPWgVaLZDzU2qI,Boy From School,2006-06-27,0,False,318.166,"{'danceability': 0.627, 'energy': 0.859, 'key': 8, 'loudness': -4.056, 'mode': 0, 'speechiness': 0.03, 'acousticness': 0.132, 'instrumentalness': 4.41e-05, 'liveness': 0.0945, 'valence': 0.505, 'tempo': 126.013, 'type': 'audio_features', 'id': '6xXQ9DQHNPWgVaLZDzU2qI', 'uri': 'spotify:track:6xXQ9DQHNPWgVaLZDzU2qI', 'track_href': 'https://api.spotify.com/v1/tracks/6xXQ9DQHNPWgVaLZDzU2qI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6xXQ9DQHNPWgVaLZDzU2qI', 'duration_ms': 318166, 'time_signature': 4}",The Top 100 Tracks of 2006,The 100 Best Songs of 2006
Beach House,56ZTgzPBDge0OvCGgMO3OY,Apple Orchard,3g0brmv3bqKUaErH0Dua82,Beach House,2006,0,False,271.386,"{'danceability': 0.446, 'energy': 0.214, 'key': 1, 'loudness': -17.536, 'mode': 1, 'speechiness': 0.0333, 'acousticness': 0.91, 'instrumentalness': 0.0489, 'liveness': 0.0972, 'valence': 0.081, 'tempo': 120.961, 'type': 'audio_features', 'id': '3g0brmv3bqKUaErH0Dua82', 'uri': 'spotify:track:3g0brmv3bqKUaErH0Dua82', 'track_href': 'https://api.spotify.com/v1/tracks/3g0brmv3bqKUaErH0Dua82', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3g0brmv3bqKUaErH0Dua82', 'duration_ms': 271387, 'time_signature': 4}",The Top 100 Tracks of 2006,The 100 Best Songs of 2006
Christian Falk,7pxzXxDHEmvBIBMcYJy6Nh,Dream on (feat. Robyn & Ola Salo),0qUJD4Feu32BP2JV38tZOH,People Say,2006-10-04,14,False,189.893,"{'danceability': 0.626, 'energy': 0.848, 'key': 4, 'loudness': -8.612, 'mode': 1, 'speechiness': 0.0555, 'acousticness': 0.00821, 'instrumentalness': 5.02e-05, 'liveness': 0.0739, 'valence': 0.771, 'tempo': 121.522, 'type': 'audio_features', 'id': '0qUJD4Feu32BP2JV38tZOH', 'uri': 'spotify:track:0qUJD4Feu32BP2JV38tZOH', 'track_href': 'https://api.spotify.com/v1/tracks/0qUJD4Feu32BP2JV38tZOH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0qUJD4Feu32BP2JV38tZOH', 'duration_ms': 189893, 'time_signature': 4}",The Top 100 Tracks of 2006,The 100 Best Songs of 2006
The Hold Steady,3qkZBMz5JgmRN9u5wwhRC6,Stuck Between Stations,7hKndRumY7exSY6LtInsqW,Boys And Girls In America,2007-01-21,0,False,250.066,"{'danceability': 0.293, 'energy': 0.949, 'key': 2, 'loudness': -4.665, 'mode': 1, 'speechiness': 0.174, 'acousticness': 0.0838, 'instrumentalness': 0.000486, 'liveness': 0.122, 'valence': 0.374, 'tempo': 143.476, 'type': 'audio_features', 'id': '7hKndRumY7exSY6LtInsqW', 'uri': 'spotify:track:7hKndRumY7exSY6LtInsqW', 'track_href': 'https://api.spotify.com/v1/tracks/7hKndRumY7exSY6LtInsqW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7hKndRumY7exSY6LtInsqW', 'duration_ms': 250067, 'time_signature': 4}",The Top 100 Tracks of 2006,The 100 Best Songs of 2006
