artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Antony and the Johnsons,4fxp616ALtFWnXfwxnjLzW,Hope There's Someone,78bZpdvgokXZQNzsaJhAsZ,I Am A Bird Now,2005-08-09,0,False,261.2,"{'danceability': 0.299, 'energy': 0.175, 'key': 6, 'loudness': -10.318, 'mode': 1, 'speechiness': 0.0405, 'acousticness': 0.977, 'instrumentalness': 0.0218, 'liveness': 0.167, 'valence': 0.0762, 'tempo': 139.499, 'type': 'audio_features', 'id': '78bZpdvgokXZQNzsaJhAsZ', 'uri': 'spotify:track:78bZpdvgokXZQNzsaJhAsZ', 'track_href': 'https://api.spotify.com/v1/tracks/78bZpdvgokXZQNzsaJhAsZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/78bZpdvgokXZQNzsaJhAsZ', 'duration_ms': 261200, 'time_signature': 1}",Top 50 Singles of 2005,Top 50 Singles of 2005
Amerie,08rMCq2ek1YjdDBsCPVH2s,1 Thing,6ZyNjT2hYvfV5PuW84dp1E,Playlist: The Very Best Of Amerie,2008,53,False,238.746,"{'danceability': 0.636, 'energy': 0.946, 'key': 10, 'loudness': -4.683, 'mode': 0, 'speechiness': 0.332, 'acousticness': 0.115, 'instrumentalness': 3.75e-05, 'liveness': 0.0416, 'valence': 0.891, 'tempo': 125.085, 'type': 'audio_features', 'id': '6ZyNjT2hYvfV5PuW84dp1E', 'uri': 'spotify:track:6ZyNjT2hYvfV5PuW84dp1E', 'track_href': 'https://api.spotify.com/v1/tracks/6ZyNjT2hYvfV5PuW84dp1E', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6ZyNjT2hYvfV5PuW84dp1E', 'duration_ms': 238747, 'time_signature': 5}",Top 50 Singles of 2005,Top 50 Singles of 2005
Clipse,2J257euzcjnDLipsyJH3F2,Zen,5ukkNjvF9GBabIPw99QmGM,Re-Up Gang the Saga Continues,2008-04-22,0,True,203.12,"{'danceability': 0.795, 'energy': 0.559, 'key': 1, 'loudness': -11.185, 'mode': 1, 'speechiness': 0.431, 'acousticness': 0.178, 'instrumentalness': 0, 'liveness': 0.0702, 'valence': 0.803, 'tempo': 91.788, 'type': 'audio_features', 'id': '5ukkNjvF9GBabIPw99QmGM', 'uri': 'spotify:track:5ukkNjvF9GBabIPw99QmGM', 'track_href': 'https://api.spotify.com/v1/tracks/5ukkNjvF9GBabIPw99QmGM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ukkNjvF9GBabIPw99QmGM', 'duration_ms': 203120, 'time_signature': 4}",Top 50 Singles of 2005,Top 50 Singles of 2005
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,Since U Been Gone,6Bo7elbKiRfaHBMJGEBHqF,Breakaway,2004,0,False,188.96,"{'danceability': 0.663, 'energy': 0.739, 'key': 9, 'loudness': -5.354, 'mode': 0, 'speechiness': 0.0322, 'acousticness': 0.00206, 'instrumentalness': 0.0586, 'liveness': 0.113, 'valence': 0.382, 'tempo': 130.998, 'type': 'audio_features', 'id': '6Bo7elbKiRfaHBMJGEBHqF', 'uri': 'spotify:track:6Bo7elbKiRfaHBMJGEBHqF', 'track_href': 'https://api.spotify.com/v1/tracks/6Bo7elbKiRfaHBMJGEBHqF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Bo7elbKiRfaHBMJGEBHqF', 'duration_ms': 188960, 'time_signature': 4}",Top 50 Singles of 2005,Top 50 Singles of 2005
The Futureheads,3TBfn8PtXr42OrTPaoC3E8,Hounds of Love,7mAF2MJdbNT75VrVcgwT6F,The Futureheads (new version),2004-06-28,50,False,182.68,"{'danceability': 0.36, 'energy': 0.895, 'key': 9, 'loudness': -3.795, 'mode': 1, 'speechiness': 0.117, 'acousticness': 0.0329, 'instrumentalness': 1.18e-06, 'liveness': 0.06, 'valence': 0.424, 'tempo': 168.214, 'type': 'audio_features', 'id': '7mAF2MJdbNT75VrVcgwT6F', 'uri': 'spotify:track:7mAF2MJdbNT75VrVcgwT6F', 'track_href': 'https://api.spotify.com/v1/tracks/7mAF2MJdbNT75VrVcgwT6F', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7mAF2MJdbNT75VrVcgwT6F', 'duration_ms': 182680, 'time_signature': 4}",Top 50 Singles of 2005,Top 50 Singles of 2005
The Game,0NbfKEOTQCcwd6o7wSDOHI,Hate It Or Love It,6gQaf0ANLks2uWl2AHhU26,Hate It Or Love It,2005-01-01,44,True,207.44,"{'danceability': 0.796, 'energy': 0.782, 'key': 9, 'loudness': -4.805, 'mode': 1, 'speechiness': 0.21, 'acousticness': 0.146, 'instrumentalness': 0, 'liveness': 0.13, 'valence': 0.418, 'tempo': 99.978, 'type': 'audio_features', 'id': '6gQaf0ANLks2uWl2AHhU26', 'uri': 'spotify:track:6gQaf0ANLks2uWl2AHhU26', 'track_href': 'https://api.spotify.com/v1/tracks/6gQaf0ANLks2uWl2AHhU26', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6gQaf0ANLks2uWl2AHhU26', 'duration_ms': 207440, 'time_signature': 4}",Top 50 Singles of 2005,Top 50 Singles of 2005
Damian Marley,3QJzdZJYIAcoET1GcfpNGi,Welcome To Jamrock,0BxIHvGxcCdadLn39l56Q8,All Night Hit Pack,2007-01-01,29,True,213.386,"{'danceability': 0.826, 'energy': 0.704, 'key': 7, 'loudness': -5.432, 'mode': 0, 'speechiness': 0.322, 'acousticness': 0.0218, 'instrumentalness': 0, 'liveness': 0.292, 'valence': 0.786, 'tempo': 76.635, 'type': 'audio_features', 'id': '0BxIHvGxcCdadLn39l56Q8', 'uri': 'spotify:track:0BxIHvGxcCdadLn39l56Q8', 'track_href': 'https://api.spotify.com/v1/tracks/0BxIHvGxcCdadLn39l56Q8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0BxIHvGxcCdadLn39l56Q8', 'duration_ms': 213387, 'time_signature': 4}",Top 50 Singles of 2005,Top 50 Singles of 2005
Lady Sovereign,36ikBJX6oQWWlgrXCock30,Random,5rgQzgK5YKCSI2qpvHSJPb,Public Warning,2006-01-01,0,False,216.333,"{'danceability': 0.563, 'energy': 0.844, 'key': 1, 'loudness': -3.475, 'mode': 1, 'speechiness': 0.164, 'acousticness': 0.0036, 'instrumentalness': 1.52e-06, 'liveness': 0.0841, 'valence': 0.692, 'tempo': 113.692, 'type': 'audio_features', 'id': '5rgQzgK5YKCSI2qpvHSJPb', 'uri': 'spotify:track:5rgQzgK5YKCSI2qpvHSJPb', 'track_href': 'https://api.spotify.com/v1/tracks/5rgQzgK5YKCSI2qpvHSJPb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5rgQzgK5YKCSI2qpvHSJPb', 'duration_ms': 216333, 'time_signature': 4}",Top 50 Singles of 2005,Top 50 Singles of 2005
R. Kelly,2mxe0TnaNL039ysAj51xPQ,Trapped In the Closet Chapter 1,4hqcdkyeBu3lFSF7tyjvHS,TP.3 Reloaded,2005-07-05,0,False,205.693,"{'danceability': 0.461, 'energy': 0.555, 'key': 11, 'loudness': -7.273, 'mode': 1, 'speechiness': 0.182, 'acousticness': 0.49, 'instrumentalness': 0, 'liveness': 0.367, 'valence': 0.446, 'tempo': 66.49, 'type': 'audio_features', 'id': '4hqcdkyeBu3lFSF7tyjvHS', 'uri': 'spotify:track:4hqcdkyeBu3lFSF7tyjvHS', 'track_href': 'https://api.spotify.com/v1/tracks/4hqcdkyeBu3lFSF7tyjvHS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4hqcdkyeBu3lFSF7tyjvHS', 'duration_ms': 205693, 'time_signature': 5}",Top 50 Singles of 2005,Top 50 Singles of 2005
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Heard 'Em Say,2PFNTHR4sA8m9rPPtYXhl7,Late Registration,2005-01-01,51,True,203.733,"{'danceability': 0.744, 'energy': 0.696, 'key': 7, 'loudness': -8.313, 'mode': 0, 'speechiness': 0.162, 'acousticness': 0.0535, 'instrumentalness': 0.0454, 'liveness': 0.128, 'valence': 0.563, 'tempo': 95.07, 'type': 'audio_features', 'id': '2PFNTHR4sA8m9rPPtYXhl7', 'uri': 'spotify:track:2PFNTHR4sA8m9rPPtYXhl7', 'track_href': 'https://api.spotify.com/v1/tracks/2PFNTHR4sA8m9rPPtYXhl7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2PFNTHR4sA8m9rPPtYXhl7', 'duration_ms': 203733, 'time_signature': 4}",Top 50 Singles of 2005,Top 50 Singles of 2005
