artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Caroline Polachek,4Ge8xMJNwt6EEXOzVXju9a,Bunny Is A Rider,1rYABrDmfqVmJMwaNJBUUb,Bunny Is A Rider,2021-07-14,44,False,193.957,"{'danceability': 0.792, 'energy': 0.662, 'key': 6, 'loudness': -7.187, 'mode': 0, 'speechiness': 0.0476, 'acousticness': 0.0714, 'instrumentalness': 0.0023, 'liveness': 0.0982, 'valence': 0.399, 'tempo': 110.001, 'type': 'audio_features', 'id': '1rYABrDmfqVmJMwaNJBUUb', 'uri': 'spotify:track:1rYABrDmfqVmJMwaNJBUUb', 'track_href': 'https://api.spotify.com/v1/tracks/1rYABrDmfqVmJMwaNJBUUb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1rYABrDmfqVmJMwaNJBUUb', 'duration_ms': 197480, 'time_signature': 4}",The 100 Best Songs of 2021,The 100 Best Songs of 2021
Cassandra Jenkins,1WVGbBnzZ5WLZ2PfesIHik,Hard Drive,3ArnNhm8z0ScjDKfGHSBRk,An Overview on Phenomenal Nature,2021-02-19,33,False,327.44,"{'danceability': 0.589, 'energy': 0.627, 'key': 9, 'loudness': -11.463, 'mode': 1, 'speechiness': 0.0359, 'acousticness': 0.299, 'instrumentalness': 0.566, 'liveness': 0.0747, 'valence': 0.555, 'tempo': 106.999, 'type': 'audio_features', 'id': '3ArnNhm8z0ScjDKfGHSBRk', 'uri': 'spotify:track:3ArnNhm8z0ScjDKfGHSBRk', 'track_href': 'https://api.spotify.com/v1/tracks/3ArnNhm8z0ScjDKfGHSBRk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ArnNhm8z0ScjDKfGHSBRk', 'duration_ms': 327440, 'time_signature': 4}",The 100 Best Songs of 2021,The 100 Best Songs of 2021
Low,0wz0jO9anccPzH04N7FLBH,Days Like These,6KVjO1Wye1FuNdYx0keRkP,HEY WHAT,2021-09-10,34,False,320.513,"{'danceability': 0.204, 'energy': 0.216, 'key': 4, 'loudness': -6.256, 'mode': 0, 'speechiness': 0.031, 'acousticness': 0.682, 'instrumentalness': 0.000795, 'liveness': 0.0731, 'valence': 0.121, 'tempo': 60.445, 'type': 'audio_features', 'id': '6KVjO1Wye1FuNdYx0keRkP', 'uri': 'spotify:track:6KVjO1Wye1FuNdYx0keRkP', 'track_href': 'https://api.spotify.com/v1/tracks/6KVjO1Wye1FuNdYx0keRkP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6KVjO1Wye1FuNdYx0keRkP', 'duration_ms': 320513, 'time_signature': 4}",The 100 Best Songs of 2021,The 100 Best Songs of 2021
Jazmine Sullivan,7gSjFKpVmDgC2MMsnN8CYq,Pick Up Your Feelings,4k2cAUUPp3VZdK4gwG9pxy,Heaux Tales,2021-01-08,49,False,229.413,"{'danceability': 0.643, 'energy': 0.413, 'key': 2, 'loudness': -6.136, 'mode': 0, 'speechiness': 0.0717, 'acousticness': 0.261, 'instrumentalness': 0, 'liveness': 0.117, 'valence': 0.572, 'tempo': 170.896, 'type': 'audio_features', 'id': '4k2cAUUPp3VZdK4gwG9pxy', 'uri': 'spotify:track:4k2cAUUPp3VZdK4gwG9pxy', 'track_href': 'https://api.spotify.com/v1/tracks/4k2cAUUPp3VZdK4gwG9pxy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4k2cAUUPp3VZdK4gwG9pxy', 'duration_ms': 229413, 'time_signature': 3}",The 100 Best Songs of 2021,The 100 Best Songs of 2021
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,White Dress,4Hl9rOqYomojCmxYfr25im,Chemtrails Over The Country Club,2021-03-19,61,False,333.71,"{'danceability': 0.493, 'energy': 0.263, 'key': 0, 'loudness': -12.805, 'mode': 1, 'speechiness': 0.0351, 'acousticness': 0.926, 'instrumentalness': 0, 'liveness': 0.0879, 'valence': 0.158, 'tempo': 122.792, 'type': 'audio_features', 'id': '4Hl9rOqYomojCmxYfr25im', 'uri': 'spotify:track:4Hl9rOqYomojCmxYfr25im', 'track_href': 'https://api.spotify.com/v1/tracks/4Hl9rOqYomojCmxYfr25im', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Hl9rOqYomojCmxYfr25im', 'duration_ms': 333710, 'time_signature': 4}",The 100 Best Songs of 2021,The 100 Best Songs of 2021
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,LUMBERJACK,64v1g2HcPumBz2Wd1rT56b,LUMBERJACK,2021-06-16,54,True,138.312,"{'danceability': 0.386, 'energy': 0.762, 'key': 9, 'loudness': -6.341, 'mode': 1, 'speechiness': 0.564, 'acousticness': 0.122, 'instrumentalness': 0, 'liveness': 0.527, 'valence': 0.433, 'tempo': 170.691, 'type': 'audio_features', 'id': '64v1g2HcPumBz2Wd1rT56b', 'uri': 'spotify:track:64v1g2HcPumBz2Wd1rT56b', 'track_href': 'https://api.spotify.com/v1/tracks/64v1g2HcPumBz2Wd1rT56b', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/64v1g2HcPumBz2Wd1rT56b', 'duration_ms': 138312, 'time_signature': 4}",The 100 Best Songs of 2021,The 100 Best Songs of 2021
Mitski,2uYWxilOVlUdk4oV9DvwqK,Working for the Knife,4r8iH80jmm4CFZHT2nE0WI,The Only Heartbreaker,2021-11-09,0,False,158.617,"{'danceability': 0.466, 'energy': 0.628, 'key': 11, 'loudness': -8.126, 'mode': 1, 'speechiness': 0.0271, 'acousticness': 0.17, 'instrumentalness': 5.22e-05, 'liveness': 0.103, 'valence': 0.317, 'tempo': 83.003, 'type': 'audio_features', 'id': '4r8iH80jmm4CFZHT2nE0WI', 'uri': 'spotify:track:4r8iH80jmm4CFZHT2nE0WI', 'track_href': 'https://api.spotify.com/v1/tracks/4r8iH80jmm4CFZHT2nE0WI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4r8iH80jmm4CFZHT2nE0WI', 'duration_ms': 158618, 'time_signature': 4}",The 100 Best Songs of 2021,The 100 Best Songs of 2021
Snail Mail,4QkSD9TRUnMtI8Fq1jXJJe,Valentine,1RcGoniZzjY3oOatGifYK1,Valentine,2021-11-05,43,True,196.173,"{'danceability': 0.488, 'energy': 0.623, 'key': 0, 'loudness': -4.873, 'mode': 1, 'speechiness': 0.0317, 'acousticness': 0.000713, 'instrumentalness': 0, 'liveness': 0.131, 'valence': 0.171, 'tempo': 129.874, 'type': 'audio_features', 'id': '1RcGoniZzjY3oOatGifYK1', 'uri': 'spotify:track:1RcGoniZzjY3oOatGifYK1', 'track_href': 'https://api.spotify.com/v1/tracks/1RcGoniZzjY3oOatGifYK1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1RcGoniZzjY3oOatGifYK1', 'duration_ms': 196173, 'time_signature': 4}",The 100 Best Songs of 2021,The 100 Best Songs of 2021
Arooj Aftab,00JAfwtx5gNiiqyor88Dr5,Mohabbat,60cSWYNM5yRdtK3eokivjI,Vulture Prince,2021-04-23,0,False,462.5,"{'danceability': 0.487, 'energy': 0.235, 'key': 9, 'loudness': -16.021, 'mode': 1, 'speechiness': 0.0303, 'acousticness': 0.851, 'instrumentalness': 0.105, 'liveness': 0.107, 'valence': 0.0505, 'tempo': 83.089, 'type': 'audio_features', 'id': '60cSWYNM5yRdtK3eokivjI', 'uri': 'spotify:track:60cSWYNM5yRdtK3eokivjI', 'track_href': 'https://api.spotify.com/v1/tracks/60cSWYNM5yRdtK3eokivjI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/60cSWYNM5yRdtK3eokivjI', 'duration_ms': 462501, 'time_signature': 4}",The 100 Best Songs of 2021,The 100 Best Songs of 2021
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,deja vu,3ucQ4DLpH8RgyzqYBMnDpj,SOUR,2021-05-21,61,False,215.506,"{'danceability': 0.442, 'energy': 0.596, 'key': 9, 'loudness': -7.272, 'mode': 1, 'speechiness': 0.109, 'acousticness': 0.584, 'instrumentalness': 6.62e-06, 'liveness': 0.39, 'valence': 0.166, 'tempo': 181.278, 'type': 'audio_features', 'id': '3ucQ4DLpH8RgyzqYBMnDpj', 'uri': 'spotify:track:3ucQ4DLpH8RgyzqYBMnDpj', 'track_href': 'https://api.spotify.com/v1/tracks/3ucQ4DLpH8RgyzqYBMnDpj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ucQ4DLpH8RgyzqYBMnDpj', 'duration_ms': 215507, 'time_signature': 4}",The 100 Best Songs of 2021,The 100 Best Songs of 2021
