artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Annie,7zt6Af78CalxaPDqORfw8L,Heartbeat,5xYvsBGoYbfNzcV5Y94ZVx,Anniemal,2004-09-28,37,False,185.0,"{'danceability': 0.691, 'energy': 0.7, 'key': 11, 'loudness': -6.695, 'mode': 0, 'speechiness': 0.0274, 'acousticness': 0.00457, 'instrumentalness': 0.181, 'liveness': 0.245, 'valence': 0.618, 'tempo': 128.005, 'type': 'audio_features', 'id': '5xYvsBGoYbfNzcV5Y94ZVx', 'uri': 'spotify:track:5xYvsBGoYbfNzcV5Y94ZVx', 'track_href': 'https://api.spotify.com/v1/tracks/5xYvsBGoYbfNzcV5Y94ZVx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5xYvsBGoYbfNzcV5Y94ZVx', 'duration_ms': 185000, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,99 Problems,4HsL5A46wa0O2jQ0ngj3H7,The Hits Collection Volume One [International Version (Explicit)],2010-11-22,34,True,235.466,"{'danceability': 0.478, 'energy': 0.955, 'key': 6, 'loudness': -0.905, 'mode': 0, 'speechiness': 0.38, 'acousticness': 0.00782, 'instrumentalness': 0, 'liveness': 0.0599, 'valence': 0.505, 'tempo': 87.522, 'type': 'audio_features', 'id': '4HsL5A46wa0O2jQ0ngj3H7', 'uri': 'spotify:track:4HsL5A46wa0O2jQ0ngj3H7', 'track_href': 'https://api.spotify.com/v1/tracks/4HsL5A46wa0O2jQ0ngj3H7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4HsL5A46wa0O2jQ0ngj3H7', 'duration_ms': 235467, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
Britney Spears,26dSoYclwsYLMAKD3tpOr4,Toxic,26nr9XnFCYWxBTIP7HyWXg,Greatest Hits: My Prerogative,2004-11-08,52,False,198.813,"{'danceability': 0.774, 'energy': 0.839, 'key': 5, 'loudness': -3.948, 'mode': 0, 'speechiness': 0.114, 'acousticness': 0.027, 'instrumentalness': 0.0166, 'liveness': 0.252, 'valence': 0.923, 'tempo': 142.985, 'type': 'audio_features', 'id': '26nr9XnFCYWxBTIP7HyWXg', 'uri': 'spotify:track:26nr9XnFCYWxBTIP7HyWXg', 'track_href': 'https://api.spotify.com/v1/tracks/26nr9XnFCYWxBTIP7HyWXg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/26nr9XnFCYWxBTIP7HyWXg', 'duration_ms': 198813, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
M.I.A.,0QJIPDAEDILuo8AIq3pMuU,Galang,4ksiaaposSiuqq77FQ33zs,Arular,2005-04-25,0,False,442.4,"{'danceability': 0.575, 'energy': 0.851, 'key': 7, 'loudness': -7.022, 'mode': 1, 'speechiness': 0.398, 'acousticness': 0.169, 'instrumentalness': 0.00242, 'liveness': 0.0628, 'valence': 0.219, 'tempo': 101.013, 'type': 'audio_features', 'id': '4ksiaaposSiuqq77FQ33zs', 'uri': 'spotify:track:4ksiaaposSiuqq77FQ33zs', 'track_href': 'https://api.spotify.com/v1/tracks/4ksiaaposSiuqq77FQ33zs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ksiaaposSiuqq77FQ33zs', 'duration_ms': 442400, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,Yeah,2sE5rkUHUfC6Ys0SPSofuR,LCD Soundsystem,2005-01-24,34,False,561.253,"{'danceability': 0.705, 'energy': 0.861, 'key': 10, 'loudness': -4.875, 'mode': 1, 'speechiness': 0.0296, 'acousticness': 0.000227, 'instrumentalness': 0.543, 'liveness': 0.388, 'valence': 0.616, 'tempo': 131.999, 'type': 'audio_features', 'id': '2sE5rkUHUfC6Ys0SPSofuR', 'uri': 'spotify:track:2sE5rkUHUfC6Ys0SPSofuR', 'track_href': 'https://api.spotify.com/v1/tracks/2sE5rkUHUfC6Ys0SPSofuR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2sE5rkUHUfC6Ys0SPSofuR', 'duration_ms': 561253, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
The Walkmen,6kFay2DQ5aZfeu5OsrF3Pw,The Rat,3HFbtkED52w1dOqHgGXbgu,Sympathy For The Download 00 (DMD Internet),2004-02-03,26,False,262.226,"{'danceability': 0.162, 'energy': 0.921, 'key': 6, 'loudness': -4.881, 'mode': 0, 'speechiness': 0.0611, 'acousticness': 0.000141, 'instrumentalness': 0.078, 'liveness': 0.239, 'valence': 0.315, 'tempo': 168.264, 'type': 'audio_features', 'id': '3HFbtkED52w1dOqHgGXbgu', 'uri': 'spotify:track:3HFbtkED52w1dOqHgGXbgu', 'track_href': 'https://api.spotify.com/v1/tracks/3HFbtkED52w1dOqHgGXbgu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3HFbtkED52w1dOqHgGXbgu', 'duration_ms': 262227, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Take Me Out,5x3DjsEgBrBfwyrqR27DJk,Take Me Out,2004-05-11,0,False,241.96,"{'danceability': 0.249, 'energy': 0.762, 'key': 9, 'loudness': -3.187, 'mode': 1, 'speechiness': 0.0422, 'acousticness': 0.00037, 'instrumentalness': 0.00656, 'liveness': 0.0968, 'valence': 0.437, 'tempo': 104.275, 'type': 'audio_features', 'id': '5x3DjsEgBrBfwyrqR27DJk', 'uri': 'spotify:track:5x3DjsEgBrBfwyrqR27DJk', 'track_href': 'https://api.spotify.com/v1/tracks/5x3DjsEgBrBfwyrqR27DJk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5x3DjsEgBrBfwyrqR27DJk', 'duration_ms': 241960, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
Fabolous,0YWxKQj2Go9CGHCp77UOyy,Breathe,18B0kNllS1JwrXYMCEFK7l,Rhino Hi-Five: Fabolous,2007-04-24,0,True,268.96,"{'danceability': 0.713, 'energy': 0.91, 'key': 10, 'loudness': -5.586, 'mode': 0, 'speechiness': 0.282, 'acousticness': 0.34, 'instrumentalness': 0, 'liveness': 0.304, 'valence': 0.51, 'tempo': 83.028, 'type': 'audio_features', 'id': '18B0kNllS1JwrXYMCEFK7l', 'uri': 'spotify:track:18B0kNllS1JwrXYMCEFK7l', 'track_href': 'https://api.spotify.com/v1/tracks/18B0kNllS1JwrXYMCEFK7l', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/18B0kNllS1JwrXYMCEFK7l', 'duration_ms': 268960, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
Beyoncé,6vWDO969PvNqNYHIOW5v0m,Naughty Girl,0YGQ3hZcRLC5YX7o0hdmHg,Dangerously In Love,2003-06-24,66,False,208.573,"{'danceability': 0.588, 'energy': 0.461, 'key': 6, 'loudness': -8.686, 'mode': 0, 'speechiness': 0.161, 'acousticness': 0.237, 'instrumentalness': 1.54e-05, 'liveness': 0.0913, 'valence': 0.659, 'tempo': 200.053, 'type': 'audio_features', 'id': '0YGQ3hZcRLC5YX7o0hdmHg', 'uri': 'spotify:track:0YGQ3hZcRLC5YX7o0hdmHg', 'track_href': 'https://api.spotify.com/v1/tracks/0YGQ3hZcRLC5YX7o0hdmHg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0YGQ3hZcRLC5YX7o0hdmHg', 'duration_ms': 208573, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
Annie,7zt6Af78CalxaPDqORfw8L,Chewing Gum - Vocal Mix; Radio Edit,1e5teH48DFXcl2GRn4Bum5,Chewing Gum,2004,0,False,209.173,"{'danceability': 0.867, 'energy': 0.867, 'key': 5, 'loudness': -4.401, 'mode': 1, 'speechiness': 0.0496, 'acousticness': 0.275, 'instrumentalness': 0, 'liveness': 0.167, 'valence': 0.924, 'tempo': 107.088, 'type': 'audio_features', 'id': '1e5teH48DFXcl2GRn4Bum5', 'uri': 'spotify:track:1e5teH48DFXcl2GRn4Bum5', 'track_href': 'https://api.spotify.com/v1/tracks/1e5teH48DFXcl2GRn4Bum5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1e5teH48DFXcl2GRn4Bum5', 'duration_ms': 209173, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
Twista feat. Kayne West & Jamie Foxx,5bEwiU0IdtUiWCL0MHCqn8,Slow Jamz - feat. Kanye West & Jamie Foxx Edited,4w00phkN8wWRCa5KWP8sTy,Kamikaze (Edited Version Re-Release U.S. Version),2004-01-27,0,False,212.546,"{'danceability': 0.586, 'energy': 0.771, 'key': 2, 'loudness': -6.706, 'mode': 0, 'speechiness': 0.103, 'acousticness': 0.33, 'instrumentalness': 1.64e-06, 'liveness': 0.281, 'valence': 0.614, 'tempo': 145.201, 'type': 'audio_features', 'id': '4w00phkN8wWRCa5KWP8sTy', 'uri': 'spotify:track:4w00phkN8wWRCa5KWP8sTy', 'track_href': 'https://api.spotify.com/v1/tracks/4w00phkN8wWRCa5KWP8sTy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4w00phkN8wWRCa5KWP8sTy', 'duration_ms': 212547, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
The Go! Team,6veTV9sF06FBf2KN0xAdvo,The Power Is On,0SUSj97GkG07gbUFWGCgHI,"Thunder, Lightning, Strike",2004,0,False,193.72,"{'danceability': 0.543, 'energy': 0.98, 'key': 10, 'loudness': -4.747, 'mode': 1, 'speechiness': 0.0758, 'acousticness': 0.0334, 'instrumentalness': 0.185, 'liveness': 0.301, 'valence': 0.51, 'tempo': 101.92, 'type': 'audio_features', 'id': '0SUSj97GkG07gbUFWGCgHI', 'uri': 'spotify:track:0SUSj97GkG07gbUFWGCgHI', 'track_href': 'https://api.spotify.com/v1/tracks/0SUSj97GkG07gbUFWGCgHI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0SUSj97GkG07gbUFWGCgHI', 'duration_ms': 193720, 'time_signature': 4}",Top 50 Singles of 2004,Top 50 Singles of 2004
Animal Collective,4kwxTgCKMipBKhSnEstNKj,Who Could Win a Rabbit,2PJJXWaQRidTn8xJS009Iv,Sung Tongs,2004-05-03,0,False,138.84,"{'danceability': 0.494, 'energy': 0.864, 'key': 0, 'loudness': -8.115, 'mode': 1, 'speechiness': 0.0687, 'acousticness': 0.377, 'instrumentalness': 0, 'liveness': 0.655, 'valence': 0.534, 'tempo': 92.092, 'type': 'audio_features', 'id': '2PJJXWaQRidTn8xJS009Iv', 'uri': 'spotify:track:2PJJXWaQRidTn8xJS009Iv', 'track_href': 'https://api.spotify.com/v1/tracks/2PJJXWaQRidTn8xJS009Iv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2PJJXWaQRidTn8xJS009Iv', 'duration_ms': 138840, 'time_signature': 3}",Top 50 Singles of 2004,Top 50 Singles of 2004
