artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Grimes,053q0ukIDRgzwTr4vNSwab,Oblivion,4P6n0udLAnmCNXVcobYbsK,Visions,2012-02-21,0,False,251.266,"{'danceability': 0.697, 'energy': 0.529, 'key': 2, 'loudness': -8.838, 'mode': 1, 'speechiness': 0.0338, 'acousticness': 0.115, 'instrumentalness': 0.901, 'liveness': 0.0895, 'valence': 0.486, 'tempo': 155.974, 'type': 'audio_features', 'id': '4P6n0udLAnmCNXVcobYbsK', 'uri': 'spotify:track:4P6n0udLAnmCNXVcobYbsK', 'track_href': 'https://api.spotify.com/v1/tracks/4P6n0udLAnmCNXVcobYbsK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4P6n0udLAnmCNXVcobYbsK', 'duration_ms': 251267, 'time_signature': 4}",The Top 100 Tracks of 2012,Top 100 Tracks 2012 - Pitchfork
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Pyramids,4QhWbupniDd44EDtnh2bFJ,channel ORANGE,2012-07-10,79,True,592.92,"{'danceability': 0.4, 'energy': 0.65, 'key': 5, 'loudness': -6.104, 'mode': 0, 'speechiness': 0.0466, 'acousticness': 0.0118, 'instrumentalness': 7.62e-05, 'liveness': 0.791, 'valence': 0.15, 'tempo': 107.989, 'type': 'audio_features', 'id': '4QhWbupniDd44EDtnh2bFJ', 'uri': 'spotify:track:4QhWbupniDd44EDtnh2bFJ', 'track_href': 'https://api.spotify.com/v1/tracks/4QhWbupniDd44EDtnh2bFJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4QhWbupniDd44EDtnh2bFJ', 'duration_ms': 592920, 'time_signature': 4}",The Top 100 Tracks of 2012,Top 100 Tracks 2012 - Pitchfork
USHER,23zg3TcAtWQy7J6upgbUnj,Climax,6cNajGUxKP53LIg0LzlfQt,Looking 4 Myself (Deluxe Version),2012-06-08,0,False,232.906,"{'danceability': 0.647, 'energy': 0.478, 'key': 8, 'loudness': -8.837, 'mode': 1, 'speechiness': 0.0782, 'acousticness': 0.547, 'instrumentalness': 2.69e-05, 'liveness': 0.156, 'valence': 0.333, 'tempo': 135.877, 'type': 'audio_features', 'id': '6cNajGUxKP53LIg0LzlfQt', 'uri': 'spotify:track:6cNajGUxKP53LIg0LzlfQt', 'track_href': 'https://api.spotify.com/v1/tracks/6cNajGUxKP53LIg0LzlfQt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6cNajGUxKP53LIg0LzlfQt', 'duration_ms': 232907, 'time_signature': 4}",The Top 100 Tracks of 2012,Top 100 Tracks 2012 - Pitchfork
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"Bitch, Don’t Kill My Vibe",6CwoD0C9LVWelhG52bbkdL,"good kid, m.A.A.d city (Deluxe)",2012-01-01,38,True,310.72,"{'danceability': 0.587, 'energy': 0.698, 'key': 1, 'loudness': -8.948, 'mode': 1, 'speechiness': 0.0943, 'acousticness': 0.0152, 'instrumentalness': 0, 'liveness': 0.442, 'valence': 0.0985, 'tempo': 133.954, 'type': 'audio_features', 'id': '6CwoD0C9LVWelhG52bbkdL', 'uri': 'spotify:track:6CwoD0C9LVWelhG52bbkdL', 'track_href': 'https://api.spotify.com/v1/tracks/6CwoD0C9LVWelhG52bbkdL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6CwoD0C9LVWelhG52bbkdL', 'duration_ms': 310720, 'time_signature': 4}",The Top 100 Tracks of 2012,Top 100 Tracks 2012 - Pitchfork
Japandroids,2WcCoPxAWFNSCvsFPrpf30,The House That Heaven Built,2dcmQJCw1INGn7yR2KHx0U,Celebration Rock,2012-06-05,0,False,289.15,"{'danceability': 0.322, 'energy': 0.985, 'key': 0, 'loudness': -3.494, 'mode': 1, 'speechiness': 0.14, 'acousticness': 0.000522, 'instrumentalness': 0.00865, 'liveness': 0.0964, 'valence': 0.0815, 'tempo': 161.195, 'type': 'audio_features', 'id': '2dcmQJCw1INGn7yR2KHx0U', 'uri': 'spotify:track:2dcmQJCw1INGn7yR2KHx0U', 'track_href': 'https://api.spotify.com/v1/tracks/2dcmQJCw1INGn7yR2KHx0U', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2dcmQJCw1INGn7yR2KHx0U', 'duration_ms': 289150, 'time_signature': 4}",The Top 100 Tracks of 2012,Top 100 Tracks 2012 - Pitchfork
Bat For Lashes,6l77PmL5iuEEcYjGl8K6s7,Laura,1pFkMEeCMtZuuId6AUhMK6,Laura,2012-07-20,26,False,267.053,"{'danceability': 0.404, 'energy': 0.158, 'key': 7, 'loudness': -10.265, 'mode': 1, 'speechiness': 0.0366, 'acousticness': 0.917, 'instrumentalness': 0, 'liveness': 0.092, 'valence': 0.0656, 'tempo': 96.666, 'type': 'audio_features', 'id': '1pFkMEeCMtZuuId6AUhMK6', 'uri': 'spotify:track:1pFkMEeCMtZuuId6AUhMK6', 'track_href': 'https://api.spotify.com/v1/tracks/1pFkMEeCMtZuuId6AUhMK6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1pFkMEeCMtZuuId6AUhMK6', 'duration_ms': 267053, 'time_signature': 4}",The Top 100 Tracks of 2012,Top 100 Tracks 2012 - Pitchfork
Tame Impala,5INjqkS1o8h1imAzPqGZBb,Feels Like We Only Go Backwards,5WOQUgcXl79q0KnYwECQsm,Lonerism,2012-10-09,0,False,192.96,"{'danceability': 0.303, 'energy': 0.9, 'key': 2, 'loudness': -2.352, 'mode': 0, 'speechiness': 0.0574, 'acousticness': 0.0277, 'instrumentalness': 0.635, 'liveness': 0.11, 'valence': 0.491, 'tempo': 149.508, 'type': 'audio_features', 'id': '5WOQUgcXl79q0KnYwECQsm', 'uri': 'spotify:track:5WOQUgcXl79q0KnYwECQsm', 'track_href': 'https://api.spotify.com/v1/tracks/5WOQUgcXl79q0KnYwECQsm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5WOQUgcXl79q0KnYwECQsm', 'duration_ms': 192960, 'time_signature': 4}",The Top 100 Tracks of 2012,Top 100 Tracks 2012 - Pitchfork
Beach House,56ZTgzPBDge0OvCGgMO3OY,Myth,0agBriTy7L5vFjeFT4qXr9,Bloom,2012-05-15,0,False,258.653,"{'danceability': 0.448, 'energy': 0.733, 'key': 3, 'loudness': -6.238, 'mode': 1, 'speechiness': 0.0292, 'acousticness': 0.0369, 'instrumentalness': 0.0425, 'liveness': 0.169, 'valence': 0.407, 'tempo': 142.008, 'type': 'audio_features', 'id': '0agBriTy7L5vFjeFT4qXr9', 'uri': 'spotify:track:0agBriTy7L5vFjeFT4qXr9', 'track_href': 'https://api.spotify.com/v1/tracks/0agBriTy7L5vFjeFT4qXr9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0agBriTy7L5vFjeFT4qXr9', 'duration_ms': 258653, 'time_signature': 4}",The Top 100 Tracks of 2012,Top 100 Tracks 2012 - Pitchfork
Fiona Apple,3g2kUQ6tHLLbmkV7T4GPtL,Werewolf,4zNgZaFsNmFXlFU4wvgi0U,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do,2012-06-18,0,False,192.706,"{'danceability': 0.453, 'energy': 0.303, 'key': 9, 'loudness': -13.748, 'mode': 0, 'speechiness': 0.0424, 'acousticness': 0.836, 'instrumentalness': 1.48e-05, 'liveness': 0.0937, 'valence': 0.213, 'tempo': 123.223, 'type': 'audio_features', 'id': '4zNgZaFsNmFXlFU4wvgi0U', 'uri': 'spotify:track:4zNgZaFsNmFXlFU4wvgi0U', 'track_href': 'https://api.spotify.com/v1/tracks/4zNgZaFsNmFXlFU4wvgi0U', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4zNgZaFsNmFXlFU4wvgi0U', 'duration_ms': 192707, 'time_signature': 3}",The Top 100 Tracks of 2012,Top 100 Tracks 2012 - Pitchfork
Jai Paul,53wZLCnhshZKDRs3uopFBc,jasmine - Demo,59tpgfXjTc3QR7mWJj8Wln,jasmine (Demo),2012-04-09,0,False,253.611,"{'danceability': 0.576, 'energy': 0.291, 'key': 10, 'loudness': -9.919, 'mode': 0, 'speechiness': 0.108, 'acousticness': 0.773, 'instrumentalness': 0.908, 'liveness': 0.205, 'valence': 0.201, 'tempo': 89.529, 'type': 'audio_features', 'id': '59tpgfXjTc3QR7mWJj8Wln', 'uri': 'spotify:track:59tpgfXjTc3QR7mWJj8Wln', 'track_href': 'https://api.spotify.com/v1/tracks/59tpgfXjTc3QR7mWJj8Wln', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/59tpgfXjTc3QR7mWJj8Wln', 'duration_ms': 253612, 'time_signature': 4}",The Top 100 Tracks of 2012,Top 100 Tracks 2012 - Pitchfork
