artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Alvvays,3kzwYV3OCB010YfXMF0Avt,Belinda Says,1kSMqCHHCrNwsJJXJRLEoT,Blue Rev,2022-10-07,49,False,165.445,"{'danceability': 0.35, 'energy': 0.754, 'key': 4, 'loudness': -3.975, 'mode': 1, 'speechiness': 0.0577, 'acousticness': 0.0682, 'instrumentalness': 0.000173, 'liveness': 0.0698, 'valence': 0.311, 'tempo': 118.942, 'type': 'audio_features', 'id': '1kSMqCHHCrNwsJJXJRLEoT', 'uri': 'spotify:track:1kSMqCHHCrNwsJJXJRLEoT', 'track_href': 'https://api.spotify.com/v1/tracks/1kSMqCHHCrNwsJJXJRLEoT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1kSMqCHHCrNwsJJXJRLEoT', 'duration_ms': 165445, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Destroyer,22ojy4H4ZVpowC4lRRC8In,June,7AgYt50shbiD9QZtZKFp3q,LABYRINTHITIS,2022-03-25,26,True,393.08,"{'danceability': 0.72, 'energy': 0.81, 'key': 5, 'loudness': -7.596, 'mode': 0, 'speechiness': 0.074, 'acousticness': 0.0924, 'instrumentalness': 0.00769, 'liveness': 0.153, 'valence': 0.782, 'tempo': 110.037, 'type': 'audio_features', 'id': '7AgYt50shbiD9QZtZKFp3q', 'uri': 'spotify:track:7AgYt50shbiD9QZtZKFp3q', 'track_href': 'https://api.spotify.com/v1/tracks/7AgYt50shbiD9QZtZKFp3q', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7AgYt50shbiD9QZtZKFp3q', 'duration_ms': 393080, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Hitkidd,5pR1zWq3UPsOpW1pTWayLf,F.N.F. (Let's Go),1fVmUOZwCYTej2LFjKKxaH,F.N.F. (Let's Go),2022-05-02,29,False,137.64,"{'danceability': 0.843, 'energy': 0.632, 'key': 1, 'loudness': -5.698, 'mode': 1, 'speechiness': 0.375, 'acousticness': 0.0311, 'instrumentalness': 0, 'liveness': 0.374, 'valence': 0.608, 'tempo': 156.972, 'type': 'audio_features', 'id': '1fVmUOZwCYTej2LFjKKxaH', 'uri': 'spotify:track:1fVmUOZwCYTej2LFjKKxaH', 'track_href': 'https://api.spotify.com/v1/tracks/1fVmUOZwCYTej2LFjKKxaH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1fVmUOZwCYTej2LFjKKxaH', 'duration_ms': 137640, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Alex G,6lcwlkAjBPSKnFBZjjZFJs,Runner,5DRnssBoVo8e7uAQZkNT8O,God Save The Animals,2022-09-23,55,False,156.772,"{'danceability': 0.732, 'energy': 0.703, 'key': 11, 'loudness': -7.224, 'mode': 1, 'speechiness': 0.0314, 'acousticness': 0.104, 'instrumentalness': 0.0417, 'liveness': 0.109, 'valence': 0.836, 'tempo': 108.979, 'type': 'audio_features', 'id': '5DRnssBoVo8e7uAQZkNT8O', 'uri': 'spotify:track:5DRnssBoVo8e7uAQZkNT8O', 'track_href': 'https://api.spotify.com/v1/tracks/5DRnssBoVo8e7uAQZkNT8O', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5DRnssBoVo8e7uAQZkNT8O', 'duration_ms': 156772, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Beyoncé,6vWDO969PvNqNYHIOW5v0m,ALIEN SUPERSTAR,3uyF4RSaQBhOVhLTxfcZCg,RENAISSANCE,2022-07-29,46,False,215.459,"{'danceability': 0.546, 'energy': 0.633, 'key': 1, 'loudness': -6.444, 'mode': 1, 'speechiness': 0.0793, 'acousticness': 0.00363, 'instrumentalness': 6.98e-05, 'liveness': 0.149, 'valence': 0.489, 'tempo': 119.777, 'type': 'audio_features', 'id': '3uyF4RSaQBhOVhLTxfcZCg', 'uri': 'spotify:track:3uyF4RSaQBhOVhLTxfcZCg', 'track_href': 'https://api.spotify.com/v1/tracks/3uyF4RSaQBhOVhLTxfcZCg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3uyF4RSaQBhOVhLTxfcZCg', 'duration_ms': 215460, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Spitting Off the Edge of the World,0JX23XA8E7aN1Chj32kgVn,Cool It Down,2022-09-30,58,False,257.746,"{'danceability': 0.413, 'energy': 0.722, 'key': 2, 'loudness': -5.875, 'mode': 1, 'speechiness': 0.036, 'acousticness': 0.00342, 'instrumentalness': 3.13e-06, 'liveness': 0.0626, 'valence': 0.0803, 'tempo': 109.948, 'type': 'audio_features', 'id': '0JX23XA8E7aN1Chj32kgVn', 'uri': 'spotify:track:0JX23XA8E7aN1Chj32kgVn', 'track_href': 'https://api.spotify.com/v1/tracks/0JX23XA8E7aN1Chj32kgVn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0JX23XA8E7aN1Chj32kgVn', 'duration_ms': 257747, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,SAOKO,2FYGZDfsAnNsrm1gVbyKnG,MOTOMAMI,2022-03-18,67,True,137.533,"{'danceability': 0.827, 'energy': 0.768, 'key': 0, 'loudness': -5.702, 'mode': 1, 'speechiness': 0.265, 'acousticness': 0.79, 'instrumentalness': 2.45e-05, 'liveness': 0.497, 'valence': 0.734, 'tempo': 99.988, 'type': 'audio_features', 'id': '2FYGZDfsAnNsrm1gVbyKnG', 'uri': 'spotify:track:2FYGZDfsAnNsrm1gVbyKnG', 'track_href': 'https://api.spotify.com/v1/tracks/2FYGZDfsAnNsrm1gVbyKnG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2FYGZDfsAnNsrm1gVbyKnG', 'duration_ms': 137533, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Braxe + Falcon,10sZHUBkoiCLucz4bbCEBA,Step By Step,2ffoc5Am1YwBsNgAs8hAFO,Step By Step EP,2022-06-24,21,False,242.081,"{'danceability': 0.469, 'energy': 0.721, 'key': 1, 'loudness': -7.058, 'mode': 1, 'speechiness': 0.0328, 'acousticness': 0.121, 'instrumentalness': 0.000249, 'liveness': 0.0853, 'valence': 0.463, 'tempo': 145.835, 'type': 'audio_features', 'id': '2ffoc5Am1YwBsNgAs8hAFO', 'uri': 'spotify:track:2ffoc5Am1YwBsNgAs8hAFO', 'track_href': 'https://api.spotify.com/v1/tracks/2ffoc5Am1YwBsNgAs8hAFO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2ffoc5Am1YwBsNgAs8hAFO', 'duration_ms': 242082, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Bad Bunny,4q3ewBCX7sLwd24euuV69X,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,Un Verano Sin Ti,2022-05-06,84,True,243.716,"{'danceability': 0.65, 'energy': 0.715, 'key': 5, 'loudness': -5.198, 'mode': 0, 'speechiness': 0.253, 'acousticness': 0.0993, 'instrumentalness': 0.000291, 'liveness': 0.126, 'valence': 0.187, 'tempo': 106.672, 'type': 'audio_features', 'id': '1IHWl5LamUGEuP4ozKQSXZ', 'uri': 'spotify:track:1IHWl5LamUGEuP4ozKQSXZ', 'track_href': 'https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ', 'duration_ms': 243717, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Hikaru Utada,7lbSsjYACZHn1MSDXPxNF2,Somewhere Near Marseilles ーマルセイユ辺りー,5ai97hAB5rHiV2luX5NWw5,BADモード,2022-01-19,44,False,714.585,"{'danceability': 0.705, 'energy': 0.744, 'key': 5, 'loudness': -7.692, 'mode': 1, 'speechiness': 0.033, 'acousticness': 0.0163, 'instrumentalness': 0.195, 'liveness': 0.083, 'valence': 0.394, 'tempo': 114.002, 'type': 'audio_features', 'id': '5ai97hAB5rHiV2luX5NWw5', 'uri': 'spotify:track:5ai97hAB5rHiV2luX5NWw5', 'track_href': 'https://api.spotify.com/v1/tracks/5ai97hAB5rHiV2luX5NWw5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ai97hAB5rHiV2luX5NWw5', 'duration_ms': 714585, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Ethel Cain,0avMDS4HyoCEP6RqZJWpY2,American Teenager,4ltqfN12ohaVZdM6C45gMg,Preacher’s Daughter,2022-05-12,70,False,258.418,"{'danceability': 0.415, 'energy': 0.748, 'key': 4, 'loudness': -5.008, 'mode': 1, 'speechiness': 0.0481, 'acousticness': 0.00305, 'instrumentalness': 0, 'liveness': 0.0903, 'valence': 0.154, 'tempo': 120.056, 'type': 'audio_features', 'id': '4ltqfN12ohaVZdM6C45gMg', 'uri': 'spotify:track:4ltqfN12ohaVZdM6C45gMg', 'track_href': 'https://api.spotify.com/v1/tracks/4ltqfN12ohaVZdM6C45gMg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ltqfN12ohaVZdM6C45gMg', 'duration_ms': 258419, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,Fever,2wymwkZMbYWNzr1kY69Aze,Warm Chris,2022-03-25,36,False,257.293,"{'danceability': 0.604, 'energy': 0.217, 'key': 5, 'loudness': -8.578, 'mode': 1, 'speechiness': 0.0443, 'acousticness': 0.625, 'instrumentalness': 0.000176, 'liveness': 0.108, 'valence': 0.406, 'tempo': 173.717, 'type': 'audio_features', 'id': '2wymwkZMbYWNzr1kY69Aze', 'uri': 'spotify:track:2wymwkZMbYWNzr1kY69Aze', 'track_href': 'https://api.spotify.com/v1/tracks/2wymwkZMbYWNzr1kY69Aze', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2wymwkZMbYWNzr1kY69Aze', 'duration_ms': 257293, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
The 1975,3mIj9lX2MWuHmhNCA7LSCW,Part Of The Band,4S80oe7OJnBVlhNrbQTnt3,Being Funny In A Foreign Language,2022-10-14,57,False,260.148,"{'danceability': 0.714, 'energy': 0.51, 'key': 6, 'loudness': -8.216, 'mode': 1, 'speechiness': 0.0453, 'acousticness': 0.76, 'instrumentalness': 0.133, 'liveness': 0.253, 'valence': 0.832, 'tempo': 142.009, 'type': 'audio_features', 'id': '4S80oe7OJnBVlhNrbQTnt3', 'uri': 'spotify:track:4S80oe7OJnBVlhNrbQTnt3', 'track_href': 'https://api.spotify.com/v1/tracks/4S80oe7OJnBVlhNrbQTnt3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4S80oe7OJnBVlhNrbQTnt3', 'duration_ms': 260149, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,Cash In Cash Out,3S68RFe1lsdCdTMPIMJM3X,Cash In Cash Out,2022-06-10,70,True,216.135,"{'danceability': 0.877, 'energy': 0.56, 'key': 7, 'loudness': -3.751, 'mode': 1, 'speechiness': 0.0596, 'acousticness': 0.00721, 'instrumentalness': 1.45e-06, 'liveness': 0.0839, 'valence': 0.154, 'tempo': 119.971, 'type': 'audio_features', 'id': '3S68RFe1lsdCdTMPIMJM3X', 'uri': 'spotify:track:3S68RFe1lsdCdTMPIMJM3X', 'track_href': 'https://api.spotify.com/v1/tracks/3S68RFe1lsdCdTMPIMJM3X', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3S68RFe1lsdCdTMPIMJM3X', 'duration_ms': 216136, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Rachika Nayar,6afqNtQw2IUvXw6JeIRgQZ,Heaven Come Crashing,1AtRAlvzPOJY6LiAj5CDz6,Heaven Come Crashing,2022-08-26,0,False,333.168,"{'danceability': 0.129, 'energy': 0.535, 'key': 3, 'loudness': -12.541, 'mode': 1, 'speechiness': 0.0614, 'acousticness': 0.169, 'instrumentalness': 0.872, 'liveness': 0.0622, 'valence': 0.0535, 'tempo': 77.797, 'type': 'audio_features', 'id': '1AtRAlvzPOJY6LiAj5CDz6', 'uri': 'spotify:track:1AtRAlvzPOJY6LiAj5CDz6', 'track_href': 'https://api.spotify.com/v1/tracks/1AtRAlvzPOJY6LiAj5CDz6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1AtRAlvzPOJY6LiAj5CDz6', 'duration_ms': 333168, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,The Heart Part 5,5jRM7d5Gyr6qhlJ13rJPOn,The Heart Part 5,2022-05-08,37,False,332.228,"{'danceability': 0.613, 'energy': 0.799, 'key': 6, 'loudness': -8.126, 'mode': 0, 'speechiness': 0.323, 'acousticness': 0.19, 'instrumentalness': 0, 'liveness': 0.0735, 'valence': 0.83, 'tempo': 96.211, 'type': 'audio_features', 'id': '5jRM7d5Gyr6qhlJ13rJPOn', 'uri': 'spotify:track:5jRM7d5Gyr6qhlJ13rJPOn', 'track_href': 'https://api.spotify.com/v1/tracks/5jRM7d5Gyr6qhlJ13rJPOn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5jRM7d5Gyr6qhlJ13rJPOn', 'duration_ms': 332229, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,midnight sun,3IRHPt9MGFCUhunOcqZC7R,midnight sun,2022-01-19,15,False,282.373,"{'danceability': 0.664, 'energy': 0.863, 'key': 11, 'loudness': -7.369, 'mode': 0, 'speechiness': 0.0346, 'acousticness': 0.0184, 'instrumentalness': 9.46e-05, 'liveness': 0.257, 'valence': 0.401, 'tempo': 143.899, 'type': 'audio_features', 'id': '3IRHPt9MGFCUhunOcqZC7R', 'uri': 'spotify:track:3IRHPt9MGFCUhunOcqZC7R', 'track_href': 'https://api.spotify.com/v1/tracks/3IRHPt9MGFCUhunOcqZC7R', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3IRHPt9MGFCUhunOcqZC7R', 'duration_ms': 282373, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Björk,7w29UYBi0qsHi5RTcv3lmA,Ancestress,3ERNmiRQoxCTfZjaTmoB9W,Fossora,2022-09-30,23,False,437.914,"{'danceability': 0.318, 'energy': 0.381, 'key': 2, 'loudness': -8.896, 'mode': 0, 'speechiness': 0.0388, 'acousticness': 0.643, 'instrumentalness': 0, 'liveness': 0.105, 'valence': 0.175, 'tempo': 114.196, 'type': 'audio_features', 'id': '3ERNmiRQoxCTfZjaTmoB9W', 'uri': 'spotify:track:3ERNmiRQoxCTfZjaTmoB9W', 'track_href': 'https://api.spotify.com/v1/tracks/3ERNmiRQoxCTfZjaTmoB9W', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ERNmiRQoxCTfZjaTmoB9W', 'duration_ms': 437914, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Beth Orton,6cLEWhEKQl6nAvgr60M7zC,Friday Night,2A7e0dBiUVx7DKEMY2SV3d,Friday Night,2022-08-17,0,False,334.346,"{'danceability': 0.513, 'energy': 0.587, 'key': 1, 'loudness': -12.031, 'mode': 1, 'speechiness': 0.0306, 'acousticness': 0.801, 'instrumentalness': 0.843, 'liveness': 0.11, 'valence': 0.554, 'tempo': 97.957, 'type': 'audio_features', 'id': '2A7e0dBiUVx7DKEMY2SV3d', 'uri': 'spotify:track:2A7e0dBiUVx7DKEMY2SV3d', 'track_href': 'https://api.spotify.com/v1/tracks/2A7e0dBiUVx7DKEMY2SV3d', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2A7e0dBiUVx7DKEMY2SV3d', 'duration_ms': 334347, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
Caroline Polachek,4Ge8xMJNwt6EEXOzVXju9a,Billions,4gsdYgnktO0jmKEVoL8kfm,Billions,2022-02-09,38,False,297.514,"{'danceability': 0.589, 'energy': 0.61, 'key': 5, 'loudness': -9.663, 'mode': 1, 'speechiness': 0.0921, 'acousticness': 0.152, 'instrumentalness': 0.000261, 'liveness': 0.374, 'valence': 0.348, 'tempo': 139.941, 'type': 'audio_features', 'id': '4gsdYgnktO0jmKEVoL8kfm', 'uri': 'spotify:track:4gsdYgnktO0jmKEVoL8kfm', 'track_href': 'https://api.spotify.com/v1/tracks/4gsdYgnktO0jmKEVoL8kfm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4gsdYgnktO0jmKEVoL8kfm', 'duration_ms': 296555, 'time_signature': 4}",The 100 Best Songs of 2022,The 100 Best Songs of 2022
