artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Alright,33i0KOPBWURNW3l97a4QPy,To Pimp A Butterfly,2015-03-16,0,True,219.333,"{'danceability': 0.796, 'energy': 0.766, 'key': 7, 'loudness': -5.974, 'mode': 1, 'speechiness': 0.238, 'acousticness': 0.0742, 'instrumentalness': 0, 'liveness': 0.0827, 'valence': 0.558, 'tempo': 110.034, 'type': 'audio_features', 'id': '33i0KOPBWURNW3l97a4QPy', 'uri': 'spotify:track:33i0KOPBWURNW3l97a4QPy', 'track_href': 'https://api.spotify.com/v1/tracks/33i0KOPBWURNW3l97a4QPy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/33i0KOPBWURNW3l97a4QPy', 'duration_ms': 219333, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
Drake,3TVXtAsR1Inumwj472S9r4,Hotline Bling,1UfBAJfmofTffrae5ls6DA,Hotline Bling,2015-07-31,0,False,267.023,"{'danceability': 0.893, 'energy': 0.639, 'key': 2, 'loudness': -7.857, 'mode': 1, 'speechiness': 0.0549, 'acousticness': 0.00226, 'instrumentalness': 0.000315, 'liveness': 0.0382, 'valence': 0.579, 'tempo': 134.963, 'type': 'audio_features', 'id': '1UfBAJfmofTffrae5ls6DA', 'uri': 'spotify:track:1UfBAJfmofTffrae5ls6DA', 'track_href': 'https://api.spotify.com/v1/tracks/1UfBAJfmofTffrae5ls6DA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1UfBAJfmofTffrae5ls6DA', 'duration_ms': 267024, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
Jamie xx,7A0awCXkE1FtSU8B0qwOJQ,I Know There's Gonna Be (Good Times),6393Du1axGG1NvAMq0OcfU,In Colour,2015-06-01,0,True,213.622,"{'danceability': 0.458, 'energy': 0.595, 'key': 11, 'loudness': -9.912, 'mode': 0, 'speechiness': 0.217, 'acousticness': 0.117, 'instrumentalness': 0, 'liveness': 0.506, 'valence': 0.502, 'tempo': 89.571, 'type': 'audio_features', 'id': '6393Du1axGG1NvAMq0OcfU', 'uri': 'spotify:track:6393Du1axGG1NvAMq0OcfU', 'track_href': 'https://api.spotify.com/v1/tracks/6393Du1axGG1NvAMq0OcfU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6393Du1axGG1NvAMq0OcfU', 'duration_ms': 213622, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,King Kunta,1vffte5WTHIik37ePfJdo4,To Pimp A Butterfly,2015-03-16,0,True,234.693,"{'danceability': 0.884, 'energy': 0.657, 'key': 6, 'loudness': -4.569, 'mode': 0, 'speechiness': 0.0977, 'acousticness': 0.00589, 'instrumentalness': 0, 'liveness': 0.154, 'valence': 0.489, 'tempo': 107.059, 'type': 'audio_features', 'id': '1vffte5WTHIik37ePfJdo4', 'uri': 'spotify:track:1vffte5WTHIik37ePfJdo4', 'track_href': 'https://api.spotify.com/v1/tracks/1vffte5WTHIik37ePfJdo4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1vffte5WTHIik37ePfJdo4', 'duration_ms': 234693, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
Tame Impala,5INjqkS1o8h1imAzPqGZBb,Let It Happen,068LmtzI6xJJDPfPnMje0U,Currents,2015-07-17,0,False,467.585,"{'danceability': 0.602, 'energy': 0.874, 'key': 1, 'loudness': -5.906, 'mode': 0, 'speechiness': 0.0428, 'acousticness': 0.00476, 'instrumentalness': 0.0192, 'liveness': 0.108, 'valence': 0.612, 'tempo': 125.017, 'type': 'audio_features', 'id': '068LmtzI6xJJDPfPnMje0U', 'uri': 'spotify:track:068LmtzI6xJJDPfPnMje0U', 'track_href': 'https://api.spotify.com/v1/tracks/068LmtzI6xJJDPfPnMje0U', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/068LmtzI6xJJDPfPnMje0U', 'duration_ms': 467585, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
Young Thug,50co4Is1HCEo8bhOyUWKpn,Constantly Hating (feat. Birdman),1UIUkZtlgyrjPcH2agNomU,Barter 6,2015-04-16,46,True,267.44,"{'danceability': 0.712, 'energy': 0.449, 'key': 4, 'loudness': -9.765, 'mode': 1, 'speechiness': 0.631, 'acousticness': 0.275, 'instrumentalness': 0, 'liveness': 0.201, 'valence': 0.555, 'tempo': 170.075, 'type': 'audio_features', 'id': '1UIUkZtlgyrjPcH2agNomU', 'uri': 'spotify:track:1UIUkZtlgyrjPcH2agNomU', 'track_href': 'https://api.spotify.com/v1/tracks/1UIUkZtlgyrjPcH2agNomU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1UIUkZtlgyrjPcH2agNomU', 'duration_ms': 267440, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
Grimes,053q0ukIDRgzwTr4vNSwab,Flesh without Blood,1JYtlIFdYms6nZNf2K7Yys,Flesh without Blood,2015-10-26,0,False,264.523,"{'danceability': 0.481, 'energy': 0.965, 'key': 8, 'loudness': -2.993, 'mode': 1, 'speechiness': 0.0875, 'acousticness': 0.000904, 'instrumentalness': 0.000727, 'liveness': 0.476, 'valence': 0.66, 'tempo': 155.938, 'type': 'audio_features', 'id': '1JYtlIFdYms6nZNf2K7Yys', 'uri': 'spotify:track:1JYtlIFdYms6nZNf2K7Yys', 'track_href': 'https://api.spotify.com/v1/tracks/1JYtlIFdYms6nZNf2K7Yys', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1JYtlIFdYms6nZNf2K7Yys', 'duration_ms': 264524, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
D'Angelo,336vr2M3Va0FjyvB55lJEd,Really Love,2RcanAJpudPNDkyIe9DzKS,Black Messiah,2014-12-15,53,False,344.346,"{'danceability': 0.638, 'energy': 0.395, 'key': 4, 'loudness': -11.299, 'mode': 0, 'speechiness': 0.1, 'acousticness': 0.724, 'instrumentalness': 0.569, 'liveness': 0.0761, 'valence': 0.316, 'tempo': 78.516, 'type': 'audio_features', 'id': '2RcanAJpudPNDkyIe9DzKS', 'uri': 'spotify:track:2RcanAJpudPNDkyIe9DzKS', 'track_href': 'https://api.spotify.com/v1/tracks/2RcanAJpudPNDkyIe9DzKS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2RcanAJpudPNDkyIe9DzKS', 'duration_ms': 344347, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,Depreston,6QMrwp0056axC1ZveBs5Co,"Sometimes I Sit and Think, and Sometimes I Just Sit",2015-03-23,0,False,292.853,"{'danceability': 0.692, 'energy': 0.467, 'key': 0, 'loudness': -11.577, 'mode': 1, 'speechiness': 0.0336, 'acousticness': 0.0246, 'instrumentalness': 1.43e-05, 'liveness': 0.059, 'valence': 0.422, 'tempo': 126.407, 'type': 'audio_features', 'id': '6QMrwp0056axC1ZveBs5Co', 'uri': 'spotify:track:6QMrwp0056axC1ZveBs5Co', 'track_href': 'https://api.spotify.com/v1/tracks/6QMrwp0056axC1ZveBs5Co', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6QMrwp0056axC1ZveBs5Co', 'duration_ms': 292853, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
Vince Staples,68kEuyFKyqrdQQLLsmiatm,Lift Me Up,0ecnhvnmSc8atdkbvYf2TR,Summertime '06,2015-06-30,0,True,271.959,"{'danceability': 0.65, 'energy': 0.613, 'key': 1, 'loudness': -7.905, 'mode': 1, 'speechiness': 0.0353, 'acousticness': 0.00166, 'instrumentalness': 0.00232, 'liveness': 0.144, 'valence': 0.281, 'tempo': 120.043, 'type': 'audio_features', 'id': '0ecnhvnmSc8atdkbvYf2TR', 'uri': 'spotify:track:0ecnhvnmSc8atdkbvYf2TR', 'track_href': 'https://api.spotify.com/v1/tracks/0ecnhvnmSc8atdkbvYf2TR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ecnhvnmSc8atdkbvYf2TR', 'duration_ms': 271959, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,Should Have Known Better,5I6y1KWmUoV5YCaIEcs1qs,Carrie & Lowell,2015-03-31,0,False,307.697,"{'danceability': 0.571, 'energy': 0.172, 'key': 7, 'loudness': -20.7, 'mode': 1, 'speechiness': 0.0318, 'acousticness': 0.979, 'instrumentalness': 0.275, 'liveness': 0.124, 'valence': 0.297, 'tempo': 90.972, 'type': 'audio_features', 'id': '5I6y1KWmUoV5YCaIEcs1qs', 'uri': 'spotify:track:5I6y1KWmUoV5YCaIEcs1qs', 'track_href': 'https://api.spotify.com/v1/tracks/5I6y1KWmUoV5YCaIEcs1qs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5I6y1KWmUoV5YCaIEcs1qs', 'duration_ms': 307698, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Can't Feel My Face,6RsWqX8zABZLhZydXxEFOm,Beauty Behind The Madness,2015-08-28,0,False,213.52,"{'danceability': 0.702, 'energy': 0.77, 'key': 9, 'loudness': -5.416, 'mode': 0, 'speechiness': 0.0482, 'acousticness': 0.124, 'instrumentalness': 0, 'liveness': 0.103, 'valence': 0.593, 'tempo': 107.951, 'type': 'audio_features', 'id': '6RsWqX8zABZLhZydXxEFOm', 'uri': 'spotify:track:6RsWqX8zABZLhZydXxEFOm', 'track_href': 'https://api.spotify.com/v1/tracks/6RsWqX8zABZLhZydXxEFOm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6RsWqX8zABZLhZydXxEFOm', 'duration_ms': 213520, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Bitch Better Have My Money,5lnsCyEKWofnC00U4Ax0ti,Bitch Better Have My Money,2015-03-26,0,True,219.305,"{'danceability': 0.781, 'energy': 0.728, 'key': 1, 'loudness': -4.981, 'mode': 1, 'speechiness': 0.0621, 'acousticness': 0.0509, 'instrumentalness': 1.94e-06, 'liveness': 0.257, 'valence': 0.395, 'tempo': 102.99, 'type': 'audio_features', 'id': '5lnsCyEKWofnC00U4Ax0ti', 'uri': 'spotify:track:5lnsCyEKWofnC00U4Ax0ti', 'track_href': 'https://api.spotify.com/v1/tracks/5lnsCyEKWofnC00U4Ax0ti', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5lnsCyEKWofnC00U4Ax0ti', 'duration_ms': 219306, 'time_signature': 4}",The 100 Best Songs of 2015,Pitchfork Top 100 Songs of 2015
