artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
M83,63MQldklfxkjYDoUE4Tppz,Midnight City,4kO7mrAPfqIrsKwUOK5BFx,"Hurry Up, We're Dreaming",2011-10-18,0,False,243.96,"{'danceability': 0.507, 'energy': 0.729, 'key': 11, 'loudness': -5.399, 'mode': 0, 'speechiness': 0.0393, 'acousticness': 0.0182, 'instrumentalness': 1.4e-06, 'liveness': 0.0658, 'valence': 0.272, 'tempo': 105.013, 'type': 'audio_features', 'id': '4kO7mrAPfqIrsKwUOK5BFx', 'uri': 'spotify:track:4kO7mrAPfqIrsKwUOK5BFx', 'track_href': 'https://api.spotify.com/v1/tracks/4kO7mrAPfqIrsKwUOK5BFx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4kO7mrAPfqIrsKwUOK5BFx', 'duration_ms': 243960, 'time_signature': 4}",The Top 100 Tracks of 2011,Pitchfork Top 100 tracks 2011
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,Holocene,05lBuZWQ2OhQuzoCSIkvUF,Bon Iver,2011-05-21,0,False,336.613,"{'danceability': 0.379, 'energy': 0.306, 'key': 1, 'loudness': -14.446, 'mode': 1, 'speechiness': 0.0305, 'acousticness': 0.942, 'instrumentalness': 0.323, 'liveness': 0.123, 'valence': 0.157, 'tempo': 147.902, 'type': 'audio_features', 'id': '05lBuZWQ2OhQuzoCSIkvUF', 'uri': 'spotify:track:05lBuZWQ2OhQuzoCSIkvUF', 'track_href': 'https://api.spotify.com/v1/tracks/05lBuZWQ2OhQuzoCSIkvUF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/05lBuZWQ2OhQuzoCSIkvUF', 'duration_ms': 336613, 'time_signature': 4}",The Top 100 Tracks of 2011,Pitchfork Top 100 tracks 2011
EMA,0MT8Af4BlhE02l91O6cfyQ,California,6jm3aED9UKHZ8oyNP6Amaa,Past Life Martyred Saints,2011-05-27,0,False,275.266,"{'danceability': 0.178, 'energy': 0.461, 'key': 5, 'loudness': -7.295, 'mode': 1, 'speechiness': 0.0318, 'acousticness': 0.326, 'instrumentalness': 0.549, 'liveness': 0.0993, 'valence': 0.206, 'tempo': 86.103, 'type': 'audio_features', 'id': '6jm3aED9UKHZ8oyNP6Amaa', 'uri': 'spotify:track:6jm3aED9UKHZ8oyNP6Amaa', 'track_href': 'https://api.spotify.com/v1/tracks/6jm3aED9UKHZ8oyNP6Amaa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6jm3aED9UKHZ8oyNP6Amaa', 'duration_ms': 275267, 'time_signature': 3}",The Top 100 Tracks of 2011,Pitchfork Top 100 tracks 2011
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Super Bass,7gKIt3rDGIMJDFVSPBnGmj,Pink Friday,2010-01-01,0,True,200.013,"{'danceability': 0.721, 'energy': 0.867, 'key': 11, 'loudness': -4.302, 'mode': 1, 'speechiness': 0.196, 'acousticness': 0.29, 'instrumentalness': 2.87e-06, 'liveness': 0.503, 'valence': 0.639, 'tempo': 127.033, 'type': 'audio_features', 'id': '7gKIt3rDGIMJDFVSPBnGmj', 'uri': 'spotify:track:7gKIt3rDGIMJDFVSPBnGmj', 'track_href': 'https://api.spotify.com/v1/tracks/7gKIt3rDGIMJDFVSPBnGmj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7gKIt3rDGIMJDFVSPBnGmj', 'duration_ms': 200013, 'time_signature': 4}",The Top 100 Tracks of 2011,Pitchfork Top 100 tracks 2011
Real Estate,41SQP16hv1TioVYqdckmxT,It's Real,5mt3HpjZuJNpqg1k415CnR,Days,2011-10-17,0,False,168.493,"{'danceability': 0.419, 'energy': 0.856, 'key': 2, 'loudness': -5.443, 'mode': 1, 'speechiness': 0.0298, 'acousticness': 0.00928, 'instrumentalness': 0.0964, 'liveness': 0.124, 'valence': 0.721, 'tempo': 152.009, 'type': 'audio_features', 'id': '5mt3HpjZuJNpqg1k415CnR', 'uri': 'spotify:track:5mt3HpjZuJNpqg1k415CnR', 'track_href': 'https://api.spotify.com/v1/tracks/5mt3HpjZuJNpqg1k415CnR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5mt3HpjZuJNpqg1k415CnR', 'duration_ms': 168493, 'time_signature': 4}",The Top 100 Tracks of 2011,Pitchfork Top 100 tracks 2011
Destroyer,22ojy4H4ZVpowC4lRRC8In,Kaputt,0hvcIDobOkiw5Xq1SK3dbj,Kaputt,2011-01-25,0,False,377.986,"{'danceability': 0.642, 'energy': 0.721, 'key': 4, 'loudness': -8.926, 'mode': 1, 'speechiness': 0.0341, 'acousticness': 0.0777, 'instrumentalness': 0.142, 'liveness': 0.185, 'valence': 0.581, 'tempo': 109.992, 'type': 'audio_features', 'id': '0hvcIDobOkiw5Xq1SK3dbj', 'uri': 'spotify:track:0hvcIDobOkiw5Xq1SK3dbj', 'track_href': 'https://api.spotify.com/v1/tracks/0hvcIDobOkiw5Xq1SK3dbj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0hvcIDobOkiw5Xq1SK3dbj', 'duration_ms': 377987, 'time_signature': 4}",The Top 100 Tracks of 2011,Pitchfork Top 100 tracks 2011
Beyoncé,6vWDO969PvNqNYHIOW5v0m,Countdown,7nAeBxnvQYT01pzDnsiL3p,4,2011-06-24,30,False,212.146,"{'danceability': 0.665, 'energy': 0.787, 'key': 5, 'loudness': -5.73, 'mode': 1, 'speechiness': 0.151, 'acousticness': 0.308, 'instrumentalness': 0, 'liveness': 0.219, 'valence': 0.699, 'tempo': 167.349, 'type': 'audio_features', 'id': '7nAeBxnvQYT01pzDnsiL3p', 'uri': 'spotify:track:7nAeBxnvQYT01pzDnsiL3p', 'track_href': 'https://api.spotify.com/v1/tracks/7nAeBxnvQYT01pzDnsiL3p', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7nAeBxnvQYT01pzDnsiL3p', 'duration_ms': 212147, 'time_signature': 4}",The Top 100 Tracks of 2011,Pitchfork Top 100 tracks 2011
Cass McCombs,2iUVQjheBnvOt8vaBrxXJz,County Line,1aVPslC1gwIhYacWIhMcnP,Wit's End,2011-04-11,0,False,337.226,"{'danceability': 0.58, 'energy': 0.152, 'key': 2, 'loudness': -13.395, 'mode': 1, 'speechiness': 0.0382, 'acousticness': 0.705, 'instrumentalness': 0.0212, 'liveness': 0.111, 'valence': 0.323, 'tempo': 124.76, 'type': 'audio_features', 'id': '1aVPslC1gwIhYacWIhMcnP', 'uri': 'spotify:track:1aVPslC1gwIhYacWIhMcnP', 'track_href': 'https://api.spotify.com/v1/tracks/1aVPslC1gwIhYacWIhMcnP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1aVPslC1gwIhYacWIhMcnP', 'duration_ms': 337227, 'time_signature': 4}",The Top 100 Tracks of 2011,Pitchfork Top 100 tracks 2011
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,I'm On One,2wzdpaYtmCKc8HtTHKWmbr,I'm On One,2011-01-01,0,True,298.866,"{'danceability': 0.492, 'energy': 0.817, 'key': 11, 'loudness': -3.416, 'mode': 0, 'speechiness': 0.304, 'acousticness': 0.0548, 'instrumentalness': 0, 'liveness': 0.17, 'valence': 0.453, 'tempo': 150.186, 'type': 'audio_features', 'id': '2wzdpaYtmCKc8HtTHKWmbr', 'uri': 'spotify:track:2wzdpaYtmCKc8HtTHKWmbr', 'track_href': 'https://api.spotify.com/v1/tracks/2wzdpaYtmCKc8HtTHKWmbr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2wzdpaYtmCKc8HtTHKWmbr', 'duration_ms': 298867, 'time_signature': 4}",The Top 100 Tracks of 2011,Pitchfork Top 100 tracks 2011
James Blake,53KwLdlmrlCelAZMaLVZqU,The Wilhelm Scream,4GC6X2HV0D754ETdPT7Cck,James Blake,2011-01-01,0,False,273.84,"{'danceability': 0.546, 'energy': 0.291, 'key': 7, 'loudness': -12.252, 'mode': 1, 'speechiness': 0.138, 'acousticness': 0.784, 'instrumentalness': 0.931, 'liveness': 0.0894, 'valence': 0.363, 'tempo': 169.96, 'type': 'audio_features', 'id': '4GC6X2HV0D754ETdPT7Cck', 'uri': 'spotify:track:4GC6X2HV0D754ETdPT7Cck', 'track_href': 'https://api.spotify.com/v1/tracks/4GC6X2HV0D754ETdPT7Cck', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4GC6X2HV0D754ETdPT7Cck', 'duration_ms': 273840, 'time_signature': 4}",The Top 100 Tracks of 2011,Pitchfork Top 100 tracks 2011
