artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,cellophane,2cYALQZNXmuFGp2ecgpKMa,MAGDALENE,2019-11-08,0,False,204.066,"{'danceability': 0.563, 'energy': 0.283, 'key': 2, 'loudness': -11.858, 'mode': 1, 'speechiness': 0.0395, 'acousticness': 0.872, 'instrumentalness': 0.000143, 'liveness': 0.0899, 'valence': 0.228, 'tempo': 106.973, 'type': 'audio_features', 'id': '2cYALQZNXmuFGp2ecgpKMa', 'uri': 'spotify:track:2cYALQZNXmuFGp2ecgpKMa', 'track_href': 'https://api.spotify.com/v1/tracks/2cYALQZNXmuFGp2ecgpKMa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2cYALQZNXmuFGp2ecgpKMa', 'duration_ms': 204067, 'time_signature': 4}",The 100 Best Songs of 2019,The 100 Best Songs of 2019
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,The greatest,6ERZ30cRjVWGtVLhczX9aL,Norman Fucking Rockwell!,2019-08-30,67,True,300.36,"{'danceability': 0.443, 'energy': 0.226, 'key': 2, 'loudness': -12.507, 'mode': 0, 'speechiness': 0.0359, 'acousticness': 0.939, 'instrumentalness': 0.0201, 'liveness': 0.14, 'valence': 0.196, 'tempo': 79.142, 'type': 'audio_features', 'id': '6ERZ30cRjVWGtVLhczX9aL', 'uri': 'spotify:track:6ERZ30cRjVWGtVLhczX9aL', 'track_href': 'https://api.spotify.com/v1/tracks/6ERZ30cRjVWGtVLhczX9aL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6ERZ30cRjVWGtVLhczX9aL', 'duration_ms': 300361, 'time_signature': 3}",The 100 Best Songs of 2019,The 100 Best Songs of 2019
Clairo,3l0CmX0FuQjFxr8SK7Vqag,Bags,6UFivO2zqqPFPoQYsEMuCc,Immunity,2019-08-02,79,False,260.519,"{'danceability': 0.742, 'energy': 0.546, 'key': 1, 'loudness': -7.694, 'mode': 1, 'speechiness': 0.0315, 'acousticness': 0.172, 'instrumentalness': 0.38, 'liveness': 0.115, 'valence': 0.868, 'tempo': 104.996, 'type': 'audio_features', 'id': '6UFivO2zqqPFPoQYsEMuCc', 'uri': 'spotify:track:6UFivO2zqqPFPoQYsEMuCc', 'track_href': 'https://api.spotify.com/v1/tracks/6UFivO2zqqPFPoQYsEMuCc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6UFivO2zqqPFPoQYsEMuCc', 'duration_ms': 260520, 'time_signature': 4}",The 100 Best Songs of 2019,The 100 Best Songs of 2019
Charli XCX,25uiPmTg16RbhZWAqwLBy5,Gone,1yUJK3qxPiFiPeAG2gLfuW,Charli,2019-09-13,51,True,246.48,"{'danceability': 0.91, 'energy': 0.441, 'key': 6, 'loudness': -7.575, 'mode': 1, 'speechiness': 0.0693, 'acousticness': 0.0414, 'instrumentalness': 8.8e-06, 'liveness': 0.0745, 'valence': 0.66, 'tempo': 114.002, 'type': 'audio_features', 'id': '1yUJK3qxPiFiPeAG2gLfuW', 'uri': 'spotify:track:1yUJK3qxPiFiPeAG2gLfuW', 'track_href': 'https://api.spotify.com/v1/tracks/1yUJK3qxPiFiPeAG2gLfuW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1yUJK3qxPiFiPeAG2gLfuW', 'duration_ms': 246480, 'time_signature': 4}",The 100 Best Songs of 2019,The 100 Best Songs of 2019
Bad Bunny,4q3ewBCX7sLwd24euuV69X,Caro,6it15CsDlkqB7N4lF0C1qM,X 100PRE,2018-12-23,66,True,229.455,"{'danceability': 0.651, 'energy': 0.575, 'key': 0, 'loudness': -7.739, 'mode': 1, 'speechiness': 0.299, 'acousticness': 0.627, 'instrumentalness': 0.000202, 'liveness': 0.0961, 'valence': 0.248, 'tempo': 160.007, 'type': 'audio_features', 'id': '6it15CsDlkqB7N4lF0C1qM', 'uri': 'spotify:track:6it15CsDlkqB7N4lF0C1qM', 'track_href': 'https://api.spotify.com/v1/tracks/6it15CsDlkqB7N4lF0C1qM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6it15CsDlkqB7N4lF0C1qM', 'duration_ms': 229456, 'time_signature': 4}",The 100 Best Songs of 2019,The 100 Best Songs of 2019
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,Seventeen,7yMYqHqzye8vtyiHqdVlZw,Remind Me Tomorrow,2019-01-18,0,False,265.92,"{'danceability': 0.538, 'energy': 0.77, 'key': 5, 'loudness': -7.376, 'mode': 1, 'speechiness': 0.0487, 'acousticness': 0.0158, 'instrumentalness': 0.214, 'liveness': 0.0686, 'valence': 0.238, 'tempo': 127.103, 'type': 'audio_features', 'id': '7yMYqHqzye8vtyiHqdVlZw', 'uri': 'spotify:track:7yMYqHqzye8vtyiHqdVlZw', 'track_href': 'https://api.spotify.com/v1/tracks/7yMYqHqzye8vtyiHqdVlZw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7yMYqHqzye8vtyiHqdVlZw', 'duration_ms': 265920, 'time_signature': 4}",The 100 Best Songs of 2019,The 100 Best Songs of 2019
Thom Yorke,4CvTDPKA6W06DRfBnZKrau,Dawn Chorus,6Ype94Pq1fdg0zogE05AfQ,ANIMA,2019-06-27,0,False,323.08,"{'danceability': 0.261, 'energy': 0.174, 'key': 7, 'loudness': -16.161, 'mode': 1, 'speechiness': 0.0346, 'acousticness': 0.854, 'instrumentalness': 0.893, 'liveness': 0.169, 'valence': 0.0393, 'tempo': 138.999, 'type': 'audio_features', 'id': '6Ype94Pq1fdg0zogE05AfQ', 'uri': 'spotify:track:6Ype94Pq1fdg0zogE05AfQ', 'track_href': 'https://api.spotify.com/v1/tracks/6Ype94Pq1fdg0zogE05AfQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Ype94Pq1fdg0zogE05AfQ', 'duration_ms': 323080, 'time_signature': 4}",The 100 Best Songs of 2019,The 100 Best Songs of 2019
ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Con Altura,2qG5sZ7Si6sdK74qLxedYM,Con Altura,2019-03-28,73,False,161.626,"{'danceability': 0.882, 'energy': 0.689, 'key': 6, 'loudness': -4.027, 'mode': 1, 'speechiness': 0.124, 'acousticness': 0.39, 'instrumentalness': 0.00325, 'liveness': 0.0501, 'valence': 0.746, 'tempo': 97.963, 'type': 'audio_features', 'id': '2qG5sZ7Si6sdK74qLxedYM', 'uri': 'spotify:track:2qG5sZ7Si6sdK74qLxedYM', 'track_href': 'https://api.spotify.com/v1/tracks/2qG5sZ7Si6sdK74qLxedYM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2qG5sZ7Si6sdK74qLxedYM', 'duration_ms': 161627, 'time_signature': 4}",The 100 Best Songs of 2019,The 100 Best Songs of 2019
Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,Not,7IzJ7EGpIpq2vW3ylVTtMh,Two Hands,2019-10-11,0,False,367.093,"{'danceability': 0.422, 'energy': 0.788, 'key': 11, 'loudness': -6.57, 'mode': 1, 'speechiness': 0.0556, 'acousticness': 0.101, 'instrumentalness': 0.00282, 'liveness': 0.16, 'valence': 0.544, 'tempo': 140.423, 'type': 'audio_features', 'id': '7IzJ7EGpIpq2vW3ylVTtMh', 'uri': 'spotify:track:7IzJ7EGpIpq2vW3ylVTtMh', 'track_href': 'https://api.spotify.com/v1/tracks/7IzJ7EGpIpq2vW3ylVTtMh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7IzJ7EGpIpq2vW3ylVTtMh', 'duration_ms': 367093, 'time_signature': 4}",The 100 Best Songs of 2019,The 100 Best Songs of 2019
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy,2Fxmhks0bxGSBdJ92vM42m,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,83,False,194.087,"{'danceability': 0.701, 'energy': 0.425, 'key': 7, 'loudness': -10.965, 'mode': 1, 'speechiness': 0.375, 'acousticness': 0.328, 'instrumentalness': 0.13, 'liveness': 0.1, 'valence': 0.562, 'tempo': 135.128, 'type': 'audio_features', 'id': '2Fxmhks0bxGSBdJ92vM42m', 'uri': 'spotify:track:2Fxmhks0bxGSBdJ92vM42m', 'track_href': 'https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m', 'duration_ms': 194088, 'time_signature': 4}",The 100 Best Songs of 2019,The 100 Best Songs of 2019
Solange,2auiVi8sUZo17dLy1HwrTU,Binz,7yvdp8dqmxExSJwT2fn6Xq,When I Get Home,2019-03-01,64,True,111.226,"{'danceability': 0.863, 'energy': 0.625, 'key': 8, 'loudness': -6.323, 'mode': 1, 'speechiness': 0.313, 'acousticness': 0.101, 'instrumentalness': 4.13e-06, 'liveness': 0.166, 'valence': 0.456, 'tempo': 83.98, 'type': 'audio_features', 'id': '7yvdp8dqmxExSJwT2fn6Xq', 'uri': 'spotify:track:7yvdp8dqmxExSJwT2fn6Xq', 'track_href': 'https://api.spotify.com/v1/tracks/7yvdp8dqmxExSJwT2fn6Xq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7yvdp8dqmxExSJwT2fn6Xq', 'duration_ms': 111227, 'time_signature': 4}",The 100 Best Songs of 2019,The 100 Best Songs of 2019
