artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Drake,3TVXtAsR1Inumwj472S9r4,"Hold On, We're Going Home",14Rcq31SafFBHNEwXrtR2B,Nothing Was The Same (Deluxe),2013-01-01,2,False,227.88,"{'danceability': 0.776, 'energy': 0.413, 'key': 6, 'loudness': -7.438, 'mode': 0, 'speechiness': 0.0952, 'acousticness': 0.00415, 'instrumentalness': 2.68e-05, 'liveness': 0.0724, 'valence': 0.287, 'tempo': 100.003, 'type': 'audio_features', 'id': '14Rcq31SafFBHNEwXrtR2B', 'uri': 'spotify:track:14Rcq31SafFBHNEwXrtR2B', 'track_href': 'https://api.spotify.com/v1/tracks/14Rcq31SafFBHNEwXrtR2B', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/14Rcq31SafFBHNEwXrtR2B', 'duration_ms': 227880, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,New Slaves,4cAgkb0ifwn0FSHGXnr4F6,Yeezus,2013-06-18,66,True,256.093,"{'danceability': 0.506, 'energy': 0.59, 'key': 1, 'loudness': -4.322, 'mode': 1, 'speechiness': 0.076, 'acousticness': 0.165, 'instrumentalness': 1.09e-05, 'liveness': 0.096, 'valence': 0.359, 'tempo': 141.099, 'type': 'audio_features', 'id': '4cAgkb0ifwn0FSHGXnr4F6', 'uri': 'spotify:track:4cAgkb0ifwn0FSHGXnr4F6', 'track_href': 'https://api.spotify.com/v1/tracks/4cAgkb0ifwn0FSHGXnr4F6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4cAgkb0ifwn0FSHGXnr4F6', 'duration_ms': 256093, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Hannah Hunt,3t87C08isN6yw2DnWOorLm,Modern Vampires of the City,2013-05-27,0,False,237.973,"{'danceability': 0.345, 'energy': 0.313, 'key': 4, 'loudness': -10.098, 'mode': 1, 'speechiness': 0.0681, 'acousticness': 0.717, 'instrumentalness': 0.000822, 'liveness': 0.1, 'valence': 0.164, 'tempo': 207.969, 'type': 'audio_features', 'id': '3t87C08isN6yw2DnWOorLm', 'uri': 'spotify:track:3t87C08isN6yw2DnWOorLm', 'track_href': 'https://api.spotify.com/v1/tracks/3t87C08isN6yw2DnWOorLm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3t87C08isN6yw2DnWOorLm', 'duration_ms': 237973, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Reflektor,2LWMF10STZqYY9a3YqBiOG,Reflektor,2013-01-01,0,False,453.949,"{'danceability': 0.589, 'energy': 0.72, 'key': 11, 'loudness': -8.33, 'mode': 0, 'speechiness': 0.0309, 'acousticness': 0.0445, 'instrumentalness': 0.0142, 'liveness': 0.364, 'valence': 0.648, 'tempo': 111.602, 'type': 'audio_features', 'id': '2LWMF10STZqYY9a3YqBiOG', 'uri': 'spotify:track:2LWMF10STZqYY9a3YqBiOG', 'track_href': 'https://api.spotify.com/v1/tracks/2LWMF10STZqYY9a3YqBiOG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2LWMF10STZqYY9a3YqBiOG', 'duration_ms': 453949, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Ciara,2NdeV5rLm47xAvogXrYhJX,Body Party,1OPRqekUHVWzzRNZnROTkk,Ciara,2013-07-09,23,False,234.053,"{'danceability': 0.594, 'energy': 0.573, 'key': 2, 'loudness': -6.304, 'mode': 1, 'speechiness': 0.0571, 'acousticness': 0.0179, 'instrumentalness': 0, 'liveness': 0.629, 'valence': 0.115, 'tempo': 134.185, 'type': 'audio_features', 'id': '1OPRqekUHVWzzRNZnROTkk', 'uri': 'spotify:track:1OPRqekUHVWzzRNZnROTkk', 'track_href': 'https://api.spotify.com/v1/tracks/1OPRqekUHVWzzRNZnROTkk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1OPRqekUHVWzzRNZnROTkk', 'duration_ms': 234053, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
HAIM,4Ui2kfOqGujY81UcPrb5KE,The Wire,6golelYKuy85o3u0cxIxFK,Days Are Gone,2013-09-30,59,False,245.293,"{'danceability': 0.547, 'energy': 0.635, 'key': 2, 'loudness': -5.569, 'mode': 1, 'speechiness': 0.137, 'acousticness': 0.0127, 'instrumentalness': 5.01e-06, 'liveness': 0.0585, 'valence': 0.525, 'tempo': 113.678, 'type': 'audio_features', 'id': '6golelYKuy85o3u0cxIxFK', 'uri': 'spotify:track:6golelYKuy85o3u0cxIxFK', 'track_href': 'https://api.spotify.com/v1/tracks/6golelYKuy85o3u0cxIxFK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6golelYKuy85o3u0cxIxFK', 'duration_ms': 245293, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Disclosure,6nS5roXSAGhTGr34W6n7Et,Latch,1BltsyC5W3SAABdxyrDXwi,Settle,2013-01-01,0,False,255.631,"{'danceability': 0.503, 'energy': 0.727, 'key': 1, 'loudness': -5.456, 'mode': 1, 'speechiness': 0.167, 'acousticness': 0.0159, 'instrumentalness': 9.45e-05, 'liveness': 0.0895, 'valence': 0.521, 'tempo': 121.985, 'type': 'audio_features', 'id': '1BltsyC5W3SAABdxyrDXwi', 'uri': 'spotify:track:1BltsyC5W3SAABdxyrDXwi', 'track_href': 'https://api.spotify.com/v1/tracks/1BltsyC5W3SAABdxyrDXwi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1BltsyC5W3SAABdxyrDXwi', 'duration_ms': 255632, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams and Nile Rodgers),69kOkLUCkxIZYexIgSG8rq,Random Access Memories,2013-05-20,75,False,369.626,"{'danceability': 0.81, 'energy': 0.793, 'key': 6, 'loudness': -9.404, 'mode': 0, 'speechiness': 0.0403, 'acousticness': 0.0378, 'instrumentalness': 1.77e-06, 'liveness': 0.072, 'valence': 0.863, 'tempo': 116.05, 'type': 'audio_features', 'id': '69kOkLUCkxIZYexIgSG8rq', 'uri': 'spotify:track:69kOkLUCkxIZYexIgSG8rq', 'track_href': 'https://api.spotify.com/v1/tracks/69kOkLUCkxIZYexIgSG8rq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/69kOkLUCkxIZYexIgSG8rq', 'duration_ms': 369627, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Deafheaven,4XpPveeg7RuYS3CgLo75t9,Dream House,6l3A2EWZSOA8LTMmzRCyD3,Sunbather,2013-05-28,46,False,554.573,"{'danceability': 0.1, 'energy': 0.804, 'key': 7, 'loudness': -4.669, 'mode': 1, 'speechiness': 0.0768, 'acousticness': 6.84e-06, 'instrumentalness': 0.916, 'liveness': 0.384, 'valence': 0.0954, 'tempo': 82.211, 'type': 'audio_features', 'id': '6l3A2EWZSOA8LTMmzRCyD3', 'uri': 'spotify:track:6l3A2EWZSOA8LTMmzRCyD3', 'track_href': 'https://api.spotify.com/v1/tracks/6l3A2EWZSOA8LTMmzRCyD3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6l3A2EWZSOA8LTMmzRCyD3', 'duration_ms': 554573, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Autre Ne Veut,7MC5zmK3iZHzPqGZEVSROe,Play by Play,59ZIrPBaCOmLrweJOGHZOD,Anxiety,2013,0,False,313.706,"{'danceability': 0.35, 'energy': 0.844, 'key': 1, 'loudness': -4.161, 'mode': 0, 'speechiness': 0.0438, 'acousticness': 0.03, 'instrumentalness': 0, 'liveness': 0.177, 'valence': 0.104, 'tempo': 114.64, 'type': 'audio_features', 'id': '59ZIrPBaCOmLrweJOGHZOD', 'uri': 'spotify:track:59ZIrPBaCOmLrweJOGHZOD', 'track_href': 'https://api.spotify.com/v1/tracks/59ZIrPBaCOmLrweJOGHZOD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/59ZIrPBaCOmLrweJOGHZOD', 'duration_ms': 313707, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Blood On The Leaves,42GcjriRK6srwHkfbkBqVl,Yeezus,2013-06-18,65,True,359.8,"{'danceability': 0.397, 'energy': 0.69, 'key': 2, 'loudness': -4.108, 'mode': 0, 'speechiness': 0.195, 'acousticness': 0.395, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.36, 'tempo': 172.073, 'type': 'audio_features', 'id': '42GcjriRK6srwHkfbkBqVl', 'uri': 'spotify:track:42GcjriRK6srwHkfbkBqVl', 'track_href': 'https://api.spotify.com/v1/tracks/42GcjriRK6srwHkfbkBqVl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/42GcjriRK6srwHkfbkBqVl', 'duration_ms': 359800, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Sky Ferreira,7pyhre5oEEFMqcgMEvJY7q,I Blame Myself,0i62I5HJlzIVu2FALBmBPx,"Night Time, My Time",2013-01-01,40,False,237.04,"{'danceability': 0.692, 'energy': 0.739, 'key': 1, 'loudness': -4.122, 'mode': 1, 'speechiness': 0.0374, 'acousticness': 0.35, 'instrumentalness': 0, 'liveness': 0.32, 'valence': 0.819, 'tempo': 115.014, 'type': 'audio_features', 'id': '0i62I5HJlzIVu2FALBmBPx', 'uri': 'spotify:track:0i62I5HJlzIVu2FALBmBPx', 'track_href': 'https://api.spotify.com/v1/tracks/0i62I5HJlzIVu2FALBmBPx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0i62I5HJlzIVu2FALBmBPx', 'duration_ms': 237040, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,Sunday (feat. Frank Ocean),0fAehaneUJdlSlWXYe1KZp,Doris,2013-08-16,62,True,205.8,"{'danceability': 0.716, 'energy': 0.568, 'key': 2, 'loudness': -8.904, 'mode': 1, 'speechiness': 0.212, 'acousticness': 0.278, 'instrumentalness': 1.98e-06, 'liveness': 0.385, 'valence': 0.905, 'tempo': 136.894, 'type': 'audio_features', 'id': '0fAehaneUJdlSlWXYe1KZp', 'uri': 'spotify:track:0fAehaneUJdlSlWXYe1KZp', 'track_href': 'https://api.spotify.com/v1/tracks/0fAehaneUJdlSlWXYe1KZp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0fAehaneUJdlSlWXYe1KZp', 'duration_ms': 205800, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
